000000000000000000br`00000000000000000014`1976-06-07 01:00:00.0`1976-06-28 01:00:00.0`1996-04-20 01:00:00.0`000000000000000000br`\N`40855`2012-07-05 00:00:00.0`2012-07-27 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000b5`0000000000000000000o`1976-05-16 00:00:00.0`1976-06-06 01:00:00.0`1996-04-24 01:00:00.0`000000000000000000b5`\N`40833`2012-06-27 00:00:00.0`2012-07-18 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000009c`0000000000000000000k`1976-03-12 00:00:00.0`1976-04-02 00:00:00.0`1996-02-16 00:00:00.0`0000000000000000009c`\N`40768`2012-06-25 00:00:00.0`2012-08-25 00:00:00.0`2013-05-13 00:00:00.0
00000000000000000033`00000000000000000013`1975-07-31 01:00:00.0`1975-08-21 01:00:00.0`1996-04-17 01:00:00.0`00000000000000000033`\N`40543`2012-06-21 00:00:00.0`2012-07-19 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000aa`0000000000000000000c`1976-04-15 00:00:00.0`1976-05-06 00:00:00.0`1996-03-13 00:00:00.0`000000000000000000aa`\N`40802`2012-06-20 00:00:00.0`2012-07-02 00:00:00.0`2013-05-16 00:00:00.0
00000000000000000037`0000000000000000000r`1975-08-04 01:00:00.0`1975-08-25 01:00:00.0`1996-01-12 00:00:00.0`00000000000000000037`\N`40547`2012-06-18 00:00:00.0`2012-08-14 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000001b`0000000000000000000a`1975-05-28 00:00:00.0`1975-06-18 01:00:00.0`1996-02-09 00:00:00.0`0000000000000000001b`\N`40479`2012-07-04 00:00:00.0`2012-08-12 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000005x`00000000000000000006`1975-11-10 00:00:00.0`1975-12-01 00:00:00.0`1996-01-31 00:00:00.0`0000000000000000005x`\N`40645`2012-07-01 00:00:00.0`2012-07-29 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000008a`00000000000000000012`1976-02-03 00:00:00.0`1976-02-24 00:00:00.0`1996-02-15 00:00:00.0`0000000000000000008a`\N`40730`2012-06-26 00:00:00.0`2012-08-01 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000004s`00000000000000000005`1975-09-30 00:00:00.0`1975-10-21 00:00:00.0`1996-03-01 00:00:00.0`0000000000000000004s`\N`40604`2012-06-23 00:00:00.0`2012-08-22 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000c4`0000000000000000000z`1976-06-20 01:00:00.0`1975-12-25 00:00:00.0`1996-01-16 00:00:00.0`000000000000000000c4`\N`40868`2012-07-02 00:00:00.0`2012-06-28 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000006l`00000000000000000003`1975-12-04 00:00:00.0`1975-08-18 01:00:00.0`1996-01-29 00:00:00.0`0000000000000000006l`\N`40669`2012-07-03 00:00:00.0`2012-07-17 00:00:00.0`2013-05-14 00:00:00.0
00000000000000000030`0000000000000000000l`1975-07-28 01:00:00.0`1976-04-26 00:00:00.0`1996-04-07 01:00:00.0`00000000000000000030`\N`40540`2012-06-28 00:00:00.0`2012-08-18 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000a0`0000000000000000000j`1976-04-05 00:00:00.0`1976-02-05 00:00:00.0`1996-03-25 00:00:00.0`000000000000000000a0`\N`40792`2012-06-30 00:00:00.0`2012-07-23 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000007r`0000000000000000000w`1976-01-15 00:00:00.0`1975-11-09 00:00:00.0`1996-04-14 01:00:00.0`0000000000000000007r`\N`40711`2012-06-19 00:00:00.0`2012-06-20 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000005b`0000000000000000000m`1975-10-19 00:00:00.0`1975-07-14 01:00:00.0`1996-01-19 00:00:00.0`0000000000000000005b`\N`40623`2012-06-24 00:00:00.0`2012-08-23 00:00:00.0`2013-05-12 00:00:00.0
00000000000000000021`0000000000000000000n`1975-06-23 01:00:00.0`1975-05-14 00:00:00.0`1996-04-08 01:00:00.0`00000000000000000021`\N`40505`2012-06-17 00:00:00.0`2012-07-05 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000000c`0000000000000000000g`1975-04-23 00:00:00.0`1976-03-09 00:00:00.0`1996-03-31 00:00:00.0`0000000000000000000c`\N`40444`2012-06-29 00:00:00.0`2012-06-18 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000008o`0000000000000000000b`1976-02-17 00:00:00.0`1975-06-11 01:00:00.0`1996-01-11 00:00:00.0`0000000000000000008o`\N`40744`2012-06-16 00:00:00.0`2012-08-17 00:00:00.0`2013-05-09 00:00:00.0
00000000000000000014`0000000000000000000y`1975-05-21 00:00:00.0`1975-06-02 01:00:00.0`1996-02-03 00:00:00.0`00000000000000000014`\N`40472`2012-06-22 00:00:00.0`2012-08-20 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000000v`00000000000000000010`1975-05-12 00:00:00.0`1976-03-20 00:00:00.0`1996-02-11 00:00:00.0`0000000000000000000v`\N`40463`2012-07-05 00:00:00.0`2012-06-14 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000008z`0000000000000000000q`1976-02-28 00:00:00.0`1976-03-23 00:00:00.0`1996-03-23 00:00:00.0`0000000000000000008z`\N`40755`2012-06-27 00:00:00.0`2012-07-20 00:00:00.0`2013-05-14 00:00:00.0
