000000000000000000br`1977-03-08 00:00:00.0`1996-12-01 00:00:00.0`0a`000000000000000000dz`112`503`40855`2012-07-03 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000b5`1976-06-28 01:00:00.0`1996-04-20 01:00:00.0`06`00000000000000000124`116`1372`40833`2012-06-25 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000009c`1976-06-06 01:00:00.0`1997-01-04 00:00:00.0`05`000000000000000000os`48`892`40768`2012-06-23 00:00:00.0`2013-05-13 00:00:00.0
00000000000000000033`1976-04-02 00:00:00.0`1996-04-24 01:00:00.0`03`00000000000000000099`214`333`40543`2012-06-19 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000aa`1977-02-24 00:00:00.0`1996-02-16 00:00:00.0`08`000000000000000000gv`173`607`40802`2012-06-18 00:00:00.0`2013-05-16 00:00:00.0
00000000000000000037`1975-08-21 01:00:00.0`1996-07-31 01:00:00.0`04`000000000000000000i2`109`1490`40547`2012-06-16 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000001b`1976-05-06 00:00:00.0`1996-10-24 01:00:00.0`09`000000000000000000to`192`650`40479`2012-07-02 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000005x`1976-10-22 00:00:00.0`1996-06-20 01:00:00.0`02`00000000000000000117`74`1068`40645`2012-06-29 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000008a`1975-08-25 01:00:00.0`1996-08-24 01:00:00.0`01`00000000000000000036`13`1339`40730`2012-06-24 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000004s`1975-06-18 01:00:00.0`1996-04-17 01:00:00.0`07`000000000000000000mk`41`114`40604`2012-06-21 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000c4`1975-12-01 00:00:00.0`1996-12-25 00:00:00.0`0a`000000000000000000ud`32`812`40868`2012-06-30 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000006l`1976-09-06 01:00:00.0`1996-10-05 01:00:00.0`06`000000000000000000tm`149`1093`40669`2012-07-01 00:00:00.0`2013-05-14 00:00:00.0
00000000000000000030`1976-02-24 00:00:00.0`1996-07-09 01:00:00.0`05`000000000000000000o4`158`1066`40540`2012-06-26 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000a0`1977-02-17 00:00:00.0`1996-03-13 00:00:00.0`03`000000000000000000wp`47`868`40792`2012-06-28 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000007r`1975-10-21 00:00:00.0`1996-01-12 00:00:00.0`08`000000000000000000lh`188`1177`40711`2012-06-17 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000005b`1976-07-11 01:00:00.0`1996-11-07 00:00:00.0`04`0000000000000000005r`62`1618`40623`2012-06-22 00:00:00.0`2013-05-12 00:00:00.0
00000000000000000021`1975-12-25 00:00:00.0`1996-02-09 00:00:00.0`09`0000000000000000001r`145`773`40505`2012-06-15 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000000c`1975-08-18 01:00:00.0`1996-01-31 00:00:00.0`02`000000000000000000qt`17`1530`40444`2012-06-27 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000008o`1976-04-26 00:00:00.0`1996-11-18 00:00:00.0`01`000000000000000000pm`227`207`40744`2012-06-14 00:00:00.0`2013-05-09 00:00:00.0
00000000000000000014`1976-02-05 00:00:00.0`1996-11-21 00:00:00.0`07`0000000000000000010d`30`63`40472`2012-06-20 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000000v`1975-11-09 00:00:00.0`1996-05-27 01:00:00.0`0a`0000000000000000004y`160`1668`40463`2012-07-03 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000008z`1975-07-14 01:00:00.0`1996-06-05 01:00:00.0`06`000000000000000000dr`99`1440`40755`2012-06-25 00:00:00.0`2013-05-14 00:00:00.0
00000000000000000092`1976-12-31 00:00:00.0`1996-02-15 00:00:00.0`05`0000000000000000000j`86`965`40758`2012-06-23 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000b8`1975-05-14 00:00:00.0`1996-07-05 01:00:00.0`03`000000000000000000v5`193`922`40836`2012-06-19 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000bi`1976-03-09 00:00:00.0`1996-10-13 01:00:00.0`08`000000000000000000e4`124`1769`40846`2012-06-18 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000ab`1975-06-11 01:00:00.0`1996-10-10 01:00:00.0`04`000000000000000000y8`172`1309`40803`2012-06-16 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000cg`1975-06-02 01:00:00.0`1996-11-16 00:00:00.0`09`00000000000000000073`106`178`40880`2012-07-02 00:00:00.0`2013-05-17 00:00:00.0
00000000000000000044`1976-03-20 00:00:00.0`1996-09-30 01:00:00.0`02`0000000000000000007q`20`495`40580`2012-06-29 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000004d`1976-03-23 00:00:00.0`1996-03-01 00:00:00.0`01`000000000000000000i9`100`1492`40589`2012-06-24 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000001a`1976-06-09 01:00:00.0`1996-09-01 01:00:00.0`07`000000000000000000kx`92`19`40478`2012-06-21 00:00:00.0`2013-05-15 00:00:00.0
00000000000000000057`1976-06-19 01:00:00.0`1996-11-11 00:00:00.0`0a`0000000000000000006o`152`1121`40619`2012-06-30 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000007z`1977-03-06 00:00:00.0`1996-05-23 01:00:00.0`06`000000000000000000vy`168`508`40719`2012-07-01 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000b3`1976-05-07 00:00:00.0`1996-08-18 01:00:00.0`05`0000000000000000009q`12`1232`40831`2012-06-26 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000007w`1976-11-17 00:00:00.0`1996-01-16 00:00:00.0`03`000000000000000000ho`213`255`40716`2012-06-28 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000008x`1976-11-16 00:00:00.0`1996-12-27 00:00:00.0`08`000000000000000000k1`35`1526`40753`2012-06-17 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000007m`1976-10-21 00:00:00.0`1996-11-26 00:00:00.0`04`00000000000000000122`165`278`40706`2012-06-22 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000001p`1976-07-23 01:00:00.0`1996-08-13 01:00:00.0`09`000000000000000000li`229`1660`40493`2012-06-15 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000006t`1976-11-01 00:00:00.0`1996-09-17 01:00:00.0`02`000000000000000000xj`180`657`40677`2012-06-27 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000008s`1975-09-27 01:00:00.0`1996-01-29 00:00:00.0`01`000000000000000000wc`43`753`40748`2012-06-14 00:00:00.0`2013-05-09 00:00:00.0
00000000000000000040`1975-10-06 00:00:00.0`1996-06-07 01:00:00.0`07`000000000000000000x9`84`240`40576`2012-06-20 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000dc`1975-06-17 01:00:00.0`1996-04-07 01:00:00.0`0a`000000000000000000fy`141`1150`40912`2012-07-03 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000ac`1975-11-05 00:00:00.0`1996-03-25 00:00:00.0`06`000000000000000000wy`133`350`40804`2012-06-25 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000006f`1976-02-13 00:00:00.0`1996-07-10 01:00:00.0`05`000000000000000000vk`46`636`40663`2012-06-23 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000000g`1976-06-04 01:00:00.0`1996-11-03 00:00:00.0`03`000000000000000000s1`162`721`40448`2012-06-19 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000bk`1976-02-10 00:00:00.0`1996-12-19 00:00:00.0`08`0000000000000000011v`151`1370`40848`2012-06-18 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000b6`1976-03-18 00:00:00.0`1996-05-02 01:00:00.0`04`000000000000000000a1`40`774`40834`2012-06-16 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000a2`1976-01-31 00:00:00.0`1996-06-19 01:00:00.0`09`000000000000000000zp`6`1207`40794`2012-07-02 00:00:00.0`2013-05-17 00:00:00.0
00000000000000000097`1975-07-02 01:00:00.0`1996-04-14 01:00:00.0`02`00000000000000000014`131`1164`40763`2012-06-29 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000006a`1976-11-29 00:00:00.0`1996-12-15 00:00:00.0`01`0000000000000000002y`98`1197`40658`2012-06-24 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000bl`1976-11-30 00:00:00.0`1996-01-19 00:00:00.0`07`000000000000000000lo`57`574`40849`2012-06-21 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000al`1976-01-02 00:00:00.0`1996-04-08 01:00:00.0`0a`0000000000000000003l`163`1671`40813`2012-06-30 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000079`1976-03-13 00:00:00.0`1996-11-25 00:00:00.0`06`0000000000000000005e`177`1641`40693`2012-07-01 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000bq`1975-09-23 01:00:00.0`1996-03-31 00:00:00.0`05`000000000000000000va`19`1186`40854`2012-06-26 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000bw`1976-08-24 01:00:00.0`1996-12-13 00:00:00.0`03`0000000000000000012k`61`1136`40860`2012-06-28 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000000t`1976-05-08 00:00:00.0`1996-05-30 01:00:00.0`08`000000000000000000nd`201`1651`40461`2012-06-17 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000c1`1976-12-13 00:00:00.0`1996-06-15 01:00:00.0`04`000000000000000000oz`156`1009`40865`2012-06-22 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000004f`1975-12-19 00:00:00.0`1996-11-01 00:00:00.0`09`0000000000000000012l`3`1663`40591`2012-06-15 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000002q`1975-05-18 00:00:00.0`1996-01-11 00:00:00.0`02`000000000000000000qp`53`1363`40530`2012-06-27 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000002d`1976-06-21 01:00:00.0`1996-10-12 01:00:00.0`01`000000000000000000w6`223`361`40517`2012-06-14 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000005c`1976-06-07 01:00:00.0`1996-08-28 01:00:00.0`07`0000000000000000011g`70`1285`40624`2012-06-20 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000008k`1976-04-28 00:00:00.0`1996-07-30 01:00:00.0`0a`0000000000000000008a`231`1457`40740`2012-07-03 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000009u`1976-03-28 00:00:00.0`1996-02-03 00:00:00.0`06`0000000000000000003m`95`1561`40786`2012-06-25 00:00:00.0`2013-05-14 00:00:00.0
