0000000000000000009c`0000000000000000001b`40768`81`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000033`00000000000000000021`40543`107`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000aa`0000000000000000000c`40802`46`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
00000000000000000037`00000000000000000014`40547`74`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000001b`0000000000000000000v`40479`65`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000005x`0000000000000000001a`40645`80`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000008a`0000000000000000001p`40730`95`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000004s`0000000000000000000g`40604`50`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000006l`0000000000000000000t`40669`63`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
00000000000000000030`0000000000000000002q`40540`132`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000a0`0000000000000000002d`40792`119`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000007r`0000000000000000000j`40711`53`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000005b`0000000000000000002r`40623`133`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
00000000000000000021`0000000000000000002j`40505`125`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000000c`0000000000000000000b`40444`45`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000008o`0000000000000000000y`40744`68`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
00000000000000000014`00000000000000000016`40472`76`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000000v`0000000000000000002b`40463`117`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000008z`00000000000000000019`40755`79`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
00000000000000000092`00000000000000000013`40758`73`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
00000000000000000044`00000000000000000005`40580`39`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000004d`0000000000000000002p`40589`131`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000001a`0000000000000000001k`40478`90`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
00000000000000000057`0000000000000000000i`40619`52`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000007z`0000000000000000001o`40719`94`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000007w`00000000000000000002`40716`36`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000008x`0000000000000000001g`40753`86`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000007m`0000000000000000001x`40706`103`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000001p`0000000000000000002m`40493`128`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000006t`0000000000000000000o`40677`58`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000008s`00000000000000000028`40748`114`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000040`0000000000000000001q`40576`96`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000006f`0000000000000000001v`40663`101`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000000g`0000000000000000002h`40448`123`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000a2`0000000000000000002k`40794`126`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
00000000000000000097`0000000000000000000w`40763`66`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000006a`0000000000000000001n`40658`93`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
00000000000000000079`0000000000000000002n`40693`129`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000000t`0000000000000000001j`40461`89`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000004f`0000000000000000001m`40591`92`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000002q`0000000000000000001f`40530`85`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000002d`0000000000000000001r`40517`97`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000005c`00000000000000000012`40624`72`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000008k`00000000000000000007`40740`41`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000009u`0000000000000000000m`40786`56`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000003f`0000000000000000001w`40555`102`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000004r`0000000000000000000p`40603`59`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000002x`0000000000000000002c`40537`118`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000009q`00000000000000000017`40782`77`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000000j`0000000000000000000r`40451`61`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000002r`0000000000000000002i`40531`124`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000096`00000000000000000003`40762`37`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000002j`00000000000000000026`40523`112`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000009o`0000000000000000000a`40780`44`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
00000000000000000047`00000000000000000011`40583`71`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000004n`0000000000000000001z`40599`105`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000008i`00000000000000000027`40738`113`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000000b`00000000000000000010`40443`70`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000007y`0000000000000000002l`40718`127`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000006p`00000000000000000004`40673`38`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000005w`0000000000000000001c`40644`82`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000000y`00000000000000000025`40466`111`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
00000000000000000074`0000000000000000002f`40688`121`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
00000000000000000091`0000000000000000001h`40757`87`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000006z`0000000000000000001s`40683`98`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000004k`00000000000000000015`40596`75`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000006c`0000000000000000001l`40660`91`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000004z`0000000000000000000z`40611`69`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
00000000000000000016`0000000000000000000x`40474`67`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000002b`00000000000000000024`40515`110`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000003w`0000000000000000000e`40572`48`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000003o`00000000000000000018`40564`78`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000009h`0000000000000000000f`40773`49`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000009r`0000000000000000001e`40783`84`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
00000000000000000019`0000000000000000000d`40477`47`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000004h`0000000000000000002e`40593`120`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
00000000000000000046`0000000000000000001i`40582`88`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
00000000000000000013`00000000000000000006`40471`40`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
00000000000000000005`0000000000000000000k`40437`54`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000003m`00000000000000000022`40562`108`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000009t`0000000000000000000n`40785`57`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000002p`00000000000000000020`40529`106`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
00000000000000000085`00000000000000000008`40725`42`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000008g`0000000000000000001d`40736`83`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000006j`0000000000000000002o`40667`130`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000001k`0000000000000000000h`40488`51`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
00000000000000000076`0000000000000000002a`40690`116`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000004i`0000000000000000000l`40594`55`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000004w`0000000000000000001y`40608`104`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000a5`0000000000000000001u`40797`100`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000000i`00000000000000000023`40450`109`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000001o`0000000000000000001t`40492`99`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000005k`0000000000000000000s`40632`62`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000004b`00000000000000000029`40587`115`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
00000000000000000002`0000000000000000002g`40434`122`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000001g`00000000000000000009`40484`43`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000009j`0000000000000000000u`40775`64`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000008v`0000000000000000002s`40751`134`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
00000000000000000066`00000000000000000001`40654`35`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000001x`0000000000000000000q`40501`60`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000006e`0000000000000000001b`40662`81`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000002m`00000000000000000021`40526`107`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000a1`0000000000000000000c`40793`46`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000008h`00000000000000000014`40737`74`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000009k`0000000000000000000v`40776`65`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
