000000000000000000br`1978-11-15 23:00:00.0`000k`\N`000000000000000000dz`3481`\N`40855`537`2012-07-03 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000b5`1981-04-03 00:00:00.0`000c`\N`000000000000000000os`4205`\N`40833`926`2012-06-25 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000009c`1979-12-09 23:00:00.0`000a`\N`00000000000000000099`4588`\N`40768`367`2012-06-23 00:00:00.0`2013-05-13 00:00:00.0
00000000000000000033`1978-05-30 00:00:00.0`0006`\N`000000000000000000gv`503`\N`40543`641`2012-06-19 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000aa`1979-02-27 23:00:00.0`0005`\N`000000000000000000i2`3376`\N`40802`684`2012-06-18 00:00:00.0`2013-05-16 00:00:00.0
00000000000000000037`1981-07-30 00:00:00.0`0003`\N`000000000000000000to`3638`\N`40547`1102`2012-06-16 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000001b`1979-04-11 23:00:00.0`000j`\N`00000000000000000117`4495`\N`40479`1373`2012-07-02 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000005x`1980-06-03 00:00:00.0`000g`\N`00000000000000000036`2834`\N`40645`148`2012-06-29 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000008a`1981-02-28 23:00:00.0`000b`\N`000000000000000000mk`4805`\N`40730`846`2012-06-24 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000004s`1977-10-22 23:00:00.0`0008`\N`000000000000000000ud`3299`\N`40604`1127`2012-06-21 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000c4`1979-09-21 00:00:00.0`000h`\N`000000000000000000tm`4508`\N`40868`1100`2012-06-30 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000006l`1980-06-28 00:00:00.0`000i`\N`000000000000000000o4`1372`\N`40669`902`2012-07-01 00:00:00.0`2013-05-14 00:00:00.0
00000000000000000030`1980-06-01 00:00:00.0`000d`\N`000000000000000000wp`892`\N`40540`1211`2012-06-26 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000a0`1979-11-15 23:00:00.0`000f`\N`000000000000000000lh`2593`\N`40792`807`2012-06-28 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000007r`1980-09-20 00:00:00.0`0004`\N`0000000000000000005r`2882`\N`40711`241`2012-06-17 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000005b`1979-08-13 00:00:00.0`0009`\N`0000000000000000001r`333`\N`40623`97`2012-06-22 00:00:00.0`2013-05-12 00:00:00.0
00000000000000000021`1978-01-23 23:00:00.0`0002`\N`000000000000000000qt`3369`\N`40505`999`2012-06-15 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000000c`1977-09-02 00:00:00.0`000e`\N`000000000000000000pm`2828`\N`40444`956`2012-06-27 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000008o`1981-06-10 00:00:00.0`0001`\N`0000000000000000010d`3424`\N`40744`1343`2012-06-14 00:00:00.0`2013-05-09 00:00:00.0
00000000000000000014`1980-02-20 23:00:00.0`0007`\N`0000000000000000004y`1876`\N`40472`212`2012-06-20 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000000v`1980-01-08 23:00:00.0`000k`\N`000000000000000000dr`607`\N`40463`529`2012-07-03 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000008z`1981-01-29 23:00:00.0`000c`\N`0000000000000000000j`1490`\N`40755`53`2012-06-25 00:00:00.0`2013-05-14 00:00:00.0
00000000000000000092`1977-12-25 23:00:00.0`000a`\N`000000000000000000v5`3064`\N`40758`1155`2012-06-23 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000b8`1978-11-07 23:00:00.0`0006`\N`000000000000000000e4`650`\N`40836`542`2012-06-19 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000bi`1981-08-01 00:00:00.0`0005`\N`000000000000000000y8`1068`\N`40846`1266`2012-06-18 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000ab`1977-07-20 00:00:00.0`0003`\N`00000000000000000073`2970`\N`40803`289`2012-06-16 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000cg`1980-07-26 00:00:00.0`000j`\N`0000000000000000007q`1339`\N`40880`312`2012-07-02 00:00:00.0`2013-05-17 00:00:00.0
00000000000000000044`1978-11-20 23:00:00.0`000g`\N`000000000000000000i9`114`\N`40580`691`2012-06-29 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000004d`1980-11-13 23:00:00.0`000b`\N`000000000000000000kx`2867`\N`40589`787`2012-06-24 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000001a`1978-03-12 23:00:00.0`0008`\N`0000000000000000006o`3048`\N`40478`274`2012-06-21 00:00:00.0`2013-05-15 00:00:00.0
00000000000000000057`1978-04-04 23:00:00.0`000h`\N`000000000000000000vy`2668`\N`40619`1184`2012-06-30 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000007z`1979-04-18 23:00:00.0`000i`\N`0000000000000000009q`812`\N`40719`384`2012-07-01 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000b3`1979-07-24 00:00:00.0`000d`\N`000000000000000000ho`4598`\N`40831`670`2012-06-26 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000007w`1978-02-25 23:00:00.0`000f`\N`000000000000000000k1`1093`\N`40716`755`2012-06-28 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000008x`1980-08-24 00:00:00.0`0004`\N`000000000000000000li`4445`\N`40753`808`2012-06-17 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000007m`1978-06-16 00:00:00.0`0009`\N`000000000000000000xj`2073`\N`40706`1241`2012-06-22 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000001p`1979-03-28 23:00:00.0`0002`\N`000000000000000000wc`2223`\N`40493`1198`2012-06-15 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000006t`1979-06-22 00:00:00.0`000e`\N`000000000000000000x9`1066`\N`40677`1231`2012-06-27 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000008s`1981-04-01 00:00:00.0`0001`\N`000000000000000000fy`2852`\N`40748`608`2012-06-14 00:00:00.0`2013-05-09 00:00:00.0
00000000000000000040`1979-08-14 00:00:00.0`0007`\N`000000000000000000wy`868`\N`40576`1220`2012-06-20 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000ac`1980-10-19 23:00:00.0`000k`\N`000000000000000000vk`1177`\N`40804`1170`2012-07-03 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000006f`1980-09-07 00:00:00.0`000c`\N`000000000000000000s1`4274`\N`40663`1043`2012-06-25 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000000g`1980-10-09 23:00:00.0`000a`\N`000000000000000000a1`1991`\N`40448`395`2012-06-23 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000bk`1979-01-25 23:00:00.0`0006`\N`000000000000000000zp`3555`\N`40848`1319`2012-06-19 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000b6`1980-09-28 23:00:00.0`0005`\N`00000000000000000014`1618`\N`40834`74`2012-06-18 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000a2`1980-08-10 00:00:00.0`0003`\N`0000000000000000002y`773`\N`40794`140`2012-06-16 00:00:00.0`2013-05-12 00:00:00.0
00000000000000000097`1980-04-04 23:00:00.0`000j`\N`000000000000000000lo`3287`\N`40763`814`2012-07-02 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000006a`1981-03-24 23:00:00.0`000g`\N`0000000000000000003l`3800`\N`40658`163`2012-06-29 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000bl`1978-06-27 00:00:00.0`000b`\N`0000000000000000005e`4046`\N`40849`228`2012-06-24 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000al`1981-01-05 23:00:00.0`0008`\N`000000000000000000va`4277`\N`40813`1160`2012-06-21 00:00:00.0`2013-05-15 00:00:00.0
00000000000000000079`1981-06-27 00:00:00.0`000h`\N`000000000000000000nd`2168`\N`40693`875`2012-06-30 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000bq`1977-08-10 00:00:00.0`000i`\N`000000000000000000oz`1530`\N`40854`933`2012-07-01 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000bw`1977-10-14 23:00:00.0`000d`\N`000000000000000000qp`207`\N`40860`995`2012-06-26 00:00:00.0`2013-05-13 00:00:00.0
