000000000000000002op`\N`0000000000000000001d`00000000000000000014`000000000000000002op`0000000000000000000o`\N`1973-07-17 01:00:00.0`2390`\N`\N`\N`47295`\N`3483`000000000000000002op`000000000000000000dz`2013-07-27 00:00:00.0`2013-08-05 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000038t`\N`00000000000000000014`0000000000000000000o`000000000000000000dz`0000000000000000000k`\N`1974-08-10 01:00:00.0`2368`\N`\N`\N`48019`\N`505`0000000000000000038t`0000000000000000026q`2013-05-23 00:00:00.0`2013-07-14 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000dz`\N`00000000000000000026`0000000000000000000k`000000000000000002ls`0000000000000000000c`\N`1973-01-28 00:00:00.0`2303`\N`\N`\N`44317`\N`3378`000000000000000000dz`00000000000000000124`2012-10-10 00:00:00.0`2013-05-10 00:00:00.0`2013-05-13 00:00:00.0
000000000000000002ls`\N`00000000000000000015`00000000000000000013`000000000000000002t2`0000000000000000000r`\N`1973-10-29 00:00:00.0`2078`\N`\N`\N`47190`\N`3640`000000000000000002ls`000000000000000000os`2013-06-26 00:00:00.0`2012-09-27 00:00:00.0`2013-05-11 00:00:00.0
000000000000000002t2`\N`0000000000000000002d`0000000000000000000c`0000000000000000026q`0000000000000000000a`\N`1973-12-11 00:00:00.0`2337`\N`\N`\N`47452`\N`2836`000000000000000002t2`00000000000000000201`2012-10-14 00:00:00.0`2013-06-13 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000026q`\N`0000000000000000002i`0000000000000000000r`000000000000000002jn`00000000000000000006`\N`1975-02-02 00:00:00.0`2082`\N`\N`\N`46648`\N`3301`0000000000000000026q`00000000000000000282`2012-08-07 00:00:00.0`2013-11-28 23:00:00.0`2013-05-12 00:00:00.0
000000000000000002jn`\N`0000000000000000000o`0000000000000000000a`00000000000000000124`00000000000000000005`\N`1972-06-23 01:00:00.0`2014`\N`\N`\N`47113`\N`1374`000000000000000002jn`00000000000000000099`2013-01-19 23:00:00.0`2012-10-01 00:00:00.0`2013-05-17 00:00:00.0
00000000000000000124`\N`0000000000000000001v`00000000000000000006`000000000000000000os`00000000000000000003`\N`1974-05-22 00:00:00.0`2180`\N`\N`\N`45186`\N`894`00000000000000000124`0000000000000000026k`2013-04-15 00:00:00.0`2012-07-25 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000os`\N`0000000000000000001t`00000000000000000012`00000000000000000201`0000000000000000000l`\N`1975-02-27 00:00:00.0`2265`\N`\N`\N`44706`\N`2595`000000000000000000os`000000000000000001g4`2012-12-09 23:00:00.0`2013-01-06 23:00:00.0`2013-05-09 00:00:00.0
00000000000000000201`\N`0000000000000000001f`00000000000000000005`00000000000000000282`0000000000000000000j`\N`1975-01-31 00:00:00.0`2139`\N`\N`\N`46407`\N`2884`00000000000000000201`000000000000000000gv`2013-02-12 23:00:00.0`2013-10-14 00:00:00.0`2013-05-15 00:00:00.0
00000000000000000282`\N`0000000000000000001i`0000000000000000000z`00000000000000000099`0000000000000000000m`\N`1974-07-17 01:00:00.0`2403`\N`\N`\N`46696`\N`335`00000000000000000282`0000000000000000015e`2012-10-07 00:00:00.0`2013-04-02 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000099`\N`00000000000000000023`00000000000000000003`000000000000000002ll`0000000000000000000n`\N`1975-05-22 00:00:00.0`2204`\N`\N`\N`44147`\N`3371`00000000000000000099`000000000000000002d4`2013-06-16 00:00:00.0`2012-11-26 23:00:00.0`2013-05-14 00:00:00.0
