000000000000000000is`0000000000000000001d`423`676`111`111`2013-01-10 00:00:00.0`44490`2013-03-08 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000br`00000000000000000014`401`423`115`115`2013-01-06 00:00:00.0`44237`2013-03-04 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000b5`00000000000000000015`336`401`47`47`2013-01-05 00:00:00.0`44215`2013-03-03 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000009c`0000000000000000000o`111`336`213`213`2013-01-03 00:00:00.0`44150`2013-03-01 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000ig`0000000000000000000k`370`664`172`172`2013-01-08 00:00:00.0`44478`2013-03-06 00:00:00.0`2013-05-16 00:00:00.0
00000000000000000033`00000000000000000013`539`111`237`237`2013-01-04 00:00:00.0`43925`2013-03-02 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000o4`00000000000000000019`115`370`108`108`2013-01-09 00:00:00.0`44682`2013-03-07 00:00:00.0`2013-05-17 00:00:00.0
000000000000000000aa`0000000000000000000c`47`539`279`191`2013-01-02 00:00:00.0`44184`2013-02-28 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000ez`0000000000000000000r`213`115`191`73`2013-01-01 00:00:00.0`44353`2013-02-27 00:00:00.0`2013-05-09 00:00:00.0
00000000000000000037`0000000000000000000a`493`47`73`12`2013-01-07 00:00:00.0`43929`2013-03-05 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000001b`00000000000000000006`298`213`12`40`2013-01-10 00:00:00.0`43861`2013-03-08 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000005x`00000000000000000016`172`493`40`31`2013-01-06 00:00:00.0`44027`2013-03-04 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000dp`00000000000000000012`436`710`31`148`2013-01-05 00:00:00.0`44307`2013-03-03 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000jq`00000000000000000018`237`298`148`157`2013-01-03 00:00:00.0`44524`2013-03-01 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000008a`00000000000000000005`108`685`157`46`2013-01-08 00:00:00.0`44112`2013-03-06 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000j1`0000000000000000000z`360`657`46`187`2013-01-04 00:00:00.0`44499`2013-03-02 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000i9`00000000000000000017`279`172`187`61`2013-01-09 00:00:00.0`44471`2013-03-07 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000004s`00000000000000000003`191`436`287`245`2013-01-02 00:00:00.0`43986`2013-02-28 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000c4`0000000000000000000l`73`237`284`144`2013-01-01 00:00:00.0`44250`2013-02-27 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000006l`0000000000000000001a`609`108`274`231`2013-01-07 00:00:00.0`44051`2013-03-05 00:00:00.0`2013-05-15 00:00:00.0
00000000000000000030`0000000000000000000j`12`360`61`16`2013-01-10 00:00:00.0`43922`2013-03-08 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000ly`0000000000000000000w`312`279`245`226`2013-01-06 00:00:00.0`44604`2013-03-04 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000a0`0000000000000000000m`40`191`144`29`2013-01-05 00:00:00.0`44174`2013-03-03 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000007r`0000000000000000000n`31`73`231`159`2013-01-03 00:00:00.0`44093`2013-03-01 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000005b`0000000000000000000g`323`609`16`98`2013-01-08 00:00:00.0`44005`2013-03-06 00:00:00.0`2013-05-16 00:00:00.0
00000000000000000021`0000000000000000000b`326`699`226`85`2013-01-04 00:00:00.0`43887`2013-03-02 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000op`0000000000000000000y`404`12`261`192`2013-01-09 00:00:00.0`44703`2013-03-07 00:00:00.0`2013-05-17 00:00:00.0
000000000000000000gx`00000000000000000010`414`312`29`123`2013-01-02 00:00:00.0`44423`2013-02-28 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000jf`0000000000000000001e`371`40`159`171`2013-01-01 00:00:00.0`44513`2013-02-27 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000000c`0000000000000000001b`565`31`98`105`2013-01-07 00:00:00.0`43826`2013-03-05 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000008o`0000000000000000000q`564`323`85`19`2013-01-10 00:00:00.0`44126`2013-03-08 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000014`0000000000000000000u`538`326`192`99`2013-01-06 00:00:00.0`43854`2013-03-04 00:00:00.0`2013-05-14 00:00:00.0
0000000000000000000v`00000000000000000008`448`404`123`91`2013-01-05 00:00:00.0`43845`2013-03-03 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000me`0000000000000000000h`549`414`171`151`2013-01-03 00:00:00.0`44620`2013-03-01 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000lk`0000000000000000000i`148`674`105`167`2013-01-08 00:00:00.0`44590`2013-03-06 00:00:00.0`2013-05-16 00:00:00.0
0000000000000000008z`0000000000000000000p`157`371`19`11`2013-01-04 00:00:00.0`44137`2013-03-02 00:00:00.0`2013-05-12 00:00:00.0
00000000000000000092`0000000000000000000d`46`565`99`241`2013-01-09 00:00:00.0`44140`2013-03-07 00:00:00.0`2013-05-17 00:00:00.0
000000000000000000b8`0000000000000000000v`187`564`91`212`2013-01-02 00:00:00.0`44218`2013-02-28 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000bi`0000000000000000000f`287`538`151`34`2013-01-01 00:00:00.0`44228`2013-02-27 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000iq`00000000000000000004`399`448`167`164`2013-01-07 00:00:00.0`44488`2013-03-05 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000ab`0000000000000000000s`284`549`11`228`2013-01-10 00:00:00.0`44185`2013-03-08 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000fp`00000000000000000009`321`148`286`179`2013-01-06 00:00:00.0`44379`2013-03-04 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000fo`00000000000000000011`274`157`241`42`2013-01-05 00:00:00.0`44378`2013-03-03 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000ey`00000000000000000002`61`46`212`83`2013-01-03 00:00:00.0`44352`2013-03-01 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000o7`0000000000000000000e`577`187`34`140`2013-01-08 00:00:00.0`44685`2013-03-06 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000cg`0000000000000000001c`578`287`256`132`2013-01-04 00:00:00.0`44262`2013-03-02 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000f9`0000000000000000000x`245`399`251`45`2013-01-09 00:00:00.0`44363`2013-03-07 00:00:00.0`2013-05-17 00:00:00.0
00000000000000000044`0000000000000000000t`316`284`164`161`2013-01-02 00:00:00.0`43962`2013-02-28 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000mt`00000000000000000001`144`321`228`150`2013-01-01 00:00:00.0`44635`2013-02-27 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000004d`00000000000000000007`480`274`179`39`2013-01-07 00:00:00.0`43971`2013-03-05 00:00:00.0`2013-05-15 00:00:00.0
0000000000000000001a`0000000000000000001d`372`61`42`5`2013-01-10 00:00:00.0`43860`2013-03-08 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000057`00000000000000000014`591`577`83`130`2013-01-06 00:00:00.0`44001`2013-03-04 00:00:00.0`2013-05-14 00:00:00.0
