274726`o`\N`000000000000000002op`00000000000000000033`\N`\N`\N`1901-05-19 00:00:00.0`503`\N`111`000000000000000002op`000000000000000002op
276484`k`\N`0000000000000000041j`00000000000000000037`\N`\N`\N`1907-10-06 00:00:00.0`1372`\N`115`0000000000000000041j`0000000000000000041j
275450`c`\N`0000000000000000038t`0000000000000000001b`\N`\N`\N`1903-10-05 00:00:00.0`892`\N`47`0000000000000000038t`0000000000000000038t
275833`r`\N`000000000000000003jg`0000000000000000005x`\N`\N`\N`1902-06-12 00:00:00.0`333`\N`172`000000000000000003jg`000000000000000003jg
271748`a`\N`000000000000000000dz`0000000000000000004s`\N`\N`\N`1907-02-07 00:00:00.0`607`\N`108`000000000000000000dz`000000000000000000dz
274621`6`\N`000000000000000002ls`00000000000000000030`\N`\N`\N`1907-11-23 00:00:00.0`1490`\N`73`000000000000000002ls`000000000000000002ls
274883`5`\N`000000000000000002t2`0000000000000000005b`\N`\N`\N`1900-11-30 00:00:00.0`650`\N`12`000000000000000002t2`000000000000000002t2
275740`z`\N`000000000000000003gv`00000000000000000021`\N`\N`\N`1907-09-30 00:00:00.0`1068`\N`40`000000000000000003gv`000000000000000003gv
276268`3`\N`000000000000000003vj`0000000000000000000c`\N`\N`\N`1905-02-20 00:00:00.0`1339`\N`31`000000000000000003vj`000000000000000003vj
277399`l`\N`000000000000000004qy`00000000000000000014`\N`\N`\N`1901-08-31 00:00:00.0`114`\N`148`000000000000000004qy`000000000000000004qy
274079`j`\N`0000000000000000026q`0000000000000000000v`\N`\N`\N`1904-01-31 00:00:00.0`812`\N`157`0000000000000000026q`0000000000000000026q
276050`w`\N`000000000000000003ph`00000000000000000044`\N`\N`\N`1901-10-13 00:00:00.0`1093`\N`46`000000000000000003ph`000000000000000003ph
274544`m`\N`000000000000000002jn`0000000000000000004d`\N`\N`\N`1902-12-05 00:00:00.0`1066`\N`187`000000000000000002jn`000000000000000002jn
275753`n`\N`000000000000000003h8`0000000000000000001a`\N`\N`\N`1903-09-02 00:00:00.0`868`\N`61`000000000000000003h8`000000000000000003h8
277035`g`\N`000000000000000004gu`00000000000000000057`\N`\N`\N`1900-04-25 00:00:00.0`1177`\N`144`000000000000000004gu`000000000000000004gu
272617`b`\N`00000000000000000124`0000000000000000001p`\N`\N`\N`1907-11-08 00:00:00.0`1618`\N`16`00000000000000000124`00000000000000000124
272137`y`\N`000000000000000000os`00000000000000000040`\N`\N`\N`1907-04-23 00:00:00.0`773`\N`29`000000000000000000os`000000000000000000os
273838`q`\N`00000000000000000201`0000000000000000000g`\N`\N`\N`1902-03-24 00:00:00.0`1530`\N`159`00000000000000000201`00000000000000000201
274127`u`\N`00000000000000000282`0000000000000000006a`\N`\N`\N`1902-12-30 00:00:00.0`207`\N`98`00000000000000000282`00000000000000000282
276473`8`\N`00000000000000000418`0000000000000000000t`\N`\N`\N`1905-09-05 00:00:00.0`63`\N`85`00000000000000000418`00000000000000000418
277187`h`\N`000000000000000004l2`0000000000000000004f`\N`\N`\N`1906-02-02 00:00:00.0`1668`\N`123`000000000000000004l2`000000000000000004l2
271578`i`\N`00000000000000000099`0000000000000000002q`\N`\N`\N`1902-12-03 00:00:00.0`1440`\N`171`00000000000000000099`00000000000000000099
274614`p`\N`000000000000000002ll`0000000000000000002d`\N`\N`\N`1907-10-24 00:00:00.0`965`\N`105`000000000000000002ll`000000000000000002ll
274073`d`\N`0000000000000000026k`0000000000000000005c`\N`\N`\N`1902-05-19 00:00:00.0`922`\N`19`0000000000000000026k`0000000000000000026k
276777`v`\N`0000000000000000049o`0000000000000000003f`\N`\N`\N`1903-03-24 00:00:00.0`1769`\N`99`0000000000000000049o`0000000000000000049o
277409`f`\N`000000000000000004r8`0000000000000000004r`\N`\N`\N`1905-06-15 00:00:00.0`1309`\N`91`000000000000000004r8`000000000000000004r8
274669`4`\N`000000000000000002n4`0000000000000000002x`\N`\N`\N`1904-06-07 00:00:00.0`178`\N`151`000000000000000002n4`000000000000000002n4
273121`s`\N`000000000000000001g4`0000000000000000000j`\N`\N`\N`1902-02-13 00:00:00.0`495`\N`167`000000000000000001g4`000000000000000001g4
271852`9`\N`000000000000000000gv`0000000000000000002r`\N`\N`\N`1905-12-09 00:00:00.0`1492`\N`11`000000000000000000gv`000000000000000000gv
277037`2`\N`000000000000000004gw`0000000000000000002j`\N`\N`\N`1904-03-11 00:00:00.0`19`\N`34`000000000000000004gw`000000000000000004gw
272735`e`\N`0000000000000000015e`00000000000000000047`\N`\N`\N`1900-07-27 00:00:00.0`1121`\N`164`0000000000000000015e`0000000000000000015e
274309`x`\N`000000000000000002d4`0000000000000000004n`\N`\N`\N`1906-01-16 00:00:00.0`508`\N`179`000000000000000002d4`000000000000000002d4
271895`t`\N`000000000000000000i2`0000000000000000000b`\N`\N`\N`1900-03-05 00:00:00.0`1232`\N`42`000000000000000000i2`000000000000000000i2
272313`1`\N`000000000000000000to`0000000000000000005w`\N`\N`\N`1904-07-27 00:00:00.0`255`\N`83`000000000000000000to`000000000000000000to
274215`7`\N`000000000000000002ai`0000000000000000000y`\N`\N`\N`1906-02-27 00:00:00.0`1526`\N`140`000000000000000002ai`000000000000000002ai
276356`o`\N`000000000000000003xz`0000000000000000004k`\N`\N`\N`1906-12-17 00:00:00.0`278`\N`132`000000000000000003xz`000000000000000003xz
272584`k`\N`00000000000000000117`0000000000000000006c`\N`\N`\N`1906-08-15 00:00:00.0`1660`\N`45`00000000000000000117`00000000000000000117
271359`c`\N`00000000000000000036`0000000000000000004z`\N`\N`\N`1906-11-11 00:00:00.0`657`\N`161`00000000000000000036`00000000000000000036
274112`r`\N`0000000000000000027n`00000000000000000016`\N`\N`\N`1903-12-12 00:00:00.0`753`\N`150`0000000000000000027n`0000000000000000027n
274293`a`\N`000000000000000002co`0000000000000000002b`\N`\N`\N`1902-08-24 00:00:00.0`240`\N`39`000000000000000002co`000000000000000002co
273913`6`\N`00000000000000000224`0000000000000000003w`\N`\N`\N`1905-10-02 00:00:00.0`1150`\N`5`00000000000000000224`00000000000000000224
272057`5`\N`000000000000000000mk`0000000000000000003o`\N`\N`\N`1907-12-10 00:00:00.0`350`\N`130`000000000000000000mk`000000000000000000mk
275843`z`\N`000000000000000003jq`00000000000000000019`\N`\N`\N`1902-07-12 00:00:00.0`636`\N`97`000000000000000003jq`000000000000000003jq
272338`3`\N`000000000000000000ud`0000000000000000004h`\N`\N`\N`1904-11-05 00:00:00.0`721`\N`56`000000000000000000ud`000000000000000000ud
275690`l`\N`000000000000000003fh`00000000000000000046`\N`\N`\N`1903-08-03 00:00:00.0`1370`\N`162`000000000000000003fh`000000000000000003fh
273318`j`\N`000000000000000001ll`00000000000000000013`\N`\N`\N`1900-06-28 00:00:00.0`774`\N`176`000000000000000001ll`000000000000000001ll
273468`w`\N`000000000000000001pr`00000000000000000005`\N`\N`\N`1901-05-11 00:00:00.0`1207`\N`18`000000000000000001pr`000000000000000001pr
272311`m`\N`000000000000000000tm`0000000000000000003m`\N`\N`\N`1905-03-07 00:00:00.0`1164`\N`60`000000000000000000tm`000000000000000000tm
274097`n`\N`00000000000000000278`0000000000000000002p`\N`\N`\N`1904-02-02 00:00:00.0`1197`\N`155`00000000000000000278`00000000000000000278
272113`g`\N`000000000000000000o4`0000000000000000001k`\N`\N`\N`1900-01-20 00:00:00.0`574`\N`2`000000000000000000o4`000000000000000000o4
272422`b`\N`000000000000000000wp`0000000000000000004i`\N`\N`\N`1903-01-27 00:00:00.0`1671`\N`52`000000000000000000wp`000000000000000000wp
275519`y`\N`000000000000000003aq`0000000000000000004w`\N`\N`\N`1901-05-24 00:00:00.0`1641`\N`69`000000000000000003aq`000000000000000003aq
273236`q`\N`000000000000000001jb`0000000000000000000i`\N`\N`\N`1905-01-25 00:00:00.0`1186`\N`94`000000000000000001jb`000000000000000001jb
277072`u`\N`000000000000000004hv`0000000000000000001o`\N`\N`\N`1905-02-08 00:00:00.0`1136`\N`146`000000000000000004hv`000000000000000004hv
