000000000000000000is`\N`0000000000000000000o`000000000000000000is`1969-05-14 23:00:00.0`\N`\N`\N`44113`678`\N`000000000000000000is`000000000000000000is`2012-10-03 00:00:00.0`2012-09-27 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000br`\N`0000000000000000000k`000000000000000000br`1968-09-04 00:00:00.0`\N`\N`\N`43860`425`\N`000000000000000000br`000000000000000000br`2012-10-07 00:00:00.0`2012-10-01 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000p8`\N`0000000000000000000c`000000000000000000p8`1970-01-01 23:00:00.0`\N`\N`\N`44345`910`\N`000000000000000000p8`000000000000000000p8`2012-07-31 00:00:00.0`2012-07-25 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000b5`\N`0000000000000000000r`000000000000000000b5`1968-08-13 00:00:00.0`\N`\N`\N`43838`403`\N`000000000000000000b5`000000000000000000b5`2012-09-30 00:00:00.0`2013-01-06 23:00:00.0`2013-05-11 00:00:00.0
0000000000000000009c`\N`0000000000000000000a`0000000000000000009c`1968-06-09 00:00:00.0`\N`\N`\N`43773`338`\N`0000000000000000009c`0000000000000000009c`2012-08-26 00:00:00.0`2013-04-02 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000ig`\N`00000000000000000006`000000000000000000ig`1969-05-02 23:00:00.0`\N`\N`\N`44101`666`\N`000000000000000000ig`000000000000000000ig`2012-06-26 00:00:00.0`2012-11-26 23:00:00.0`2013-05-12 00:00:00.0
00000000000000000033`\N`00000000000000000005`00000000000000000033`1967-10-27 23:00:00.0`\N`\N`\N`43548`113`\N`00000000000000000033`00000000000000000033`2012-07-24 00:00:00.0`2013-01-30 23:00:00.0`2013-05-17 00:00:00.0
000000000000000000o4`\N`00000000000000000003`000000000000000000o4`1969-11-22 23:00:00.0`\N`\N`\N`44305`870`\N`000000000000000000o4`000000000000000000o4`2012-07-15 00:00:00.0`2012-09-24 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000aa`\N`0000000000000000000l`000000000000000000aa`1968-07-13 00:00:00.0`\N`\N`\N`43807`372`\N`000000000000000000aa`000000000000000000aa`2012-11-08 23:00:00.0`2013-03-13 23:00:00.0`2013-05-09 00:00:00.0
000000000000000000ez`\N`0000000000000000000j`000000000000000000ez`1968-12-28 23:00:00.0`\N`\N`\N`43976`541`\N`000000000000000000ez`000000000000000000ez`2012-07-30 00:00:00.0`2012-12-15 23:00:00.0`2013-05-15 00:00:00.0
000000000000000000ox`\N`0000000000000000000m`000000000000000000ox`1969-12-21 23:00:00.0`\N`\N`\N`44334`899`\N`000000000000000000ox`000000000000000000ox`2012-08-14 00:00:00.0`2012-08-20 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000037`\N`0000000000000000000n`00000000000000000037`1967-10-31 23:00:00.0`\N`\N`\N`43552`117`\N`00000000000000000037`00000000000000000037`2012-11-04 23:00:00.0`2012-06-20 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000r0`\N`0000000000000000000g`000000000000000000r0`1970-03-06 23:00:00.0`\N`\N`\N`44409`974`\N`000000000000000000r0`000000000000000000r0`2012-06-30 00:00:00.0`2013-04-16 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000001b`\N`0000000000000000000b`0000000000000000001b`1967-08-25 00:00:00.0`\N`\N`\N`43484`49`\N`0000000000000000001b`0000000000000000001b`2012-07-13 00:00:00.0`2012-07-18 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000005x`\N`0000000000000000000q`0000000000000000005x`1968-02-06 23:00:00.0`\N`\N`\N`43650`215`\N`0000000000000000005x`0000000000000000005x`2012-09-20 00:00:00.0`2012-07-09 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000dp`\N`0000000000000000000u`000000000000000000dp`1968-11-12 23:00:00.0`\N`\N`\N`43930`495`\N`000000000000000000dp`000000000000000000dp`2012-09-07 00:00:00.0`2012-11-02 23:00:00.0`2013-05-12 00:00:00.0
000000000000000000jq`\N`00000000000000000008`000000000000000000jq`1969-06-18 00:00:00.0`\N`\N`\N`44147`712`\N`000000000000000000jq`000000000000000000jq`2012-10-15 00:00:00.0`2012-11-11 23:00:00.0`2013-05-17 00:00:00.0
0000000000000000008a`\N`0000000000000000000h`0000000000000000008a`1968-05-01 23:00:00.0`\N`\N`\N`43735`300`\N`0000000000000000008a`0000000000000000008a`2012-09-27 00:00:00.0`2012-07-24 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000j1`\N`0000000000000000000i`000000000000000000j1`1969-05-23 23:00:00.0`\N`\N`\N`44122`687`\N`000000000000000000j1`000000000000000000j1`2012-07-03 00:00:00.0`2012-12-11 23:00:00.0`2013-05-09 00:00:00.0
000000000000000000i9`\N`0000000000000000000p`000000000000000000i9`1969-04-25 23:00:00.0`\N`\N`\N`44094`659`\N`000000000000000000i9`000000000000000000i9`2012-09-21 00:00:00.0`2013-03-21 23:00:00.0`2013-05-15 00:00:00.0
000000000000000000q2`00000000000000000033`0000000000000000000d`000000000000000000q2`1970-01-31 23:00:00.0`0000000000000000000k`000000000000000000is`21432`44375`940`145`000000000000000000q2`000000000000000000q2`2012-09-13 00:00:00.0`2013-03-18 23:00:00.0`2013-05-18 00:00:00.0
0000000000000000004s`00000000000000000037`0000000000000000000f`0000000000000000004s`1967-12-27 23:00:00.0`0000000000000000000c`000000000000000000br`21179`43609`174`149`0000000000000000004s`0000000000000000004s`2012-06-25 00:00:00.0`2013-03-08 23:00:00.0`2013-05-14 00:00:00.0
000000000000000000c4`0000000000000000001b`00000000000000000004`000000000000000000c4`1968-09-17 00:00:00.0`0000000000000000000a`000000000000000000b5`21157`43873`438`81`000000000000000000c4`000000000000000000c4`2012-07-18 00:00:00.0`2012-08-08 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000006l`00000000000000000030`0000000000000000000s`0000000000000000006l`1968-03-01 23:00:00.0`00000000000000000006`0000000000000000009c`21092`43674`239`142`0000000000000000006l`0000000000000000006l`2012-07-26 00:00:00.0`2013-02-07 23:00:00.0`2013-05-11 00:00:00.0
00000000000000000030`00000000000000000021`00000000000000000009`00000000000000000030`1967-10-24 23:00:00.0`00000000000000000005`000000000000000000ig`21420`43545`110`107`00000000000000000030`00000000000000000030`2012-09-05 00:00:00.0`2013-04-20 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000ly`0000000000000000000c`00000000000000000002`000000000000000000ly`1969-09-06 00:00:00.0`00000000000000000003`00000000000000000033`20867`44227`792`46`000000000000000000ly`000000000000000000ly`2012-10-31 23:00:00.0`2012-10-29 23:00:00.0`2013-05-12 00:00:00.0
000000000000000000a0`00000000000000000014`0000000000000000000e`000000000000000000a0`1968-07-03 00:00:00.0`0000000000000000000j`000000000000000000aa`21126`43797`362`74`000000000000000000a0`000000000000000000a0`2012-10-24 00:00:00.0`2013-01-24 23:00:00.0`2013-05-17 00:00:00.0
0000000000000000007r`0000000000000000000v`0000000000000000000t`0000000000000000007r`1968-04-12 23:00:00.0`0000000000000000000g`000000000000000000ez`21295`43716`281`65`0000000000000000007r`0000000000000000007r`2012-07-29 00:00:00.0`2012-06-24 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000005b`00000000000000000044`00000000000000000001`0000000000000000005b`1968-01-15 23:00:00.0`0000000000000000000b`00000000000000000037`20871`43628`193`182`0000000000000000005b`0000000000000000005b`2012-11-10 23:00:00.0`2013-01-19 23:00:00.0`2013-05-09 00:00:00.0
000000000000000000pu`0000000000000000001a`00000000000000000007`000000000000000000pu`1970-01-23 23:00:00.0`00000000000000000008`0000000000000000001b`20803`44367`932`80`000000000000000000pu`000000000000000000pu`2012-07-23 00:00:00.0`2013-02-23 23:00:00.0`2013-05-15 00:00:00.0
000000000000000000r1`0000000000000000001p`0000000000000000000o`000000000000000000r1`1970-03-07 23:00:00.0`0000000000000000000h`0000000000000000005x`20969`44410`975`95`000000000000000000r1`000000000000000000r1`2012-06-19 00:00:00.0`2012-07-07 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000021`00000000000000000040`0000000000000000000k`00000000000000000021`1967-09-20 00:00:00.0`0000000000000000000i`000000000000000000dp`21249`43510`75`178`00000000000000000021`00000000000000000021`2012-10-22 00:00:00.0`2012-11-13 23:00:00.0`2013-05-14 00:00:00.0
000000000000000000op`0000000000000000000g`0000000000000000000c`000000000000000000op`1969-12-13 23:00:00.0`0000000000000000000d`000000000000000000jq`21466`44326`891`50`000000000000000000op`000000000000000000op`2012-09-19 00:00:00.0`2012-09-14 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000pg`0000000000000000000t`0000000000000000000r`000000000000000000pg`1970-01-09 23:00:00.0`0000000000000000000f`0000000000000000008a`21054`44353`918`63`000000000000000000pg`000000000000000000pg`2012-08-09 00:00:00.0`2012-09-01 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000gx`0000000000000000002q`0000000000000000000a`000000000000000000gx`1969-03-08 23:00:00.0`00000000000000000004`000000000000000000j1`21441`44046`611`132`000000000000000000gx`000000000000000000gx`2012-07-02 00:00:00.0`2012-12-16 23:00:00.0`2013-05-16 00:00:00.0
000000000000000000jf`0000000000000000002d`00000000000000000006`000000000000000000jf`1969-06-07 00:00:00.0`00000000000000000009`000000000000000000i9`21413`44136`701`119`000000000000000000jf`000000000000000000jf`2012-08-13 00:00:00.0`2013-04-12 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000000c`0000000000000000003f`00000000000000000005`0000000000000000000c`1967-07-21 00:00:00.0`00000000000000000002`0000000000000000004s`20928`43449`14`157`0000000000000000000c`0000000000000000000c`2012-06-16 00:00:00.0`2012-10-09 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000008o`0000000000000000002x`00000000000000000003`0000000000000000008o`1968-05-15 23:00:00.0`0000000000000000000e`000000000000000000c4`21192`43749`314`139`0000000000000000008o`0000000000000000008o`2012-08-05 00:00:00.0`2012-11-25 23:00:00.0`2013-05-10 00:00:00.0
00000000000000000014`0000000000000000000j`0000000000000000000l`00000000000000000014`1967-08-18 00:00:00.0`00000000000000000001`0000000000000000006l`20993`43477`42`53`00000000000000000014`00000000000000000014`2012-08-22 00:00:00.0`2012-09-21 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000000v`0000000000000000002r`0000000000000000000j`0000000000000000000v`1967-08-09 00:00:00.0`00000000000000000007`00000000000000000030`20864`43468`33`133`0000000000000000000v`0000000000000000000v`2012-09-16 00:00:00.0`2012-06-27 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000me`0000000000000000002j`0000000000000000000m`000000000000000000me`1969-09-22 00:00:00.0`0000000000000000000k`000000000000000000ly`21546`44243`808`125`000000000000000000me`000000000000000000me`2012-11-06 23:00:00.0`2012-09-15 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000lk`0000000000000000000b`0000000000000000000n`000000000000000000lk`1969-08-23 00:00:00.0`0000000000000000000c`000000000000000000a0`21116`44213`778`45`000000000000000000lk`000000000000000000lk`2012-07-08 00:00:00.0`2012-09-07 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000p5`0000000000000000000y`0000000000000000000g`000000000000000000p5`1969-12-29 23:00:00.0`0000000000000000000a`0000000000000000007r`21035`44342`907`68`000000000000000000p5`000000000000000000p5`2012-09-02 00:00:00.0`2012-11-05 23:00:00.0`2013-05-13 00:00:00.0
0000000000000000008z`00000000000000000016`0000000000000000000b`0000000000000000008z`1968-05-27 00:00:00.0`00000000000000000006`0000000000000000005b`20947`43760`325`76`0000000000000000008z`0000000000000000008z`2012-08-15 00:00:00.0`2012-11-21 23:00:00.0`2013-05-11 00:00:00.0
00000000000000000092`0000000000000000002b`0000000000000000000q`00000000000000000092`1968-05-30 00:00:00.0`00000000000000000005`00000000000000000021`20829`43763`328`117`00000000000000000092`00000000000000000092`2012-10-13 00:00:00.0`2013-04-10 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000b8`0000000000000000003w`0000000000000000000u`000000000000000000b8`1968-08-16 00:00:00.0`00000000000000000003`000000000000000000gx`21365`43841`406`174`000000000000000000b8`000000000000000000b8`2012-10-11 00:00:00.0`2012-06-19 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000bi`0000000000000000003o`00000000000000000008`000000000000000000bi`1968-08-26 00:00:00.0`0000000000000000000j`000000000000000000jf`21455`43851`416`166`000000000000000000bi`000000000000000000bi`2012-08-20 00:00:00.0`2013-03-20 23:00:00.0`2013-05-17 00:00:00.0
000000000000000000iq`00000000000000000019`0000000000000000000h`000000000000000000iq`1969-05-12 23:00:00.0`0000000000000000000g`0000000000000000000c`20768`44111`676`79`000000000000000000iq`000000000000000000iq`2012-09-11 00:00:00.0`2013-02-03 23:00:00.0`2013-05-10 00:00:00.0
000000000000000000ab`00000000000000000046`0000000000000000000i`000000000000000000ab`1968-07-14 00:00:00.0`0000000000000000000b`0000000000000000008o`21068`43808`373`184`000000000000000000ab`000000000000000000ab`2012-09-14 00:00:00.0`2013-01-05 23:00:00.0`2013-05-09 00:00:00.0
000000000000000000fp`00000000000000000013`0000000000000000000p`000000000000000000fp`1969-01-23 23:00:00.0`00000000000000000008`00000000000000000014`20796`44002`567`73`000000000000000000fp`000000000000000000fp`2012-10-14 00:00:00.0`2012-07-12 00:00:00.0`2013-05-15 00:00:00.0
