000000000000000000is`0000000000000000001d`000000000000000002op`44113`2012-10-02 00:00:00.0
000000000000000000br`00000000000000000014`0000000000000000038t`43860`2012-09-16 00:00:00.0
000000000000000000p8`00000000000000000015`000000000000000000dz`44345`2012-09-12 00:00:00.0
000000000000000000b5`0000000000000000000o`000000000000000002ls`43838`2012-10-01 00:00:00.0
0000000000000000009c`0000000000000000000k`000000000000000002t2`43773`2012-09-04 00:00:00.0
000000000000000000ig`00000000000000000013`0000000000000000026q`44101`2012-09-19 00:00:00.0
00000000000000000033`00000000000000000019`000000000000000002jn`43548`2012-09-02 00:00:00.0
000000000000000000o4`0000000000000000000c`00000000000000000124`44305`2012-08-29 00:00:00.0
000000000000000000aa`0000000000000000000r`000000000000000000os`43807`2012-09-30 00:00:00.0
000000000000000000ez`0000000000000000000a`00000000000000000201`43976`2012-08-28 00:00:00.0
000000000000000000ox`00000000000000000006`00000000000000000282`44334`2012-09-27 00:00:00.0
00000000000000000037`00000000000000000016`00000000000000000099`43552`2012-08-26 00:00:00.0
0000000000000000001b`00000000000000000012`000000000000000002ll`43484`2012-09-13 00:00:00.0
0000000000000000005x`00000000000000000018`0000000000000000026k`43650`2012-09-11 00:00:00.0
000000000000000000dp`00000000000000000005`000000000000000002n4`43930`2012-09-24 00:00:00.0
000000000000000000jq`0000000000000000000z`000000000000000001g4`44147`2012-09-14 00:00:00.0
0000000000000000008a`00000000000000000017`000000000000000000gv`43735`2012-09-15 00:00:00.0
000000000000000000j1`00000000000000000003`0000000000000000015e`44122`2012-09-08 00:00:00.0
000000000000000000i9`0000000000000000000l`000000000000000002d4`44094`2012-09-03 00:00:00.0
000000000000000000q2`0000000000000000001a`000000000000000000i2`44375`2012-09-26 00:00:00.0
0000000000000000004s`0000000000000000000j`000000000000000000to`43609`2012-09-28 00:00:00.0
000000000000000000c4`0000000000000000000w`000000000000000002ai`43873`2012-09-18 00:00:00.0
0000000000000000006l`0000000000000000000m`00000000000000000117`43674`2012-09-22 00:00:00.0
00000000000000000030`0000000000000000000n`00000000000000000036`43545`2012-08-31 00:00:00.0
