000000000000000000q2`000000000000000000kx`0000000000000000000k`1972-03-04 00:00:00.0`1976-01-10 00:00:00.0`1978-03-25 00:00:00.0`1977-02-22 00:00:00.0`00000000000000000052`86`\N`44375`959`2012-11-01 23:00:00.0`2013-05-18 00:00:00.0
0000000000000000004s`0000000000000000006o`0000000000000000000c`1972-08-25 01:00:00.0`1976-02-06 00:00:00.0`1973-10-16 00:00:00.0`1981-02-14 00:00:00.0`000000000000000000kb`5074`\N`43609`966`2012-10-24 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000c4`0000000000000000009q`0000000000000000000a`1973-05-11 00:00:00.0`1976-03-13 00:00:00.0`1979-04-25 00:00:00.0`1980-07-04 01:00:00.0`000000000000000000g8`239`\N`43873`650`2012-11-30 23:00:00.0`2013-05-13 00:00:00.0
0000000000000000006l`000000000000000000ho`00000000000000000006`1972-06-30 01:00:00.0`1976-02-02 00:00:00.0`1979-02-08 00:00:00.0`1978-06-05 01:00:00.0`00000000000000000157`4094`\N`43674`1551`2012-10-25 00:00:00.0`2013-05-11 00:00:00.0
00000000000000000030`000000000000000000k1`00000000000000000005`1974-08-25 01:00:00.0`1976-02-05 00:00:00.0`1976-06-24 01:00:00.0`1981-06-17 01:00:00.0`0000000000000000005p`1378`\N`43545`797`2012-10-08 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000ly`000000000000000000li`00000000000000000003`1974-05-31 01:00:00.0`1976-06-22 01:00:00.0`1978-03-30 00:00:00.0`1977-08-03 01:00:00.0`0000000000000000012d`1246`\N`44227`173`2012-11-19 23:00:00.0`2013-05-12 00:00:00.0
000000000000000000a0`000000000000000000fy`0000000000000000000j`1974-11-25 00:00:00.0`1976-01-29 00:00:00.0`1974-08-07 01:00:00.0`1980-05-01 01:00:00.0`0000000000000000013j`3465`\N`43797`1117`2012-11-17 23:00:00.0`2013-05-17 00:00:00.0
0000000000000000007r`000000000000000000s1`0000000000000000000g`1972-06-09 01:00:00.0`1976-05-27 00:00:00.0`1978-10-12 00:00:00.0`1976-02-20 00:00:00.0`000000000000000000n3`4295`\N`43716`864`2012-11-03 23:00:00.0`2013-05-10 00:00:00.0
0000000000000000005b`000000000000000000a1`0000000000000000000b`1972-09-23 01:00:00.0`1976-04-18 00:00:00.0`1978-11-11 00:00:00.0`1976-08-26 01:00:00.0`000000000000000000j4`3230`\N`43628`154`2012-11-06 23:00:00.0`2013-05-09 00:00:00.0
000000000000000000pu`00000000000000000014`00000000000000000008`1972-11-21 00:00:00.0`1976-02-10 00:00:00.0`1978-02-13 00:00:00.0`1979-03-15 00:00:00.0`000000000000000000fo`437`\N`44367`609`2012-11-27 23:00:00.0`2013-05-15 00:00:00.0
000000000000000000r1`0000000000000000002y`0000000000000000000h`1973-02-06 00:00:00.0`1976-07-06 01:00:00.0`1974-02-10 00:00:00.0`1976-09-13 01:00:00.0`000000000000000000s9`5769`\N`44410`209`2012-10-04 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000021`000000000000000000lo`0000000000000000000i`1972-08-12 01:00:00.0`1976-01-16 00:00:00.0`1977-06-04 01:00:00.0`1977-05-12 00:00:00.0`000000000000000000tk`133`\N`43510`352`2012-10-23 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000op`0000000000000000003l`0000000000000000000d`1973-06-29 01:00:00.0`1976-06-24 01:00:00.0`1978-07-13 01:00:00.0`1977-09-28 00:00:00.0`000000000000000000x6`2651`\N`44326`719`2012-11-23 23:00:00.0`2013-05-13 00:00:00.0
000000000000000000pg`0000000000000000005e`0000000000000000000f`1973-12-19 00:00:00.0`1976-03-21 00:00:00.0`1978-01-25 00:00:00.0`1976-03-04 00:00:00.0`000000000000000000b1`6304`\N`44353`421`2012-10-28 23:00:00.0`2013-05-11 00:00:00.0
000000000000000000gx`000000000000000000nd`00000000000000000004`1974-03-14 00:00:00.0`1975-12-16 00:00:00.0`1974-03-31 00:00:00.0`1976-08-04 01:00:00.0`000000000000000000rj`1677`\N`44046`616`2012-09-26 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000jf`000000000000000000oz`00000000000000000009`1973-11-12 00:00:00.0`1976-06-08 01:00:00.0`1978-10-31 00:00:00.0`1979-09-17 01:00:00.0`0000000000000000004i`3556`\N`44136`977`2012-11-28 23:00:00.0`2013-05-12 00:00:00.0
0000000000000000000c`000000000000000000qp`00000000000000000002`1972-09-06 01:00:00.0`1975-12-31 00:00:00.0`1973-01-01 00:00:00.0`1979-05-08 00:00:00.0`000000000000000000ke`4283`\N`43449`321`2012-10-11 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000008o`0000000000000000008a`0000000000000000000e`1974-01-16 00:00:00.0`1976-07-21 01:00:00.0`1977-09-05 01:00:00.0`1977-02-18 00:00:00.0`0000000000000000013q`2522`\N`43749`1376`2012-09-24 00:00:00.0`2013-05-10 00:00:00.0
00000000000000000014`0000000000000000003m`00000000000000000001`1973-05-21 00:00:00.0`1976-02-15 00:00:00.0`1978-07-23 01:00:00.0`1976-04-20 00:00:00.0`000000000000000000gc`2943`\N`43477`627`2012-11-22 23:00:00.0`2013-05-09 00:00:00.0
0000000000000000000v`000000000000000000gi`00000000000000000007`1974-09-25 01:00:00.0`1976-06-21 01:00:00.0`1978-11-16 00:00:00.0`1980-07-12 01:00:00.0`000000000000000000mj`3518`\N`43468`602`2012-11-25 23:00:00.0`2013-05-15 00:00:00.0
000000000000000000me`000000000000000000op`0000000000000000000k`1974-03-16 00:00:00.0`1976-01-03 00:00:00.0`1977-02-11 00:00:00.0`1977-09-24 01:00:00.0`000000000000000000v1`2844`\N`44243`1409`2012-09-20 00:00:00.0`2013-05-18 00:00:00.0
