000000000000000000is`000000000000000000br`1973-07-17 01:00:00.0`1988-02-28 00:00:00.0`44113`457`2012-10-10 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000br`000000000000000000b5`1974-08-10 01:00:00.0`1988-02-06 00:00:00.0`43860`435`2012-10-02 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000p8`0000000000000000009c`1973-01-28 00:00:00.0`1987-12-03 00:00:00.0`44345`370`2012-09-30 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000b5`00000000000000000033`1973-10-29 00:00:00.0`1987-04-22 01:00:00.0`43838`145`2012-09-26 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000009c`000000000000000000aa`1973-12-11 00:00:00.0`1988-01-06 00:00:00.0`43773`404`2012-09-25 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000ig`00000000000000000037`1975-02-02 00:00:00.0`1987-04-26 01:00:00.0`44101`149`2012-09-23 00:00:00.0`2013-05-12 00:00:00.0
00000000000000000033`0000000000000000001b`1972-06-23 01:00:00.0`1987-02-17 00:00:00.0`43548`81`2012-10-09 00:00:00.0`2013-05-17 00:00:00.0
000000000000000000o4`0000000000000000005x`1974-05-22 00:00:00.0`1987-08-02 01:00:00.0`44305`247`2012-10-06 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000aa`0000000000000000008a`1975-02-27 00:00:00.0`1987-10-26 00:00:00.0`43807`332`2012-10-01 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000ez`0000000000000000004s`1975-01-31 00:00:00.0`1987-06-22 01:00:00.0`43976`206`2012-09-28 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000ox`000000000000000000c4`1974-07-17 01:00:00.0`1988-03-12 00:00:00.0`44334`470`2012-10-07 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000037`0000000000000000006l`1975-05-22 00:00:00.0`1987-08-26 01:00:00.0`43552`271`2012-10-08 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000r0`00000000000000000030`1974-04-13 00:00:00.0`1987-04-19 01:00:00.0`44409`142`2012-10-03 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000001b`000000000000000000a0`1972-09-24 01:00:00.0`1987-12-27 00:00:00.0`43484`394`2012-10-05 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000005x`0000000000000000007r`1972-05-03 00:00:00.0`1987-10-07 00:00:00.0`43650`313`2012-09-24 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000dp`0000000000000000005b`1974-10-22 00:00:00.0`1987-07-11 01:00:00.0`43930`225`2012-09-29 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000jq`00000000000000000021`1974-09-09 01:00:00.0`1987-03-15 00:00:00.0`44147`107`2012-09-22 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000008a`0000000000000000000c`1972-08-26 01:00:00.0`1987-01-13 00:00:00.0`43735`46`2012-10-04 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000j1`0000000000000000008o`1973-07-09 01:00:00.0`1987-11-09 00:00:00.0`44122`346`2012-09-21 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000i9`00000000000000000014`1972-03-20 00:00:00.0`1987-02-10 00:00:00.0`44094`74`2012-09-27 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000q2`0000000000000000000v`1975-03-27 00:00:00.0`1987-02-01 00:00:00.0`44375`65`2012-10-10 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000004s`0000000000000000008z`1973-07-22 01:00:00.0`1987-11-20 00:00:00.0`43609`357`2012-10-02 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000c4`00000000000000000092`1975-07-16 01:00:00.0`1987-11-23 00:00:00.0`43873`360`2012-09-30 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000006l`000000000000000000b8`1972-11-11 00:00:00.0`1988-02-09 00:00:00.0`43674`438`2012-09-26 00:00:00.0`2013-05-11 00:00:00.0
00000000000000000030`000000000000000000bi`1972-12-04 00:00:00.0`1988-02-19 00:00:00.0`43545`448`2012-09-25 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000ly`000000000000000000ab`1973-12-18 00:00:00.0`1988-01-07 00:00:00.0`44227`405`2012-09-23 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000a0`00000000000000000044`1974-03-24 00:00:00.0`1988-03-24 00:00:00.0`43797`182`2012-10-09 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000007r`0000000000000000004d`1972-10-27 00:00:00.0`1987-05-29 01:00:00.0`43716`191`2012-10-06 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000005b`0000000000000000001a`1975-04-25 00:00:00.0`1987-06-07 01:00:00.0`43628`80`2012-10-01 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000pu`00000000000000000057`1973-02-14 00:00:00.0`1987-02-16 00:00:00.0`44367`221`2012-09-28 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000r1`0000000000000000007z`1973-11-27 00:00:00.0`1987-07-07 01:00:00.0`44410`321`2012-10-07 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000021`000000000000000000b3`1974-02-20 00:00:00.0`1987-10-15 00:00:00.0`43510`433`2012-10-08 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000op`0000000000000000007w`1974-04-14 00:00:00.0`1988-02-04 00:00:00.0`44326`318`2012-10-03 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000pg`0000000000000000008x`1975-06-21 01:00:00.0`1987-10-12 00:00:00.0`44353`355`2012-10-05 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000gx`0000000000000000007m`1975-05-09 00:00:00.0`1987-11-18 00:00:00.0`44046`308`2012-09-24 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000jf`0000000000000000001p`1975-06-11 01:00:00.0`1987-10-02 00:00:00.0`44136`95`2012-09-29 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000000c`0000000000000000006t`1973-09-26 01:00:00.0`1987-03-03 00:00:00.0`43449`279`2012-09-22 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000008o`0000000000000000008s`1975-05-31 00:00:00.0`1987-09-03 01:00:00.0`43749`350`2012-10-04 00:00:00.0`2013-05-10 00:00:00.0
00000000000000000014`00000000000000000040`1975-04-11 00:00:00.0`1987-11-13 00:00:00.0`43477`178`2012-09-21 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000000v`000000000000000000ac`1974-12-05 00:00:00.0`1987-05-25 01:00:00.0`43468`406`2012-09-27 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000me`0000000000000000006f`1973-02-25 00:00:00.0`1988-01-08 00:00:00.0`44243`265`2012-10-10 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000lk`0000000000000000000g`1972-04-10 00:00:00.0`1987-08-20 01:00:00.0`44213`50`2012-10-02 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000p5`000000000000000000bk`1972-06-15 01:00:00.0`1987-01-17 00:00:00.0`44342`450`2012-09-30 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000008z`000000000000000000b6`1974-04-20 00:00:00.0`1988-02-21 00:00:00.0`43760`436`2012-09-26 00:00:00.0`2013-05-11 00:00:00.0
00000000000000000092`000000000000000000a2`1972-07-08 01:00:00.0`1988-02-07 00:00:00.0`43763`396`2012-09-25 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000b8`00000000000000000097`1972-09-11 01:00:00.0`1987-12-29 00:00:00.0`43841`365`2012-09-23 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000bi`0000000000000000006a`1975-04-01 00:00:00.0`1987-11-28 00:00:00.0`43851`260`2012-10-09 00:00:00.0`2013-05-17 00:00:00.0
000000000000000000iq`000000000000000000bl`1974-06-20 01:00:00.0`1987-08-15 01:00:00.0`44111`451`2012-10-06 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000ab`000000000000000000al`1974-08-17 01:00:00.0`1988-02-22 00:00:00.0`43808`415`2012-10-01 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000fp`00000000000000000079`1974-10-18 00:00:00.0`1988-01-17 00:00:00.0`44002`295`2012-09-28 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000fo`000000000000000000bq`1975-05-03 00:00:00.0`1987-09-19 01:00:00.0`44001`456`2012-10-07 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000ey`000000000000000000bw`1972-12-24 00:00:00.0`1988-02-27 00:00:00.0`43975`462`2012-10-08 00:00:00.0`2013-05-14 00:00:00.0
