000000000000000000is`0000000000000000000k`000000000000000000dz`1973-07-17 01:00:00.0`1976-03-29 00:00:00.0`44113`21259`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000br`0000000000000000000c`000000000000000000os`1974-08-10 01:00:00.0`1976-04-02 00:00:00.0`43860`21648`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000p8`0000000000000000000a`00000000000000000099`1973-01-28 00:00:00.0`1976-01-25 00:00:00.0`44345`21089`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000b5`00000000000000000006`000000000000000000gv`1973-10-29 00:00:00.0`1976-07-09 01:00:00.0`43838`21363`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000009c`00000000000000000005`000000000000000000i2`1973-12-11 00:00:00.0`1976-05-29 00:00:00.0`43773`21406`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000ig`00000000000000000003`00000000000000000036`1972-06-23 01:00:00.0`1976-08-02 01:00:00.0`44101`20870`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
00000000000000000033`0000000000000000000j`000000000000000000mk`1974-05-22 00:00:00.0`1976-03-26 00:00:00.0`43548`21568`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
000000000000000000o4`0000000000000000000g`000000000000000000o4`1974-07-17 01:00:00.0`1976-06-17 01:00:00.0`44305`21624`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000aa`0000000000000000000b`000000000000000000lh`1974-04-13 00:00:00.0`1976-02-20 00:00:00.0`43807`21529`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000ez`00000000000000000008`0000000000000000005r`1972-09-24 01:00:00.0`1975-12-21 00:00:00.0`43976`20963`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000ox`0000000000000000000h`0000000000000000001r`1972-05-03 00:00:00.0`1976-01-18 00:00:00.0`44334`20819`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000037`0000000000000000000i`000000000000000000qt`1974-10-22 00:00:00.0`1976-01-09 00:00:00.0`43552`21721`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000r0`0000000000000000000d`000000000000000000pm`1974-09-09 01:00:00.0`1976-05-05 00:00:00.0`44409`21678`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000001b`0000000000000000000f`0000000000000000004y`1972-08-26 01:00:00.0`1976-05-14 00:00:00.0`43484`20934`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
0000000000000000005x`00000000000000000004`000000000000000000dr`1973-07-09 01:00:00.0`1976-01-24 00:00:00.0`43650`21251`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000dp`00000000000000000009`0000000000000000000j`1972-03-20 00:00:00.0`1976-06-13 01:00:00.0`43930`20775`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000jq`00000000000000000002`000000000000000000e4`1973-07-22 01:00:00.0`1976-02-08 00:00:00.0`44147`21264`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000008a`0000000000000000000e`00000000000000000073`1972-11-11 00:00:00.0`1976-05-01 00:00:00.0`43735`21011`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000j1`00000000000000000001`0000000000000000007q`1972-12-04 00:00:00.0`1976-07-27 01:00:00.0`44122`21034`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000i9`00000000000000000007`000000000000000000i9`1973-12-18 00:00:00.0`1975-12-25 00:00:00.0`44094`21413`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000q2`0000000000000000000k`000000000000000000kx`1974-03-24 00:00:00.0`1976-07-22 01:00:00.0`44375`21509`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
0000000000000000004s`0000000000000000000c`0000000000000000006o`1972-10-27 00:00:00.0`1976-01-07 00:00:00.0`43609`20996`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000c4`0000000000000000000a`0000000000000000009q`1973-02-14 00:00:00.0`1976-05-16 00:00:00.0`43873`21106`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000006l`00000000000000000006`000000000000000000ho`1973-11-27 00:00:00.0`1976-03-16 00:00:00.0`43674`21392`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
00000000000000000030`00000000000000000005`000000000000000000k1`1974-02-20 00:00:00.0`1976-03-03 00:00:00.0`43545`21477`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000ly`00000000000000000003`000000000000000000li`1974-04-14 00:00:00.0`1976-06-18 01:00:00.0`44227`21530`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000a0`0000000000000000000j`000000000000000000fy`1973-09-26 01:00:00.0`1976-04-10 00:00:00.0`43797`21330`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000007r`0000000000000000000g`000000000000000000s1`1974-12-05 00:00:00.0`1976-05-28 00:00:00.0`43716`21765`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
0000000000000000005b`0000000000000000000b`000000000000000000a1`1973-02-25 00:00:00.0`1976-03-23 00:00:00.0`43628`21117`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000pu`00000000000000000008`00000000000000000014`1972-04-10 00:00:00.0`1975-12-28 00:00:00.0`44367`20796`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000r1`0000000000000000000h`0000000000000000002y`1972-06-15 01:00:00.0`1976-03-17 00:00:00.0`44410`20862`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
00000000000000000021`0000000000000000000i`000000000000000000lo`1974-04-20 00:00:00.0`1976-03-09 00:00:00.0`43510`21536`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000op`0000000000000000000d`0000000000000000003l`1972-07-08 01:00:00.0`1976-05-08 00:00:00.0`44326`20885`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
000000000000000000pg`0000000000000000000f`0000000000000000005e`1972-09-11 01:00:00.0`1976-05-24 00:00:00.0`44353`20950`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
000000000000000000gx`00000000000000000004`000000000000000000nd`1974-06-20 01:00:00.0`1975-12-20 00:00:00.0`44046`21597`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000jf`00000000000000000009`000000000000000000oz`1974-08-17 01:00:00.0`1976-07-08 01:00:00.0`44136`21655`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
0000000000000000000c`00000000000000000002`000000000000000000qp`1974-10-18 00:00:00.0`1976-01-12 00:00:00.0`43449`21717`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
0000000000000000008o`0000000000000000000e`0000000000000000008a`1972-12-24 00:00:00.0`1976-05-21 00:00:00.0`43749`21054`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
00000000000000000014`00000000000000000001`0000000000000000003m`1972-07-09 01:00:00.0`1976-07-24 01:00:00.0`43477`20886`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
0000000000000000000v`00000000000000000007`000000000000000000gi`1973-10-16 00:00:00.0`1976-06-05 01:00:00.0`43468`21350`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000me`0000000000000000000k`000000000000000000op`1974-08-07 01:00:00.0`1976-01-20 00:00:00.0`44243`21645`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000lk`0000000000000000000c`000000000000000000jr`1974-02-10 00:00:00.0`1976-03-01 00:00:00.0`44213`21467`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000p5`0000000000000000000a`000000000000000000l4`1974-03-31 00:00:00.0`1976-04-27 00:00:00.0`44342`21516`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
0000000000000000008z`00000000000000000006`0000000000000000008i`1973-01-01 00:00:00.0`1976-04-19 00:00:00.0`43760`21062`9999-12-31 00:00:00.0`2013-05-11 00:00:00.0
00000000000000000092`00000000000000000005`000000000000000000dx`1973-07-15 01:00:00.0`1976-01-23 00:00:00.0`43763`21257`9999-12-31 00:00:00.0`2013-05-16 00:00:00.0
000000000000000000b8`00000000000000000003`00000000000000000080`1972-12-14 00:00:00.0`1976-05-18 00:00:00.0`43841`21044`9999-12-31 00:00:00.0`2013-05-12 00:00:00.0
000000000000000000bi`0000000000000000000j`0000000000000000005d`1972-09-10 01:00:00.0`1976-05-07 00:00:00.0`43851`20949`9999-12-31 00:00:00.0`2013-05-17 00:00:00.0
000000000000000000iq`0000000000000000000g`000000000000000000bo`1973-04-25 00:00:00.0`1976-01-17 00:00:00.0`44111`21176`9999-12-31 00:00:00.0`2013-05-10 00:00:00.0
000000000000000000ab`0000000000000000000b`000000000000000000rq`1974-11-24 00:00:00.0`1975-12-14 00:00:00.0`43808`21754`9999-12-31 00:00:00.0`2013-05-09 00:00:00.0
000000000000000000fp`00000000000000000008`0000000000000000002r`1972-06-08 01:00:00.0`1976-04-17 00:00:00.0`44002`20855`9999-12-31 00:00:00.0`2013-05-15 00:00:00.0
000000000000000000fo`0000000000000000000h`000000000000000000aa`1973-03-06 00:00:00.0`1976-03-15 00:00:00.0`44001`21126`9999-12-31 00:00:00.0`2013-05-18 00:00:00.0
000000000000000000ey`0000000000000000000i`000000000000000000q3`1974-09-26 01:00:00.0`1976-07-31 01:00:00.0`43975`21695`9999-12-31 00:00:00.0`2013-05-14 00:00:00.0
000000000000000000o7`0000000000000000000d`000000000000000000ma`1974-05-12 00:00:00.0`1976-02-03 00:00:00.0`44308`21558`9999-12-31 00:00:00.0`2013-05-13 00:00:00.0
