000000000000000000is`0000000000000000001d`\N`00000000000000000001`1970-04-22 01:00:00.0`1972-07-31 02:00:00.0`676`0000000000000br`\N`21036`000000000000000000is`\N`2012-07-27 02:00:00.0`2012-10-03 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000br`00000000000000000014`\N`00000000000000000002`1970-04-26 01:00:00.0`1971-12-19 01:00:00.0`423`0000000000000b5`\N`20783`000000000000000000br`\N`2012-07-18 02:00:00.0`2012-07-31 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000p8`00000000000000000015`\N`00000000000000000001`1970-02-17 01:00:00.0`1972-09-03 02:00:00.0`401`00000000000009c`\N`21664`000000000000000000p8`\N`2012-08-25 02:00:00.0`2012-09-30 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000b5`0000000000000000000o`\N`00000000000000000002`1970-04-19 01:00:00.0`1971-12-23 01:00:00.0`336`000000000000033`\N`20761`000000000000000000b5`\N`2012-07-19 02:00:00.0`2012-08-26 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000009c`0000000000000000001t`\N`00000000000000000001`1970-03-15 01:00:00.0`1971-10-16 01:00:00.0`664`0000000000000aa`\N`21597`0000000000000000009c`\N`2012-09-01 02:00:00.0`2012-06-26 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ig`0000000000000000001f`\N`00000000000000000002`1970-01-13 01:00:00.0`1972-03-30 01:00:00.0`111`000000000000037`\N`21024`000000000000000000ig`\N`2012-09-06 02:00:00.0`2012-07-24 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000033`0000000000000000001i`\N`00000000000000000001`1970-02-10 01:00:00.0`1972-06-23 02:00:00.0`370`00000000000001b`\N`21372`00000000000000000033`\N`2012-07-02 02:00:00.0`2012-07-15 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000o4`0000000000000000000k`\N`00000000000000000002`1970-02-01 01:00:00.0`1972-02-18 01:00:00.0`539`00000000000005x`\N`21228`000000000000000000o4`\N`2012-08-14 02:00:00.0`2012-07-30 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000aa`00000000000000000013`\N`00000000000000000001`1970-02-16 01:00:00.0`1972-04-23 01:00:00.0`115`0000000000000dp`\N`21631`000000000000000000aa`\N`2012-08-12 02:00:00.0`2012-08-14 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ez`00000000000000000019`00000000000000000003`00000000000000000002`1970-03-03 01:00:00.0`1971-12-16 01:00:00.0`47`00000000000008a`\N`20899`000000000000000000ez`\N`2012-07-29 02:00:00.0`2012-06-30 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ox`0000000000000000000c`00000000000000000001`00000000000000000001`1970-01-17 01:00:00.0`1972-08-24 02:00:00.0`213`00000000000004s`\N`21257`000000000000000000ox`\N`2012-08-01 02:00:00.0`2012-07-13 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000037`0000000000000000000r`00000000000000000002`00000000000000000002`1970-01-30 01:00:00.0`1972-06-04 02:00:00.0`493`0000000000000c4`\N`21376`00000000000000000037`\N`2012-08-22 02:00:00.0`2012-09-20 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000001b`0000000000000000000a`00000000000000000003`00000000000000000001`1970-04-09 01:00:00.0`1972-03-08 01:00:00.0`710`00000000000006l`\N`21308`0000000000000000001b`\N`2012-06-28 02:00:00.0`2012-09-07 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000005x`00000000000000000006`00000000000000000001`00000000000000000002`1970-03-27 01:00:00.0`1971-11-11 01:00:00.0`298`000000000000030`\N`21474`0000000000000000005x`\N`2012-07-17 02:00:00.0`2012-09-27 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000dp`00000000000000000016`00000000000000000002`00000000000000000001`1970-05-04 01:00:00.0`1971-09-11 02:00:00.0`685`0000000000000a0`\N`20853`000000000000000000dp`\N`2012-08-18 02:00:00.0`2012-07-03 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000jq`00000000000000000012`00000000000000000003`00000000000000000002`1970-04-16 01:00:00.0`1972-07-07 02:00:00.0`657`00000000000007r`\N`21070`000000000000000000jq`\N`2012-07-23 02:00:00.0`2012-09-21 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008a`0000000000000000001s`00000000000000000001`00000000000000000001`1970-01-20 01:00:00.0`1971-10-09 01:00:00.0`172`00000000000005b`\N`21559`0000000000000000008a`\N`2012-06-20 02:00:00.0`2012-09-13 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000j1`00000000000000000018`00000000000000000002`00000000000000000002`1970-04-10 01:00:00.0`1971-09-30 01:00:00.0`436`000000000000021`\N`21045`000000000000000000j1`\N`2012-08-31 02:00:00.0`2012-06-25 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000i9`00000000000000000005`00000000000000000003`00000000000000000001`1970-04-02 01:00:00.0`1972-07-18 02:00:00.0`237`00000000000000c`\N`21017`000000000000000000i9`\N`2012-08-30 02:00:00.0`2012-07-18 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000004s`0000000000000000000z`00000000000000000001`00000000000000000002`1970-01-12 01:00:00.0`1972-07-21 02:00:00.0`108`00000000000008o`\N`21433`0000000000000000004s`\N`2012-08-23 02:00:00.0`2012-07-26 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000c4`00000000000000000017`00000000000000000002`00000000000000000001`1970-02-04 01:00:00.0`1972-09-04 02:00:00.0`790`000000000000014`\N`20796`000000000000000000c4`\N`2012-07-05 02:00:00.0`2012-09-05 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000006l`00000000000000000003`00000000000000000003`00000000000000000002`1970-02-12 01:00:00.0`1972-01-25 01:00:00.0`360`00000000000000v`\N`21498`0000000000000000006l`\N`2012-09-04 02:00:00.0`2012-07-29 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000030`0000000000000000000l`00000000000000000001`00000000000000000001`1970-03-25 01:00:00.0`1972-02-03 01:00:00.0`279`00000000000008z`\N`21369`00000000000000000030`\N`2012-06-18 02:00:00.0`2012-07-23 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ly`0000000000000000001a`00000000000000000002`00000000000000000002`1970-02-15 01:00:00.0`1971-10-15 01:00:00.0`191`000000000000092`\N`21150`000000000000000000ly`\N`2012-08-17 02:00:00.0`2012-06-19 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000a0`0000000000000000000j`00000000000000000003`00000000000000000001`1970-02-09 01:00:00.0`1972-03-04 01:00:00.0`73`0000000000000b8`\N`21621`000000000000000000a0`\N`2012-09-02 02:00:00.0`2012-09-19 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000007r`0000000000000000000w`00000000000000000001`00000000000000000002`1970-01-06 01:00:00.0`1972-06-12 02:00:00.0`609`0000000000000bi`\N`21540`0000000000000000007r`\N`2012-08-20 02:00:00.0`2012-08-09 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000005b`0000000000000000000m`00000000000000000002`00000000000000000001`1970-04-08 01:00:00.0`1972-06-09 02:00:00.0`699`0000000000000ab`\N`21452`0000000000000000005b`\N`2012-06-14 02:00:00.0`2012-07-02 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000021`0000000000000000001h`00000000000000000003`00000000000000000002`1970-02-26 01:00:00.0`1972-07-16 02:00:00.0`12`0000000000000cg`\N`21334`00000000000000000021`\N`2012-07-20 02:00:00.0`2012-08-13 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000op`0000000000000000001g`00000000000000000001`00000000000000000001`1970-01-19 01:00:00.0`1972-05-30 02:00:00.0`312`000000000000044`\N`21249`000000000000000000op`\N`2012-07-16 02:00:00.0`2012-06-16 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000gx`0000000000000000001p`00000000000000000002`00000000000000000002`1970-03-02 01:00:00.0`1971-10-30 01:00:00.0`40`00000000000004d`\N`20969`000000000000000000gx`\N`2012-08-11 02:00:00.0`2012-08-05 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000jf`0000000000000000000n`00000000000000000003`00000000000000000001`1970-01-03 01:00:00.0`1972-05-01 01:00:00.0`31`00000000000001a`\N`21059`000000000000000000jf`\N`2012-07-22 02:00:00.0`2012-08-22 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000000c`0000000000000000001o`00000000000000000001`00000000000000000002`1970-02-22 01:00:00.0`1972-07-11 02:00:00.0`776`000000000000057`\N`21273`0000000000000000000c`\N`2012-06-13 02:00:00.0`2012-09-16 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008o`0000000000000000000g`00000000000000000002`00000000000000000001`1970-03-11 01:00:00.0`1972-01-21 01:00:00.0`323`00000000000007z`\N`21573`0000000000000000008o`\N`2012-07-13 02:00:00.0`2012-07-08 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000014`0000000000000000000b`00000000000000000003`00000000000000000002`1970-04-05 01:00:00.0`1972-09-05 02:00:00.0`326`0000000000000b3`\N`21301`00000000000000000014`\N`2012-07-21 02:00:00.0`2012-09-02 02:00:00.0`2013-05-08 02:00:00.0
