000000000000000000is`1970-04-22 01:00:00.0`1972-10-26 01:00:00.0`000000000000001`0000000000000000001u`000000000000001`21`503`21074`2012-07-23 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000br`1970-04-26 01:00:00.0`1972-10-04 01:00:00.0`000000000000001`00000000000000000018`000000000000002`13`1372`20821`2012-07-15 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000b5`1970-02-17 01:00:00.0`1972-07-31 02:00:00.0`000000000000001`0000000000000000002s`000000000000001`11`892`20799`2012-07-13 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000009c`1970-08-02 02:00:00.0`1971-12-19 01:00:00.0`000000000000001`0000000000000000009w`000000000000002`7`333`21635`2012-07-09 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ig`1970-10-26 01:00:00.0`1972-09-03 02:00:00.0`000000000000001`000000000000000000d8`000000000000001`6`1876`21062`2012-07-08 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000033`1970-06-22 02:00:00.0`1971-12-23 01:00:00.0`000000000000001`0000000000000000000d`000000000000002`4`607`21410`2012-07-06 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000o4`1970-08-26 02:00:00.0`1971-10-16 01:00:00.0`000000000000001`0000000000000000006f`000000000000001`20`1490`21266`2012-07-24 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000aa`1970-04-19 01:00:00.0`1972-03-30 01:00:00.0`000000000000001`000000000000000000dc`000000000000002`17`650`20768`2012-07-22 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ez`1970-10-07 01:00:00.0`1972-06-23 02:00:00.0`000000000000001`000000000000000000bg`000000000000001`12`1068`20937`2012-07-25 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ox`1970-07-11 02:00:00.0`1972-02-18 01:00:00.0`000000000000001`000000000000000000g2`000000000000002`9`1339`21295`2012-07-19 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000037`1970-03-15 01:00:00.0`1972-04-23 01:00:00.0`000000000000001`00000000000000000055`000000000000001`18`114`21414`2012-07-14 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000001b`1970-01-13 01:00:00.0`1971-12-16 01:00:00.0`000000000000001`000000000000000000if`000000000000002`19`812`21346`2012-07-11 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000005x`1970-02-10 01:00:00.0`1972-08-24 02:00:00.0`000000000000001`0000000000000000009p`000000000000001`14`1093`21512`2012-07-20 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000dp`1970-02-01 01:00:00.0`1972-06-04 02:00:00.0`000000000000001`000000000000000000ex`000000000000002`16`1066`20891`2012-07-21 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000jq`1970-05-29 01:00:00.0`1972-03-08 01:00:00.0`000000000000001`0000000000000000003k`000000000000001`5`868`21108`2012-07-16 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008a`1970-06-07 02:00:00.0`1971-11-11 01:00:00.0`000000000000001`000000000000000000gq`000000000000002`10`1177`21597`2012-07-18 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000j1`1970-02-16 01:00:00.0`1971-09-11 02:00:00.0`000000000000001`000000000000000000d5`000000000000001`3`1618`21083`2012-07-07 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000i9`1970-07-07 02:00:00.0`1972-07-07 02:00:00.0`000000000000001`00000000000000000003`000000000000002`15`773`21055`2012-07-12 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000004s`1970-10-15 01:00:00.0`1971-10-09 01:00:00.0`000000000000001`000000000000000000hw`000000000000001`2`1530`21471`2012-07-05 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000c4`1970-10-12 01:00:00.0`1971-09-30 01:00:00.0`000000000000001`000000000000000000fg`000000000000002`8`207`20834`2012-07-17 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000006l`1970-10-02 01:00:00.0`1972-07-18 02:00:00.0`000000000000001`000000000000000000c6`000000000000001`21`63`21536`2012-07-04 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000030`1970-03-03 01:00:00.0`1972-07-21 02:00:00.0`000000000000001`0000000000000000008d`000000000000002`13`1668`21407`2012-07-10 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ly`1970-09-03 02:00:00.0`1972-10-07 01:00:00.0`000000000000001`000000000000000000ah`000000000000001`11`1440`21188`2012-07-23 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000a0`1970-05-25 01:00:00.0`1972-10-17 01:00:00.0`000000000000001`00000000000000000024`000000000000002`7`965`20758`2012-07-15 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000007r`1970-08-20 02:00:00.0`1972-09-04 02:00:00.0`000000000000001`000000000000000000b9`000000000000001`6`922`21578`2012-07-13 02:00:00.0`2013-05-08 02:00:00.0
