000000000000000000is`1971-02-28 01:00:00.0`1971-11-08 01:00:00.0`00000000000000000033`423`\N`1970-04-22 01:00:00.0`1971-11-10 01:00:00.0`21036`805`2012-07-24 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000br`1971-02-06 01:00:00.0`1971-02-28 01:00:00.0`00000000000000000037`401`\N`1970-04-26 01:00:00.0`1971-03-30 01:00:00.0`20783`809`2012-07-15 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000p8`1970-12-03 01:00:00.0`1971-02-06 01:00:00.0`0000000000000000001b`336`\N`1970-02-17 01:00:00.0`1971-12-14 01:00:00.0`21664`741`2012-07-16 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000b5`1970-04-22 01:00:00.0`1970-12-03 01:00:00.0`0000000000000000005x`111`\N`1970-08-02 02:00:00.0`1971-04-03 01:00:00.0`20761`692`2012-06-29 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000009c`1971-01-06 01:00:00.0`1971-10-27 01:00:00.0`0000000000000000004s`370`\N`1970-10-26 01:00:00.0`1971-01-25 01:00:00.0`21635`651`2012-08-11 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ig`1971-06-24 02:00:00.0`1970-04-22 01:00:00.0`00000000000000000030`539`\N`1970-06-22 02:00:00.0`1971-07-10 02:00:00.0`21024`802`2012-08-09 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000033`1970-04-26 01:00:00.0`1971-01-06 01:00:00.0`0000000000000000005b`115`\N`1970-08-26 02:00:00.0`1971-10-03 01:00:00.0`21410`670`2012-07-26 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000o4`1970-02-17 01:00:00.0`1971-06-24 02:00:00.0`00000000000000000021`47`\N`1970-04-19 01:00:00.0`1971-05-30 02:00:00.0`21228`767`2012-07-29 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000aa`1970-08-02 02:00:00.0`1970-04-26 01:00:00.0`0000000000000000000c`213`\N`1970-10-07 01:00:00.0`1971-08-03 02:00:00.0`21273`706`2012-06-25 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ez`1971-05-09 01:00:00.0`1970-02-17 01:00:00.0`00000000000000000014`493`\N`1970-07-11 02:00:00.0`1971-03-27 01:00:00.0`20899`734`2012-07-14 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ox`1970-10-26 01:00:00.0`1970-08-02 02:00:00.0`0000000000000000000v`298`\N`1970-03-15 01:00:00.0`1971-12-04 01:00:00.0`21257`725`2012-08-15 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000037`1970-06-22 02:00:00.0`1971-05-09 01:00:00.0`00000000000000000044`172`\N`1970-01-13 01:00:00.0`1971-09-14 02:00:00.0`21414`842`2012-07-20 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000001b`1971-03-13 01:00:00.0`1971-12-12 01:00:00.0`0000000000000000004d`436`\N`1970-02-10 01:00:00.0`1971-06-18 02:00:00.0`21346`851`2012-06-17 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000005x`1970-08-26 02:00:00.0`1970-10-26 01:00:00.0`0000000000000000001a`237`\N`1970-02-01 01:00:00.0`1971-02-20 01:00:00.0`21512`740`2012-07-02 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000dp`1970-04-19 01:00:00.0`1971-11-17 01:00:00.0`00000000000000000057`108`\N`1970-05-29 01:00:00.0`1970-12-21 01:00:00.0`20853`666`2012-06-15 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000jq`1970-12-27 01:00:00.0`1971-10-20 01:00:00.0`0000000000000000001p`360`\N`1970-06-07 02:00:00.0`1971-10-17 01:00:00.0`21070`755`2012-08-14 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008a`1970-10-07 01:00:00.0`1970-06-22 02:00:00.0`00000000000000000040`279`\N`1970-02-16 01:00:00.0`1971-01-18 01:00:00.0`21597`838`2012-06-11 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000j1`1970-07-11 02:00:00.0`1971-03-13 01:00:00.0`0000000000000000000g`191`\N`1970-07-07 02:00:00.0`1971-01-09 01:00:00.0`21045`710`2012-07-17 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000i9`1970-03-15 01:00:00.0`1970-08-26 02:00:00.0`0000000000000000000t`73`\N`1970-10-15 01:00:00.0`1971-10-28 01:00:00.0`21017`723`2012-07-13 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000004s`1971-09-02 02:00:00.0`1970-04-19 01:00:00.0`0000000000000000004f`12`\N`1970-10-12 01:00:00.0`1971-10-31 01:00:00.0`21471`853`2012-08-08 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000c4`1970-01-13 01:00:00.0`1970-12-27 01:00:00.0`0000000000000000002q`312`\N`1970-10-02 01:00:00.0`1971-12-15 01:00:00.0`20796`792`2012-07-19 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000006l`1970-11-09 01:00:00.0`1970-10-07 01:00:00.0`0000000000000000002d`40`\N`1970-03-03 01:00:00.0`1971-05-06 01:00:00.0`21536`779`2012-06-10 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000030`1970-02-10 01:00:00.0`1970-07-11 02:00:00.0`0000000000000000005c`31`\N`1970-09-03 02:00:00.0`1971-05-15 01:00:00.0`21407`671`2012-07-10 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ly`1970-02-01 01:00:00.0`1970-03-15 01:00:00.0`0000000000000000003f`323`\N`1970-05-25 01:00:00.0`1971-01-24 01:00:00.0`21150`817`2012-07-18 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000a0`1970-11-20 01:00:00.0`1971-09-02 02:00:00.0`0000000000000000004r`326`\N`1970-08-20 02:00:00.0`1971-06-14 02:00:00.0`21263`650`2012-06-08 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000007r`1970-11-23 01:00:00.0`1971-12-01 01:00:00.0`0000000000000000002x`404`\N`1970-01-17 01:00:00.0`1971-09-22 02:00:00.0`21578`799`2012-06-26 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000005b`1971-02-09 01:00:00.0`1970-01-13 01:00:00.0`0000000000000000000j`414`\N`1970-08-15 02:00:00.0`1971-09-19 02:00:00.0`21490`713`2012-07-21 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000021`1971-02-19 01:00:00.0`1970-11-09 01:00:00.0`0000000000000000002r`371`\N`1970-09-19 02:00:00.0`1971-10-26 01:00:00.0`21372`793`2012-06-24 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000op`1971-01-07 01:00:00.0`1970-02-10 01:00:00.0`0000000000000000002j`565`\N`1970-01-30 01:00:00.0`1971-09-09 02:00:00.0`21249`785`2012-07-07 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000gx`1971-07-20 02:00:00.0`1970-02-01 01:00:00.0`00000000000000000047`564`\N`1970-06-09 02:00:00.0`1971-02-08 01:00:00.0`20969`845`2012-06-27 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000jf`1971-07-19 02:00:00.0`1970-11-20 01:00:00.0`0000000000000000004n`538`\N`1970-04-09 01:00:00.0`1971-08-11 02:00:00.0`21059`646`2012-07-28 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000000c`1971-06-23 02:00:00.0`1970-11-23 01:00:00.0`0000000000000000000b`448`\N`1970-03-27 01:00:00.0`1971-10-21 01:00:00.0`21311`705`2012-08-12 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008o`1971-03-25 01:00:00.0`1971-02-09 01:00:00.0`0000000000000000005w`549`\N`1970-07-12 02:00:00.0`1971-05-02 01:00:00.0`21611`691`2012-07-27 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000014`1971-07-04 02:00:00.0`1971-02-19 01:00:00.0`0000000000000000000y`148`\N`1970-05-04 01:00:00.0`1971-12-16 01:00:00.0`21339`728`2012-08-05 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000000v`1970-05-29 01:00:00.0`1971-11-06 01:00:00.0`0000000000000000004k`157`\N`1970-06-21 02:00:00.0`1971-07-28 02:00:00.0`21330`643`2012-06-28 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000me`1970-06-07 02:00:00.0`1971-01-07 01:00:00.0`0000000000000000004z`46`\N`1970-04-16 01:00:00.0`1970-12-25 01:00:00.0`21166`658`2012-08-04 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000lk`1970-02-16 01:00:00.0`1971-07-20 02:00:00.0`00000000000000000016`187`\N`1970-01-20 01:00:00.0`1971-12-06 01:00:00.0`21136`736`2012-06-21 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000p5`1970-07-07 02:00:00.0`1971-07-19 02:00:00.0`0000000000000000002b`287`\N`1970-04-10 01:00:00.0`1971-11-05 01:00:00.0`21661`777`2012-06-16 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008z`1970-10-15 01:00:00.0`1971-06-23 02:00:00.0`0000000000000000003w`399`\N`1970-04-02 01:00:00.0`1971-07-23 02:00:00.0`21622`834`2012-07-09 02:00:00.0`2013-05-08 02:00:00.0
