000000000000000000is`1970-04-22 01:00:00.0`1972-01-14 01:00:00.0`00000000000000000033`21065`685`2012-06-29 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000br`1970-04-26 01:00:00.0`1971-11-10 01:00:00.0`00000000000000000037`20812`689`2012-06-25 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000p8`1970-02-17 01:00:00.0`1971-03-30 01:00:00.0`0000000000000000001b`21297`741`2012-06-17 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000b5`1970-08-02 02:00:00.0`1971-12-14 01:00:00.0`00000000000000000030`20790`682`2012-07-02 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000009c`1970-10-26 01:00:00.0`1971-04-03 01:00:00.0`00000000000000000021`21635`647`2012-06-15 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ig`1970-06-22 02:00:00.0`1971-01-25 01:00:00.0`0000000000000000000c`21053`706`2012-06-11 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000033`1970-08-26 02:00:00.0`1971-07-10 02:00:00.0`00000000000000000014`21410`734`2012-06-10 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000o4`1970-04-19 01:00:00.0`1971-10-03 01:00:00.0`0000000000000000000v`21257`725`2012-06-08 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000aa`1970-10-07 01:00:00.0`1971-05-30 02:00:00.0`0000000000000000001a`20759`740`2012-06-26 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ez`1970-07-11 02:00:00.0`1971-08-03 02:00:00.0`0000000000000000001p`20928`755`2012-06-24 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ox`1970-03-15 01:00:00.0`1971-03-27 01:00:00.0`0000000000000000000g`21286`710`2012-06-27 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000037`1970-01-13 01:00:00.0`1971-12-04 01:00:00.0`0000000000000000000t`21414`723`2012-06-28 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000001b`1970-02-10 01:00:00.0`1971-09-14 02:00:00.0`0000000000000000002q`21346`672`2012-06-21 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000005x`1970-02-01 01:00:00.0`1971-06-18 02:00:00.0`0000000000000000002d`21512`659`2012-06-16 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000dp`1970-05-29 01:00:00.0`1971-02-20 01:00:00.0`0000000000000000002x`20882`679`2012-07-01 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000jq`1970-06-07 02:00:00.0`1970-12-21 01:00:00.0`0000000000000000000j`21099`713`2012-07-05 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008a`1970-02-16 01:00:00.0`1971-10-17 01:00:00.0`0000000000000000002r`21597`673`2012-06-13 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000j1`1970-07-07 02:00:00.0`1971-01-18 01:00:00.0`0000000000000000002j`21074`665`2012-06-22 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000i9`1970-10-15 01:00:00.0`1971-01-09 01:00:00.0`0000000000000000000b`21046`705`2012-06-23 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000004s`1970-10-12 01:00:00.0`1971-10-28 01:00:00.0`0000000000000000000y`21471`728`2012-06-30 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000c4`1970-10-02 01:00:00.0`1971-10-31 01:00:00.0`00000000000000000016`20825`736`2012-06-18 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000006l`1970-03-03 01:00:00.0`1972-01-17 01:00:00.0`0000000000000000002b`21536`657`2012-07-06 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000030`1970-09-03 02:00:00.0`1971-12-15 01:00:00.0`00000000000000000019`21407`739`2012-06-20 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ly`1970-05-25 01:00:00.0`1971-05-06 01:00:00.0`00000000000000000013`21179`733`2012-06-09 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000a0`1970-08-20 02:00:00.0`1971-05-15 01:00:00.0`00000000000000000005`21659`699`2012-07-03 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000007r`1970-01-17 01:00:00.0`1971-01-24 01:00:00.0`0000000000000000002p`21578`671`2012-06-14 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000005b`1970-08-15 02:00:00.0`1971-06-14 02:00:00.0`0000000000000000001k`21490`750`2012-06-07 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000021`1970-09-19 02:00:00.0`1971-09-22 02:00:00.0`0000000000000000000i`21372`712`2012-06-19 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000op`1970-01-30 01:00:00.0`1972-01-12 01:00:00.0`0000000000000000001o`21278`754`2012-07-04 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000gx`1970-06-09 02:00:00.0`1971-09-19 02:00:00.0`00000000000000000002`20998`696`2012-06-06 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000jf`1970-04-09 01:00:00.0`1971-10-26 01:00:00.0`0000000000000000001g`21088`746`2012-06-12 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000000c`1970-03-27 01:00:00.0`1971-09-09 02:00:00.0`0000000000000000001x`21311`643`2012-06-29 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008o`1970-07-12 02:00:00.0`1971-02-08 01:00:00.0`0000000000000000002m`21611`668`2012-06-25 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000014`1970-05-04 01:00:00.0`1971-08-11 02:00:00.0`0000000000000000000o`21339`718`2012-06-17 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000000v`1970-06-21 02:00:00.0`1971-10-21 01:00:00.0`00000000000000000028`21330`654`2012-07-02 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000me`1970-04-16 01:00:00.0`1971-05-02 01:00:00.0`0000000000000000001q`21195`756`2012-06-15 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000lk`1970-01-20 01:00:00.0`1971-12-16 01:00:00.0`0000000000000000001v`21165`693`2012-06-11 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000p5`1970-04-10 01:00:00.0`1971-07-28 02:00:00.0`0000000000000000002h`21294`641`2012-06-10 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008z`1970-04-02 01:00:00.0`1970-12-25 01:00:00.0`0000000000000000002k`21622`663`2012-06-08 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000092`1970-06-01 02:00:00.0`1972-01-15 01:00:00.0`0000000000000000000w`21625`666`2012-06-26 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000b8`1970-06-17 02:00:00.0`1971-12-06 01:00:00.0`0000000000000000001n`20793`726`2012-06-24 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000bi`1970-01-12 01:00:00.0`1971-11-05 01:00:00.0`0000000000000000002n`20803`753`2012-06-27 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000iq`1970-10-14 01:00:00.0`1971-07-23 02:00:00.0`0000000000000000001j`21063`669`2012-06-28 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ab`1970-08-30 02:00:00.0`1971-12-25 01:00:00.0`0000000000000000001m`20760`749`2012-06-21 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000fp`1970-08-01 02:00:00.0`1971-08-27 02:00:00.0`0000000000000000001f`20954`752`2012-06-16 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000fo`1970-02-04 01:00:00.0`1971-01-07 01:00:00.0`0000000000000000001r`20953`745`2012-07-01 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ey`1970-09-14 02:00:00.0`1971-05-17 01:00:00.0`00000000000000000012`20927`757`2012-07-05 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000o7`1970-09-09 02:00:00.0`1971-03-17 01:00:00.0`0000000000000000002v`21260`732`2012-06-13 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000cg`1970-06-14 02:00:00.0`1971-03-04 01:00:00.0`00000000000000000007`20837`677`2012-06-22 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000f9`1970-08-17 02:00:00.0`1971-06-19 02:00:00.0`0000000000000000000m`20938`701`2012-06-23 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000044`1970-06-29 02:00:00.0`1971-10-13 01:00:00.0`0000000000000000001w`21447`716`2012-06-30 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000mt`1970-02-12 01:00:00.0`1971-11-28 01:00:00.0`0000000000000000000p`21210`642`2012-06-18 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000004d`1970-03-25 01:00:00.0`1971-04-11 01:00:00.0`0000000000000000002c`21456`719`2012-07-06 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000001a`1970-05-21 01:00:00.0`1971-05-29 02:00:00.0`00000000000000000017`21345`658`2012-06-20 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000057`1970-05-13 01:00:00.0`1971-03-24 01:00:00.0`00000000000000000031`21486`737`2012-06-09 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000my`1970-02-15 01:00:00.0`1971-11-24 01:00:00.0`0000000000000000000r`21215`683`2012-07-03 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000007z`1970-06-11 02:00:00.0`1970-12-28 01:00:00.0`0000000000000000002i`21586`721`2012-06-14 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000b3`1970-05-31 02:00:00.0`1971-03-18 01:00:00.0`00000000000000000003`20788`664`2012-06-07 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000007w`1970-02-09 01:00:00.0`1971-11-04 01:00:00.0`00000000000000000026`21583`697`2012-06-19 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008x`1970-01-06 01:00:00.0`1971-03-10 01:00:00.0`0000000000000000000a`21620`652`2012-07-04 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000007m`1970-05-11 01:00:00.0`1971-11-22 01:00:00.0`0000000000000000002t`21573`704`2012-06-06 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000001p`1970-04-08 01:00:00.0`1971-05-09 01:00:00.0`00000000000000000034`21360`675`2012-06-12 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000g1`1970-10-21 01:00:00.0`1971-05-25 02:00:00.0`00000000000000000011`20966`686`2012-06-29 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000oc`1970-11-01 01:00:00.0`1971-10-11 01:00:00.0`0000000000000000001z`21265`731`2012-06-25 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000g2`1970-08-24 02:00:00.0`1970-12-20 01:00:00.0`00000000000000000027`20967`645`2012-06-17 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000p2`1970-02-26 01:00:00.0`1971-09-21 02:00:00.0`00000000000000000010`21291`653`2012-07-02 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000006t`1970-09-16 02:00:00.0`1971-12-17 01:00:00.0`0000000000000000002l`21544`730`2012-06-15 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008s`1970-06-12 02:00:00.0`1971-12-19 01:00:00.0`00000000000000000004`21615`694`2012-06-11 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000040`1970-06-26 02:00:00.0`1971-08-07 02:00:00.0`0000000000000000002w`21443`667`2012-06-10 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000jx`1970-01-19 01:00:00.0`1971-07-09 02:00:00.0`0000000000000000002z`21106`698`2012-06-08 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000dc`1970-03-02 01:00:00.0`1971-01-12 01:00:00.0`0000000000000000001c`20869`678`2012-06-26 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ac`1970-07-20 02:00:00.0`1971-08-22 02:00:00.0`00000000000000000025`20761`681`2012-06-24 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000gf`1970-06-05 02:00:00.0`1971-10-30 01:00:00.0`0000000000000000002f`20980`742`2012-06-27 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000006f`1970-01-03 01:00:00.0`1971-12-22 01:00:00.0`0000000000000000001h`21530`651`2012-06-28 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000le`1970-02-22 01:00:00.0`1971-08-17 02:00:00.0`0000000000000000001s`21159`661`2012-06-21 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000nl`1970-08-11 02:00:00.0`1971-05-22 01:00:00.0`0000000000000000003a`21238`747`2012-06-16 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ol`1970-03-11 01:00:00.0`1971-07-25 02:00:00.0`00000000000000000015`21274`758`2012-07-01 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000mk`1970-08-19 02:00:00.0`1971-06-06 02:00:00.0`0000000000000000001l`21201`692`2012-07-05 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000000g`1970-04-05 01:00:00.0`1971-01-20 01:00:00.0`0000000000000000000z`21315`735`2012-06-13 02:00:00.0`2013-05-08 02:00:00.0
