000000000000000000br`1997-09-09 02:00:00.0`1970-04-22 01:00:00.0`2010-10-06 02:00:00.0`21179`2013-02-15 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000b5`1997-08-31 02:00:00.0`1970-04-26 01:00:00.0`2010-10-10 02:00:00.0`21157`2013-02-11 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000009c`1997-10-08 02:00:00.0`1970-02-17 01:00:00.0`2010-08-03 02:00:00.0`21092`2013-02-03 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000033`1997-09-01 02:00:00.0`1970-04-19 01:00:00.0`2010-12-06 01:00:00.0`20867`2013-02-01 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000aa`1997-10-15 02:00:00.0`1970-03-15 01:00:00.0`2010-10-03 02:00:00.0`21126`2013-01-28 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ez`1997-10-20 02:00:00.0`1970-01-13 01:00:00.0`2010-08-29 02:00:00.0`21295`2013-01-27 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000037`1997-08-15 02:00:00.0`1970-02-10 01:00:00.0`2010-06-29 02:00:00.0`20871`2013-01-25 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000001b`1997-09-27 02:00:00.0`1970-02-01 01:00:00.0`2010-07-27 02:00:00.0`20803`2013-02-12 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000005x`1997-09-25 02:00:00.0`1970-02-16 01:00:00.0`2010-07-18 02:00:00.0`20969`2013-02-10 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000dp`1997-09-11 02:00:00.0`1970-03-03 01:00:00.0`2010-11-12 01:00:00.0`21249`2013-02-13 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008a`1997-09-14 02:00:00.0`1970-01-17 01:00:00.0`2010-11-21 01:00:00.0`21054`2013-02-14 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000004s`1997-10-05 02:00:00.0`1970-01-30 01:00:00.0`2010-08-02 02:00:00.0`20928`2013-02-07 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000c4`1997-08-11 02:00:00.0`1970-04-09 01:00:00.0`2010-08-17 02:00:00.0`21192`2013-02-02 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000006l`1997-08-30 02:00:00.0`1970-03-27 01:00:00.0`2010-11-08 01:00:00.0`20993`2013-01-30 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000030`1997-10-01 02:00:00.0`1970-05-04 01:00:00.0`2010-07-03 02:00:00.0`20864`2013-02-08 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000a0`1997-10-23 02:00:00.0`1970-04-16 01:00:00.0`2010-07-16 02:00:00.0`21116`2013-02-09 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000007r`1997-09-05 02:00:00.0`1970-01-20 01:00:00.0`2010-11-23 01:00:00.0`21035`2013-02-16 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000005b`1997-08-03 02:00:00.0`1970-04-10 01:00:00.0`2010-09-23 02:00:00.0`20947`2013-02-04 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000021`1997-10-14 02:00:00.0`1970-04-02 01:00:00.0`2010-09-10 02:00:00.0`20829`2013-02-06 01:00:00.0`2013-05-08 02:00:00.0`2013-05-08 02:00:00.0
