000000000000000000br`3661`000000000000000000dz`1988-04-02 02:00:00.0`00000000000000000004`2013-02-08 01:00:00.0`21546`2013-05-08 02:00:00.0
000000000000000000b5`4385`00000000000000000124`1987-07-24 02:00:00.0`00000000000000000005`2013-02-04 01:00:00.0`21524`2013-05-08 02:00:00.0
0000000000000000009c`683`000000000000000000os`1987-07-02 02:00:00.0`00000000000000000003`2013-01-27 01:00:00.0`21459`2013-05-08 02:00:00.0
00000000000000000033`3556`00000000000000000099`1987-04-28 02:00:00.0`00000000000000000001`2013-02-11 01:00:00.0`20829`2013-05-08 02:00:00.0
000000000000000000aa`3818`000000000000000000gv`1988-03-21 01:00:00.0`00000000000000000002`2013-01-25 01:00:00.0`21493`2013-05-08 02:00:00.0
000000000000000000ez`3014`0000000000000000015e`1986-09-15 02:00:00.0`00000000000000000004`2013-01-21 01:00:00.0`21662`2013-05-08 02:00:00.0
00000000000000000037`3479`000000000000000000i2`1987-06-01 02:00:00.0`00000000000000000005`2013-01-20 01:00:00.0`20833`2013-05-08 02:00:00.0
0000000000000000001b`1552`000000000000000000to`1987-11-17 01:00:00.0`00000000000000000003`2013-01-18 01:00:00.0`20765`2013-05-08 02:00:00.0
0000000000000000005x`1072`00000000000000000117`1986-09-19 02:00:00.0`00000000000000000001`2013-02-05 01:00:00.0`21336`2013-05-08 02:00:00.0
000000000000000000dp`2773`00000000000000000036`1986-07-13 02:00:00.0`00000000000000000002`2013-02-03 01:00:00.0`21616`2013-05-08 02:00:00.0
0000000000000000008a`3062`000000000000000000mk`1986-12-26 01:00:00.0`00000000000000000004`2013-02-16 01:00:00.0`21421`2013-05-08 02:00:00.0
0000000000000000004s`513`000000000000000000ud`1987-10-02 01:00:00.0`00000000000000000005`2013-02-06 01:00:00.0`20890`2013-05-08 02:00:00.0
000000000000000000c4`3549`000000000000000000tm`1987-03-21 01:00:00.0`00000000000000000003`2013-02-07 01:00:00.0`21559`2013-05-08 02:00:00.0
0000000000000000006l`3008`000000000000000000o4`1988-04-11 02:00:00.0`00000000000000000001`2013-01-31 01:00:00.0`21360`2013-05-08 02:00:00.0
00000000000000000030`3604`000000000000000000wp`1988-03-14 01:00:00.0`00000000000000000002`2013-01-26 01:00:00.0`20826`2013-05-08 02:00:00.0
000000000000000000a0`2056`0000000000000000018y`1986-11-15 01:00:00.0`00000000000000000004`2013-02-10 01:00:00.0`21483`2013-05-08 02:00:00.0
0000000000000000007r`787`000000000000000000lh`1987-08-06 02:00:00.0`00000000000000000005`2013-02-14 01:00:00.0`21402`2013-05-08 02:00:00.0
0000000000000000005b`1670`0000000000000000016i`1987-01-19 01:00:00.0`00000000000000000003`2013-01-23 01:00:00.0`21314`2013-05-08 02:00:00.0
00000000000000000021`3244`0000000000000000005r`1986-09-12 02:00:00.0`00000000000000000001`2013-02-01 01:00:00.0`20791`2013-05-08 02:00:00.0
0000000000000000000c`830`0000000000000000001r`1987-05-22 02:00:00.0`00000000000000000002`2013-02-02 01:00:00.0`21273`2013-05-08 02:00:00.0
0000000000000000008o`1248`000000000000000001ac`1987-03-02 01:00:00.0`00000000000000000004`2013-02-09 01:00:00.0`21435`2013-05-08 02:00:00.0
00000000000000000014`3150`00000000000000000140`1986-12-04 01:00:00.0`00000000000000000005`2013-01-28 01:00:00.0`20758`2013-05-08 02:00:00.0
0000000000000000000v`1519`000000000000000000qt`1986-08-08 02:00:00.0`00000000000000000003`2013-02-15 01:00:00.0`21292`2013-05-08 02:00:00.0
0000000000000000008z`294`000000000000000000pm`1988-01-26 01:00:00.0`00000000000000000001`2013-01-30 01:00:00.0`21446`2013-05-08 02:00:00.0
00000000000000000092`3047`000000000000000001d5`1988-04-25 02:00:00.0`00000000000000000002`2013-01-19 01:00:00.0`21449`2013-05-08 02:00:00.0
000000000000000000b8`3228`0000000000000000010d`1986-06-08 02:00:00.0`00000000000000000004`2013-02-12 01:00:00.0`21527`2013-05-08 02:00:00.0
000000000000000000bi`2848`0000000000000000004y`1987-04-04 02:00:00.0`00000000000000000005`2013-01-24 01:00:00.0`21537`2013-05-08 02:00:00.0
000000000000000000ab`992`000000000000000000dr`1986-07-06 02:00:00.0`00000000000000000003`2013-01-17 01:00:00.0`21494`2013-05-08 02:00:00.0
000000000000000000ey`1273`0000000000000000015g`1986-06-27 02:00:00.0`00000000000000000001`2013-01-29 01:00:00.0`21661`2013-05-08 02:00:00.0
000000000000000000cg`2253`0000000000000000000j`1987-04-15 02:00:00.0`00000000000000000002`2013-02-17 01:00:00.0`21571`2013-05-08 02:00:00.0
00000000000000000044`2403`000000000000000000v5`1987-04-18 02:00:00.0`00000000000000000004`2013-02-13 01:00:00.0`20866`2013-05-08 02:00:00.0
0000000000000000004d`1246`000000000000000000e4`1987-07-05 02:00:00.0`00000000000000000005`2013-01-16 01:00:00.0`20875`2013-05-08 02:00:00.0
0000000000000000001a`3032`000000000000000000y8`1987-07-15 02:00:00.0`00000000000000000003`2013-01-22 01:00:00.0`20764`2013-05-08 02:00:00.0
00000000000000000057`1048`00000000000000000073`1988-03-31 02:00:00.0`00000000000000000001`2013-02-08 01:00:00.0`21310`2013-05-08 02:00:00.0
0000000000000000007z`1357`0000000000000000016e`1987-06-02 02:00:00.0`00000000000000000002`2013-02-04 01:00:00.0`21410`2013-05-08 02:00:00.0
000000000000000000b3`2171`0000000000000000007q`1987-12-13 01:00:00.0`00000000000000000004`2013-01-27 01:00:00.0`21522`2013-05-08 02:00:00.0
0000000000000000007w`3735`000000000000000001a4`1987-12-12 01:00:00.0`00000000000000000005`2013-02-11 01:00:00.0`21407`2013-05-08 02:00:00.0
0000000000000000008x`1798`000000000000000000i9`1987-11-16 01:00:00.0`00000000000000000003`2013-01-25 01:00:00.0`21444`2013-05-08 02:00:00.0
0000000000000000007m`953`000000000000000000kx`1987-08-18 02:00:00.0`00000000000000000001`2013-01-21 01:00:00.0`21397`2013-05-08 02:00:00.0
0000000000000000001p`3467`0000000000000000006o`1987-11-27 01:00:00.0`00000000000000000002`2013-01-20 01:00:00.0`20779`2013-05-08 02:00:00.0
0000000000000000006t`3980`000000000000000000vy`1986-10-22 01:00:00.0`00000000000000000004`2013-01-18 01:00:00.0`21368`2013-05-08 02:00:00.0
0000000000000000008s`4226`0000000000000000009q`1986-10-31 01:00:00.0`00000000000000000005`2013-02-05 01:00:00.0`21439`2013-05-08 02:00:00.0
00000000000000000040`2348`000000000000000000ho`1986-07-12 02:00:00.0`00000000000000000003`2013-02-03 01:00:00.0`20862`2013-05-08 02:00:00.0
000000000000000000dc`1710`000000000000000000k1`1986-11-30 01:00:00.0`00000000000000000001`2013-02-16 01:00:00.0`21603`2013-05-08 02:00:00.0
000000000000000000ac`387`00000000000000000122`1987-03-10 01:00:00.0`00000000000000000002`2013-02-06 01:00:00.0`21495`2013-05-08 02:00:00.0
0000000000000000006f`2386`000000000000000000li`1987-06-30 02:00:00.0`00000000000000000004`2013-02-07 01:00:00.0`21354`2013-05-08 02:00:00.0
0000000000000000000g`243`000000000000000000xj`1987-03-07 01:00:00.0`00000000000000000005`2013-01-31 01:00:00.0`21277`2013-05-08 02:00:00.0
000000000000000000bk`3897`000000000000000000wc`1987-04-13 02:00:00.0`00000000000000000003`2013-01-26 01:00:00.0`21539`2013-05-08 02:00:00.0
000000000000000000b6`4231`000000000000000000x9`1987-02-25 01:00:00.0`00000000000000000001`2013-02-10 01:00:00.0`21525`2013-05-08 02:00:00.0
000000000000000000a2`1848`000000000000000000fy`1986-07-27 02:00:00.0`00000000000000000002`2013-02-14 01:00:00.0`21485`2013-05-08 02:00:00.0
00000000000000000097`2428`000000000000000001af`1987-12-25 01:00:00.0`00000000000000000004`2013-01-23 01:00:00.0`21454`2013-05-08 02:00:00.0
