000000000000000000is`1970-12-03 01:00:00.0`1972-10-04 01:00:00.0`00000000000000000004`1970-04-22 01:00:00.0`1972-07-31 02:00:00.0`1971-12-19 01:00:00.0`00000000000000000001`21423`2012-07-18 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000br`1970-04-22 01:00:00.0`1972-07-31 02:00:00.0`00000000000000000005`1970-04-26 01:00:00.0`1971-12-19 01:00:00.0`1971-12-23 01:00:00.0`00000000000000000002`21141`2012-07-19 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000p8`1970-04-26 01:00:00.0`1971-12-19 01:00:00.0`00000000000000000003`1970-02-17 01:00:00.0`1972-09-03 02:00:00.0`1971-10-16 01:00:00.0`00000000000000000001`21655`2012-07-02 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000b5`1970-02-17 01:00:00.0`1972-09-03 02:00:00.0`00000000000000000001`1970-04-19 01:00:00.0`1971-12-23 01:00:00.0`1972-03-30 01:00:00.0`00000000000000000002`21119`2012-06-28 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000009c`1970-08-02 02:00:00.0`1971-12-23 01:00:00.0`00000000000000000002`1970-03-15 01:00:00.0`1971-10-16 01:00:00.0`1972-02-18 01:00:00.0`00000000000000000001`21054`2012-07-17 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ig`1970-10-26 01:00:00.0`1971-10-16 01:00:00.0`00000000000000000004`1970-01-13 01:00:00.0`1972-03-30 01:00:00.0`1971-12-16 01:00:00.0`00000000000000000002`21411`2012-07-23 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000033`1970-06-22 02:00:00.0`1972-03-30 01:00:00.0`00000000000000000005`1970-02-10 01:00:00.0`1972-06-23 02:00:00.0`1972-03-08 01:00:00.0`00000000000000000001`20829`2012-06-20 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000o4`1970-08-26 02:00:00.0`1972-06-23 02:00:00.0`00000000000000000003`1970-02-01 01:00:00.0`1972-02-18 01:00:00.0`1971-11-11 01:00:00.0`00000000000000000002`21615`2012-07-05 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000aa`1970-04-19 01:00:00.0`1972-02-18 01:00:00.0`00000000000000000001`1970-02-16 01:00:00.0`1972-04-23 01:00:00.0`1971-09-11 02:00:00.0`00000000000000000001`21088`2012-06-18 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ez`1970-10-07 01:00:00.0`1972-04-23 01:00:00.0`00000000000000000002`1970-03-03 01:00:00.0`1971-12-16 01:00:00.0`1971-10-09 01:00:00.0`00000000000000000002`21257`2012-06-14 02:00:00.0`2013-05-08 02:00:00.0
