000000000000000000br`00000000000000000033`0000000000000000000c`0000000000000000000c`00000000000000000004`00000000000000000004`2005-04-01 02:00:00.0`\N`2005-10-30 02:00:00.0`0000000000000000000c`\N`\N`21268`3500916`\N`2012-07-24 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000b5`00000000000000000037`0000000000000000000a`0000000000000000000a`00000000000000000005`00000000000000000005`2005-04-05 02:00:00.0`\N`2005-11-03 01:00:00.0`0000000000000000000a`\N`\N`20799`3501785`\N`2012-07-15 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000009c`0000000000000000001b`00000000000000000006`00000000000000000006`00000000000000000003`00000000000000000003`2005-01-27 01:00:00.0`\N`2005-08-27 02:00:00.0`00000000000000000006`\N`\N`21635`3501305`\N`2012-08-22 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000033`00000000000000000030`00000000000000000005`00000000000000000005`00000000000000000001`00000000000000000001`2005-07-12 02:00:00.0`\N`2005-12-30 01:00:00.0`00000000000000000005`\N`\N`21410`3503006`\N`2012-07-16 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000aa`00000000000000000021`00000000000000000003`00000000000000000003`00000000000000000002`00000000000000000002`2005-06-01 02:00:00.0`\N`2005-10-27 02:00:00.0`00000000000000000003`\N`\N`20768`3500746`\N`2012-08-29 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000037`0000000000000000000c`0000000000000000000b`0000000000000000000b`00000000000000000004`00000000000000000004`2005-08-05 02:00:00.0`\N`2005-09-22 02:00:00.0`0000000000000000000b`\N`\N`21414`3502289`\N`2012-09-03 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000001b`00000000000000000014`00000000000000000008`00000000000000000008`00000000000000000005`00000000000000000005`2005-03-29 02:00:00.0`\N`2005-07-23 02:00:00.0`00000000000000000008`\N`\N`21346`3501020`\N`2012-06-29 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000005x`0000000000000000000v`00000000000000000004`00000000000000000004`00000000000000000003`00000000000000000003`2005-09-16 02:00:00.0`\N`2005-08-20 02:00:00.0`00000000000000000004`\N`\N`21512`3501903`\N`2012-08-11 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000008a`0000000000000000001a`00000000000000000009`00000000000000000009`00000000000000000001`00000000000000000001`2005-06-20 02:00:00.0`\N`2005-08-11 02:00:00.0`00000000000000000009`\N`\N`21597`3501063`\N`2012-08-09 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000004s`0000000000000000001p`00000000000000000002`00000000000000000002`00000000000000000002`00000000000000000002`2005-02-22 01:00:00.0`\N`2005-12-06 01:00:00.0`00000000000000000002`\N`\N`21471`3501481`\N`2012-07-26 02:00:00.0`2013-05-08 02:00:00.0
