000000000000000000br`1971-02-28 01:00:00.0`000000000000001`00000000000000000004`00000000000000000033`423`\N`20821`750`2013-03-19 01:00:00.0`2013-05-08 02:00:00.0
000000000000000000b5`1971-02-06 01:00:00.0`000000000000002`00000000000000000005`00000000000000000037`401`\N`20799`754`2013-03-20 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000009c`1970-12-03 01:00:00.0`000000000000001`00000000000000000003`0000000000000000001b`336`\N`21635`686`2013-03-19 01:00:00.0`2013-05-08 02:00:00.0
000000000000000000ig`1970-04-22 01:00:00.0`000000000000002`00000000000000000001`0000000000000000004s`111`\N`21660`811`2013-03-20 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000033`1971-01-06 01:00:00.0`000000000000001`00000000000000000002`00000000000000000030`370`\N`21410`747`2013-03-19 01:00:00.0`2013-05-08 02:00:00.0
000000000000000000aa`1970-04-26 01:00:00.0`000000000000002`00000000000000000004`0000000000000000005b`539`\N`20768`830`2013-03-20 01:00:00.0`2013-05-08 02:00:00.0
000000000000000000ez`1970-02-17 01:00:00.0`000000000000001`00000000000000000005`00000000000000000021`115`\N`20937`712`2013-03-19 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000037`1970-08-02 02:00:00.0`000000000000002`00000000000000000003`0000000000000000000c`47`\N`21414`651`2013-03-20 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000001b`1971-05-09 01:00:00.0`000000000000001`00000000000000000001`00000000000000000014`213`\N`21346`679`2013-03-19 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000005x`1970-10-26 01:00:00.0`000000000000002`00000000000000000002`0000000000000000000v`493`\N`21512`670`2013-03-20 01:00:00.0`2013-05-08 02:00:00.0
000000000000000000dp`1970-06-22 02:00:00.0`000000000000001`00000000000000000004`00000000000000000044`298`\N`20891`787`2013-03-19 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000008a`1971-03-13 01:00:00.0`000000000000002`00000000000000000005`0000000000000000004d`172`\N`21597`796`2013-03-20 01:00:00.0`2013-05-08 02:00:00.0
000000000000000000i9`1970-08-26 02:00:00.0`000000000000001`00000000000000000003`0000000000000000001a`436`\N`21295`685`2013-03-19 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000004s`1970-04-19 01:00:00.0`000000000000002`00000000000000000001`00000000000000000057`237`\N`21471`826`2013-03-20 01:00:00.0`2013-05-08 02:00:00.0
