000000000000000000is`000000000000001`000000000000001`1970-04-22 01:00:00.0`1972-07-31 02:00:00.0`1970-04-22 01:00:00.0`1972-10-26 01:00:00.0`4`37`\N`\N`000000000000001`000000000000001`21074`0000000000000000001d`0000000000000000001d`0000000000000000001d`688`000000000000000000is`504
000000000000000000br`000000000000002`000000000000002`1970-04-26 01:00:00.0`1971-12-19 01:00:00.0`1970-04-26 01:00:00.0`1972-10-04 01:00:00.0`5`38`\N`\N`000000000000002`000000000000002`20821`00000000000000000014`00000000000000000014`00000000000000000014`679`000000000000000000br`1373
000000000000000000b5`000000000000001`000000000000001`1970-02-17 01:00:00.0`1972-09-03 02:00:00.0`1970-02-17 01:00:00.0`1972-07-31 02:00:00.0`3`36`\N`\N`000000000000001`000000000000001`20799`00000000000000000026`00000000000000000026`00000000000000000015`717`000000000000000000b5`893
0000000000000000009c`000000000000002`000000000000002`1970-04-19 01:00:00.0`1971-12-23 01:00:00.0`1970-08-02 02:00:00.0`1971-12-19 01:00:00.0`6`39`\N`\N`000000000000002`000000000000002`21635`00000000000000000015`00000000000000000015`0000000000000000000o`680`0000000000000000009c`334
000000000000000000ig`000000000000001`000000000000001`1970-03-15 01:00:00.0`1971-10-16 01:00:00.0`1970-10-26 01:00:00.0`1972-09-03 02:00:00.0`1`34`\N`\N`000000000000001`000000000000001`21062`0000000000000000000o`0000000000000000000o`0000000000000000001t`663`000000000000000000ig`608
00000000000000000033`000000000000002`000000000000002`1970-01-13 01:00:00.0`1972-03-30 01:00:00.0`1970-06-22 02:00:00.0`1971-12-23 01:00:00.0`2`35`\N`\N`000000000000002`000000000000002`21410`0000000000000000001v`0000000000000000001v`0000000000000000001f`706`00000000000000000033`1491
000000000000000000o4`000000000000001`000000000000001`1970-02-10 01:00:00.0`1972-06-23 02:00:00.0`1970-08-26 02:00:00.0`1971-10-16 01:00:00.0`4`37`\N`\N`000000000000001`000000000000001`21266`0000000000000000001t`0000000000000000001t`0000000000000000001i`704`000000000000000000o4`651
000000000000000000aa`000000000000002`000000000000002`1970-02-01 01:00:00.0`1972-02-18 01:00:00.0`1970-04-19 01:00:00.0`1972-03-30 01:00:00.0`5`38`\N`\N`000000000000002`000000000000002`20768`0000000000000000001f`0000000000000000001f`0000000000000000000k`690`000000000000000000aa`1069
000000000000000000ez`000000000000001`000000000000001`1970-02-16 01:00:00.0`1972-04-23 01:00:00.0`1970-10-07 01:00:00.0`1972-06-23 02:00:00.0`3`36`\N`\N`000000000000001`000000000000001`20937`0000000000000000001i`0000000000000000001i`00000000000000000013`693`000000000000000000ez`1340
000000000000000000ox`000000000000002`000000000000002`1970-03-03 01:00:00.0`1971-12-16 01:00:00.0`1970-07-11 02:00:00.0`1972-02-18 01:00:00.0`6`39`\N`\N`000000000000002`000000000000002`21295`00000000000000000023`00000000000000000023`00000000000000000019`714`000000000000000000ox`115
00000000000000000037`000000000000001`000000000000001`1970-01-17 01:00:00.0`1972-08-24 02:00:00.0`1970-03-15 01:00:00.0`1972-04-23 01:00:00.0`1`34`\N`\N`000000000000001`000000000000001`21414`0000000000000000000k`0000000000000000000k`0000000000000000000c`659`00000000000000000037`813
