000000000000000000is`000000000000001`000000000000001`1970-04-22 01:00:00.0`1972-07-31 02:00:00.0`1970-04-22 01:00:00.0`1972-10-26 01:00:00.0`21`503`0000000000000000001u`4`37`\N`\N`000000000000001`661`0000000000000000001d`0000000000000000001d`0000000000000000001d`000000000000000000is`000000000000001`21074
000000000000000000br`000000000000002`000000000000002`1970-04-26 01:00:00.0`1971-12-19 01:00:00.0`1970-04-26 01:00:00.0`1972-10-04 01:00:00.0`13`1372`00000000000000000018`5`38`\N`\N`000000000000002`652`00000000000000000014`00000000000000000014`00000000000000000014`000000000000000000br`000000000000002`20821
000000000000000000b5`000000000000001`000000000000001`1970-02-17 01:00:00.0`1972-09-03 02:00:00.0`1970-02-17 01:00:00.0`1972-07-31 02:00:00.0`11`892`0000000000000000002s`3`36`\N`\N`000000000000001`690`00000000000000000026`00000000000000000026`00000000000000000015`000000000000000000b5`000000000000001`20799
0000000000000000009c`000000000000002`000000000000002`1970-04-19 01:00:00.0`1971-12-23 01:00:00.0`1970-08-02 02:00:00.0`1971-12-19 01:00:00.0`7`333`0000000000000000009w`6`39`\N`\N`000000000000002`653`00000000000000000015`00000000000000000015`0000000000000000000o`0000000000000000009c`000000000000002`21635
000000000000000000ig`000000000000001`000000000000001`1970-03-15 01:00:00.0`1971-10-16 01:00:00.0`1970-10-26 01:00:00.0`1972-09-03 02:00:00.0`6`1876`000000000000000000d8`1`34`\N`\N`000000000000001`718`0000000000000000000o`0000000000000000000o`0000000000000000001t`000000000000000000ig`000000000000001`21062
00000000000000000033`000000000000002`000000000000002`1970-01-13 01:00:00.0`1972-03-30 01:00:00.0`1970-06-22 02:00:00.0`1971-12-23 01:00:00.0`4`607`0000000000000000000d`2`35`\N`\N`000000000000002`679`0000000000000000001v`0000000000000000001v`0000000000000000001f`00000000000000000033`000000000000002`21410
000000000000000000o4`000000000000001`000000000000001`1970-02-10 01:00:00.0`1972-06-23 02:00:00.0`1970-08-26 02:00:00.0`1971-10-16 01:00:00.0`20`1490`0000000000000000006f`4`37`\N`\N`000000000000001`677`0000000000000000001t`0000000000000000001t`0000000000000000001i`000000000000000000o4`000000000000001`21266
000000000000000000aa`000000000000002`000000000000002`1970-02-01 01:00:00.0`1972-02-18 01:00:00.0`1970-04-19 01:00:00.0`1972-03-30 01:00:00.0`17`650`000000000000000000dc`5`38`\N`\N`000000000000002`663`0000000000000000001f`0000000000000000001f`0000000000000000000k`000000000000000000aa`000000000000002`20768
000000000000000000ez`000000000000001`000000000000001`1970-02-16 01:00:00.0`1972-04-23 01:00:00.0`1970-10-07 01:00:00.0`1972-06-23 02:00:00.0`12`1068`000000000000000000bg`3`36`\N`\N`000000000000001`666`0000000000000000001i`0000000000000000001i`00000000000000000013`000000000000000000ez`000000000000001`20937
000000000000000000ox`000000000000002`000000000000002`1970-03-03 01:00:00.0`1971-12-16 01:00:00.0`1970-07-11 02:00:00.0`1972-02-18 01:00:00.0`9`1339`000000000000000000g2`6`39`\N`\N`000000000000002`687`00000000000000000023`00000000000000000023`00000000000000000019`000000000000000000ox`000000000000002`21295
00000000000000000037`000000000000001`000000000000001`1970-01-17 01:00:00.0`1972-08-24 02:00:00.0`1970-03-15 01:00:00.0`1972-04-23 01:00:00.0`18`114`00000000000000000055`1`34`\N`\N`000000000000001`714`0000000000000000000k`0000000000000000000k`0000000000000000000c`00000000000000000037`000000000000001`21414
0000000000000000001b`000000000000002`000000000000002`1970-01-30 01:00:00.0`1972-06-04 02:00:00.0`1970-01-13 01:00:00.0`1971-12-16 01:00:00.0`19`812`000000000000000000if`2`35`\N`\N`000000000000002`651`00000000000000000013`00000000000000000013`0000000000000000000r`0000000000000000001b`000000000000002`21346
0000000000000000005x`000000000000001`000000000000001`1970-04-09 01:00:00.0`1972-03-08 01:00:00.0`1970-02-10 01:00:00.0`1972-08-24 02:00:00.0`14`1093`0000000000000000009p`4`37`\N`\N`000000000000001`683`0000000000000000001z`0000000000000000001z`0000000000000000000a`0000000000000000005x`000000000000001`21512
000000000000000000dp`000000000000002`000000000000002`1970-03-27 01:00:00.0`1971-11-11 01:00:00.0`1970-02-01 01:00:00.0`1972-06-04 02:00:00.0`16`1066`000000000000000000ex`5`38`\N`\N`000000000000002`657`00000000000000000019`00000000000000000019`00000000000000000006`000000000000000000dp`000000000000002`20891
000000000000000000jq`000000000000001`000000000000001`1970-05-04 01:00:00.0`1971-09-11 02:00:00.0`1970-05-29 01:00:00.0`1972-03-08 01:00:00.0`5`868`0000000000000000003k`3`36`\N`\N`000000000000001`706`0000000000000000000c`0000000000000000000c`00000000000000000016`000000000000000000jq`000000000000001`21108
0000000000000000008a`000000000000002`000000000000002`1970-04-16 01:00:00.0`1972-07-07 02:00:00.0`1970-06-07 02:00:00.0`1971-11-11 01:00:00.0`10`1177`000000000000000000gq`6`39`\N`\N`000000000000002`688`00000000000000000024`00000000000000000024`00000000000000000012`0000000000000000008a`000000000000002`21597
000000000000000000j1`000000000000001`000000000000001`1970-01-20 01:00:00.0`1971-10-09 01:00:00.0`1970-02-16 01:00:00.0`1971-09-11 02:00:00.0`3`1618`000000000000000000d5`1`34`\N`\N`000000000000001`721`0000000000000000000r`0000000000000000000r`0000000000000000001s`000000000000000000j1`000000000000001`21083
000000000000000000i9`000000000000002`000000000000002`1970-04-10 01:00:00.0`1971-09-30 01:00:00.0`1970-07-07 02:00:00.0`1972-07-07 02:00:00.0`15`773`00000000000000000003`2`35`\N`\N`000000000000002`704`0000000000000000000a`0000000000000000000a`00000000000000000018`000000000000000000i9`000000000000002`21055
0000000000000000004s`000000000000001`000000000000001`1970-04-02 01:00:00.0`1972-07-18 02:00:00.0`1970-10-15 01:00:00.0`1971-10-09 01:00:00.0`2`1530`000000000000000000hw`4`37`\N`\N`000000000000001`682`0000000000000000001y`0000000000000000001y`00000000000000000005`0000000000000000004s`000000000000001`21471
000000000000000000c4`000000000000002`000000000000002`1970-01-12 01:00:00.0`1972-07-21 02:00:00.0`1970-10-12 01:00:00.0`1971-09-30 01:00:00.0`8`207`000000000000000000fg`5`38`\N`\N`000000000000002`685`00000000000000000021`00000000000000000021`0000000000000000000z`000000000000000000c4`000000000000002`20834
0000000000000000006l`000000000000001`000000000000001`1970-02-04 01:00:00.0`1972-09-04 02:00:00.0`1970-10-02 01:00:00.0`1972-07-18 02:00:00.0`21`63`000000000000000000c6`3`36`\N`\N`000000000000001`700`00000000000000000006`00000000000000000006`00000000000000000017`0000000000000000006l`000000000000001`21536
00000000000000000030`000000000000002`000000000000002`1970-02-12 01:00:00.0`1972-01-25 01:00:00.0`1970-03-03 01:00:00.0`1972-07-21 02:00:00.0`13`1668`0000000000000000008d`6`39`\N`\N`000000000000002`654`00000000000000000016`00000000000000000016`00000000000000000003`00000000000000000030`000000000000002`21407
000000000000000000ly`000000000000001`000000000000001`1970-03-25 01:00:00.0`1972-02-03 01:00:00.0`1970-09-03 02:00:00.0`1972-10-07 01:00:00.0`11`1440`000000000000000000ah`1`34`\N`\N`000000000000001`650`00000000000000000012`00000000000000000012`0000000000000000000l`000000000000000000ly`000000000000001`21188
000000000000000000a0`000000000000002`000000000000002`1970-02-15 01:00:00.0`1971-10-15 01:00:00.0`1970-05-25 01:00:00.0`1972-10-17 01:00:00.0`7`965`00000000000000000024`2`35`\N`\N`000000000000002`676`0000000000000000001s`0000000000000000001s`0000000000000000001a`000000000000000000a0`000000000000002`20758
0000000000000000007r`000000000000001`000000000000001`1970-02-09 01:00:00.0`1972-03-04 01:00:00.0`1970-08-20 02:00:00.0`1972-09-04 02:00:00.0`6`922`000000000000000000b9`4`37`\N`\N`000000000000001`656`00000000000000000018`00000000000000000018`0000000000000000000j`0000000000000000007r`000000000000001`21578
0000000000000000005b`000000000000002`000000000000002`1970-01-06 01:00:00.0`1972-06-12 02:00:00.0`1970-01-17 01:00:00.0`1972-01-25 01:00:00.0`4`1769`000000000000000000b0`5`38`\N`\N`000000000000002`699`00000000000000000005`00000000000000000005`0000000000000000000w`0000000000000000005b`000000000000002`21490
00000000000000000021`000000000000001`000000000000001`1970-04-08 01:00:00.0`1972-06-09 02:00:00.0`1970-08-15 02:00:00.0`1972-02-03 01:00:00.0`20`1309`0000000000000000002f`3`36`\N`\N`000000000000001`647`0000000000000000000z`0000000000000000000z`0000000000000000000m`00000000000000000021`000000000000001`21372
000000000000000000op`000000000000002`000000000000002`1970-02-26 01:00:00.0`1972-07-16 02:00:00.0`1970-09-19 02:00:00.0`1971-10-15 01:00:00.0`17`178`0000000000000000002i`6`39`\N`\N`000000000000002`655`00000000000000000017`00000000000000000017`0000000000000000001h`000000000000000000op`000000000000002`21287
000000000000000000gx`000000000000001`000000000000001`1970-01-19 01:00:00.0`1972-05-30 02:00:00.0`1970-01-30 01:00:00.0`1972-03-04 01:00:00.0`12`495`0000000000000000001b`1`34`\N`\N`000000000000001`697`00000000000000000003`00000000000000000003`0000000000000000001g`000000000000000000gx`000000000000001`21007
000000000000000000jf`000000000000002`000000000000002`1970-03-02 01:00:00.0`1971-10-30 01:00:00.0`1970-06-09 02:00:00.0`1972-06-12 02:00:00.0`9`1891`0000000000000000001l`2`35`\N`\N`000000000000002`715`0000000000000000000l`0000000000000000000l`0000000000000000001p`000000000000000000jf`000000000000002`21097
0000000000000000000c`000000000000001`000000000000001`1970-01-03 01:00:00.0`1972-05-01 01:00:00.0`1970-04-09 01:00:00.0`1972-10-02 01:00:00.0`18`1492`0000000000000000000e`4`37`\N`\N`000000000000001`658`0000000000000000001a`0000000000000000001a`0000000000000000000n`0000000000000000000c`000000000000001`21311
0000000000000000008o`000000000000002`000000000000002`1970-02-22 01:00:00.0`1972-07-11 02:00:00.0`1970-03-27 01:00:00.0`1972-06-09 02:00:00.0`19`19`00000000000000000075`5`38`\N`\N`000000000000002`713`0000000000000000000j`0000000000000000000j`0000000000000000001o`0000000000000000008o`000000000000002`21611
00000000000000000014`000000000000001`000000000000001`1970-03-11 01:00:00.0`1972-01-21 01:00:00.0`1970-07-12 02:00:00.0`1972-07-16 02:00:00.0`14`1121`00000000000000000074`3`36`\N`\N`000000000000001`644`0000000000000000000w`0000000000000000000w`0000000000000000000g`00000000000000000014`000000000000001`21339
0000000000000000000v`000000000000002`000000000000002`1970-04-05 01:00:00.0`1972-09-05 02:00:00.0`1970-11-05 01:00:00.0`1972-05-30 02:00:00.0`16`508`0000000000000000006e`6`39`\N`\N`000000000000002`716`0000000000000000000m`0000000000000000000m`0000000000000000000b`0000000000000000000v`000000000000002`21330
000000000000000000me`000000000000001`000000000000001`1970-01-25 01:00:00.0`1972-04-17 01:00:00.0`1970-05-04 01:00:00.0`1971-10-30 01:00:00.0`5`1850`0000000000000000003w`1`34`\N`\N`000000000000001`665`0000000000000000001h`0000000000000000001h`0000000000000000000y`000000000000000000me`000000000000001`21204
000000000000000000lk`000000000000002`000000000000002`1970-03-22 01:00:00.0`1971-09-15 02:00:00.0`1970-06-21 02:00:00.0`1972-05-01 01:00:00.0`10`1864`0000000000000000006p`2`35`\N`\N`000000000000002`680`0000000000000000001w`0000000000000000001w`00000000000000000010`000000000000000000lk`000000000000002`21174
0000000000000000008z`000000000000001`000000000000001`1970-03-04 01:00:00.0`1972-08-26 02:00:00.0`1970-04-16 01:00:00.0`1972-07-11 02:00:00.0`3`1232`000000000000000000e9`4`37`\N`\N`000000000000001`684`00000000000000000020`00000000000000000020`0000000000000000001e`0000000000000000008z`000000000000001`21622
00000000000000000092`000000000000002`000000000000002`1970-05-02 01:00:00.0`1972-07-26 02:00:00.0`1970-01-20 01:00:00.0`1972-01-21 01:00:00.0`15`255`000000000000000000ei`5`38`\N`\N`000000000000002`664`0000000000000000001g`0000000000000000001g`0000000000000000001b`00000000000000000092`000000000000002`21625
