000000000000000000is`2676`\N`\N`00000000000000000004`00000000000000000004`000000000000001`00000000000000000004`\N`0000000000000000001d`\N`\N`\N`\N`\N`\N`\N`2010-01-15 01:00:00.0`2010-02-27 01:00:00.0`2010-03-01 01:00:00.0`2010-03-23 01:00:00.0`\N`\N`\N`\N`\N`00000000000000000001`504
000000000000000000br`2423`\N`\N`00000000000000000005`00000000000000000005`000000000000002`00000000000000000005`\N`00000000000000000014`\N`\N`\N`\N`\N`\N`\N`2009-12-24 01:00:00.0`2010-02-05 01:00:00.0`2009-12-26 01:00:00.0`2010-03-01 01:00:00.0`\N`\N`\N`\N`\N`00000000000000000002`1373
000000000000000000b5`2401`\N`\N`00000000000000000003`00000000000000000003`000000000000001`00000000000000000007`\N`00000000000000000015`\N`\N`\N`\N`\N`\N`\N`2009-10-20 02:00:00.0`2009-12-02 01:00:00.0`2009-05-15 02:00:00.0`2009-12-26 01:00:00.0`\N`\N`\N`\N`\N`00000000000000000001`893
0000000000000000009c`2336`\N`\N`00000000000000000001`00000000000000000001`000000000000002`00000000000000000003`\N`0000000000000000000o`\N`\N`\N`\N`\N`\N`\N`2009-03-09 01:00:00.0`2009-04-21 02:00:00.0`2010-01-29 01:00:00.0`2009-05-15 02:00:00.0`\N`\N`\N`\N`\N`00000000000000000002`334
000000000000000000ig`2664`\N`\N`00000000000000000002`00000000000000000002`000000000000001`00000000000000000006`\N`0000000000000000001v`\N`\N`\N`\N`\N`\N`\N`2009-11-23 01:00:00.0`2010-01-05 01:00:00.0`2009-05-19 02:00:00.0`2010-01-29 01:00:00.0`\N`\N`\N`\N`\N`00000000000000000001`608
00000000000000000033`2111`\N`\N`00000000000000000004`00000000000000000004`000000000000002`00000000000000000001`\N`0000000000000000001t`\N`\N`\N`\N`\N`\N`\N`2009-03-13 01:00:00.0`2009-04-25 02:00:00.0`2009-03-12 01:00:00.0`2009-05-19 02:00:00.0`\N`\N`\N`\N`\N`00000000000000000002`1491
000000000000000000aa`2370`\N`\N`00000000000000000005`00000000000000000005`000000000000001`00000000000000000002`\N`0000000000000000001f`\N`\N`\N`\N`\N`\N`\N`2009-01-04 01:00:00.0`2009-02-16 01:00:00.0`2009-08-25 02:00:00.0`2009-03-12 01:00:00.0`\N`\N`\N`\N`\N`00000000000000000001`651
000000000000000000ez`2539`\N`\N`00000000000000000003`00000000000000000003`000000000000002`00000000000000000004`\N`0000000000000000001i`\N`\N`\N`\N`\N`\N`\N`2009-06-19 02:00:00.0`2009-08-01 02:00:00.0`2009-11-18 01:00:00.0`2009-08-25 02:00:00.0`\N`\N`\N`\N`\N`00000000000000000002`1069
00000000000000000037`2115`\N`\N`00000000000000000001`00000000000000000001`000000000000001`00000000000000000005`\N`00000000000000000023`\N`\N`\N`\N`\N`\N`\N`2009-09-12 02:00:00.0`2010-05-08 02:00:00.0`2009-07-15 02:00:00.0`2009-11-18 01:00:00.0`\N`\N`\N`\N`\N`00000000000000000001`1340
0000000000000000001b`2047`\N`\N`00000000000000000002`00000000000000000002`000000000000002`00000000000000000007`\N`0000000000000000000k`\N`\N`\N`\N`\N`\N`\N`2009-05-09 02:00:00.0`2009-10-25 02:00:00.0`2009-09-18 02:00:00.0`2009-07-15 02:00:00.0`\N`\N`\N`\N`\N`00000000000000000002`115
0000000000000000005x`2213`\N`\N`00000000000000000004`00000000000000000004`000000000000001`00000000000000000003`\N`00000000000000000013`\N`\N`\N`\N`\N`\N`\N`2010-01-28 01:00:00.0`2009-06-21 02:00:00.0`2009-05-12 02:00:00.0`2010-04-05 02:00:00.0`\N`\N`\N`\N`\N`00000000000000000001`813
000000000000000000dp`2493`\N`\N`00000000000000000005`00000000000000000005`000000000000002`00000000000000000006`\N`0000000000000000001z`\N`\N`\N`\N`\N`\N`\N`2009-07-13 02:00:00.0`2010-03-12 01:00:00.0`2010-01-19 01:00:00.0`2009-09-18 02:00:00.0`\N`\N`\N`\N`\N`00000000000000000002`1094
