0000000000000000001d`\N`\N`00000000000000000004`000000000000001`00000000000000000003`00000000000000000001`0000000000000000000o`00000000000000000001`00000000000000000004`00000000000000000014`0000000000000000000a`00000000000000000001`00000000000000000003`0000000000000000000c`2009-05-24 02:00:00.0`2009-07-12 02:00:00.0`2009-08-15 02:00:00.0`2009-08-01 02:00:00.0`74`\N`74`\N
00000000000000000014`\N`\N`00000000000000000005`000000000000002`00000000000000000001`00000000000000000001`0000000000000000000k`00000000000000000001`00000000000000000008`00000000000000000015`00000000000000000006`00000000000000000001`00000000000000000001`0000000000000000000a`2009-05-15 02:00:00.0`2009-07-03 02:00:00.0`2009-08-06 02:00:00.0`2009-07-23 02:00:00.0`65`\N`65`\N
00000000000000000026`\N`\N`00000000000000000003`000000000000001`00000000000000000002`00000000000000000001`0000000000000000000c`00000000000000000001`00000000000000000005`0000000000000000000o`00000000000000000005`00000000000000000001`00000000000000000002`00000000000000000006`2009-05-16 02:00:00.0`2009-07-04 02:00:00.0`2009-08-07 02:00:00.0`2009-07-24 02:00:00.0`66`\N`66`\N
00000000000000000015`\N`\N`00000000000000000001`000000000000002`00000000000000000003`00000000000000000001`0000000000000000000a`00000000000000000001`00000000000000000009`0000000000000000000k`00000000000000000003`00000000000000000001`00000000000000000003`00000000000000000005`2009-04-29 02:00:00.0`2009-06-17 02:00:00.0`2009-07-21 02:00:00.0`2009-07-07 02:00:00.0`49`\N`49`\N
0000000000000000002d`\N`\N`00000000000000000002`000000000000001`00000000000000000001`00000000000000000001`00000000000000000006`00000000000000000001`00000000000000000007`00000000000000000013`00000000000000000008`00000000000000000001`00000000000000000001`00000000000000000003`2009-06-09 02:00:00.0`2009-07-30 02:00:00.0`2009-08-17 02:00:00.0`2009-08-17 02:00:00.0`92`\N`92`\N
0000000000000000002i`\N`\N`00000000000000000004`000000000000002`00000000000000000002`00000000000000000001`00000000000000000005`00000000000000000001`00000000000000000003`00000000000000000019`00000000000000000004`00000000000000000001`00000000000000000002`0000000000000000000j`2009-05-26 02:00:00.0`2009-07-28 02:00:00.0`2009-08-20 02:00:00.0`2009-08-03 02:00:00.0`90`\N`90`\N
0000000000000000000o`\N`\N`00000000000000000005`000000000000001`00000000000000000003`00000000000000000001`00000000000000000003`00000000000000000001`00000000000000000006`0000000000000000000c`00000000000000000009`00000000000000000001`00000000000000000003`0000000000000000000g`2009-05-29 02:00:00.0`2009-07-14 02:00:00.0`2009-07-17 02:00:00.0`2009-08-06 02:00:00.0`76`\N`76`\N
0000000000000000001v`\N`\N`00000000000000000003`000000000000002`00000000000000000001`00000000000000000001`0000000000000000000l`00000000000000000001`00000000000000000001`0000000000000000000r`00000000000000000002`00000000000000000001`00000000000000000001`0000000000000000000b`2009-04-25 02:00:00.0`2009-07-17 02:00:00.0`2009-08-05 02:00:00.0`2009-07-03 02:00:00.0`79`\N`79`\N
0000000000000000001t`\N`\N`00000000000000000001`000000000000001`00000000000000000002`00000000000000000001`0000000000000000000j`00000000000000000001`00000000000000000002`0000000000000000000a`00000000000000000001`00000000000000000001`00000000000000000002`00000000000000000008`2009-05-14 02:00:00.0`2009-06-13 02:00:00.0`2009-08-11 02:00:00.0`2009-07-22 02:00:00.0`45`\N`45`\N
0000000000000000001f`\N`\N`00000000000000000002`000000000000002`00000000000000000003`00000000000000000001`0000000000000000000m`00000000000000000001`00000000000000000004`00000000000000000006`00000000000000000007`00000000000000000001`00000000000000000003`0000000000000000000h`2009-05-20 02:00:00.0`2009-07-02 02:00:00.0`2009-07-09 02:00:00.0`2009-07-28 02:00:00.0`64`\N`64`\N
0000000000000000001i`\N`\N`00000000000000000004`000000000000001`00000000000000000001`00000000000000000001`0000000000000000000n`00000000000000000001`00000000000000000008`00000000000000000016`0000000000000000000a`00000000000000000001`00000000000000000001`0000000000000000000i`2009-04-17 02:00:00.0`2009-07-08 02:00:00.0`2009-07-24 02:00:00.0`2009-06-25 02:00:00.0`70`\N`70`\N
