000000000000000000dz`1971-02-28 01:00:00.0`2503`00000000000000000004`00000000000000000004`00000000000000000004`\N`00000000000000000033`1971-02-28 01:00:00.0`1971-02-28 01:00:00.0`1971-02-28 01:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
0000000000000000026q`1971-02-06 01:00:00.0`4834`00000000000000000005`00000000000000000005`00000000000000000005`\N`00000000000000000037`1971-02-06 01:00:00.0`1971-02-06 01:00:00.0`1971-02-06 01:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
000000000000000002jn`1970-12-03 01:00:00.0`5299`00000000000000000003`00000000000000000003`00000000000000000007`\N`0000000000000000001b`1970-12-03 01:00:00.0`1970-12-03 01:00:00.0`1970-12-03 01:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
00000000000000000124`1970-04-22 01:00:00.0`3372`00000000000000000001`00000000000000000001`00000000000000000003`\N`00000000000000000030`1970-04-22 01:00:00.0`1970-04-22 01:00:00.0`1970-04-22 01:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
000000000000000000os`1971-01-06 01:00:00.0`2892`00000000000000000002`00000000000000000002`00000000000000000006`\N`00000000000000000021`1971-01-06 01:00:00.0`1971-01-06 01:00:00.0`1971-01-06 01:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
00000000000000000201`1970-04-26 01:00:00.0`4593`00000000000000000004`00000000000000000004`00000000000000000001`\N`0000000000000000000c`1970-04-26 01:00:00.0`1970-04-26 01:00:00.0`1970-04-26 01:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
00000000000000000282`1970-02-17 01:00:00.0`4882`00000000000000000005`00000000000000000005`00000000000000000002`\N`00000000000000000014`1970-02-17 01:00:00.0`1970-02-17 01:00:00.0`1970-02-17 01:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
00000000000000000099`1970-08-02 02:00:00.0`2333`00000000000000000003`00000000000000000003`00000000000000000004`\N`0000000000000000000v`1970-08-02 02:00:00.0`1970-08-02 02:00:00.0`1970-08-02 02:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
0000000000000000026k`1971-05-09 01:00:00.0`4828`00000000000000000001`00000000000000000001`00000000000000000005`\N`0000000000000000001a`1970-10-26 01:00:00.0`1971-05-09 01:00:00.0`1971-05-09 01:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
000000000000000001g4`1970-10-26 01:00:00.0`3876`00000000000000000002`00000000000000000002`00000000000000000007`\N`0000000000000000001p`1970-06-22 02:00:00.0`1970-10-26 01:00:00.0`1970-10-26 01:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
000000000000000000gv`1970-06-22 02:00:00.0`2607`00000000000000000004`00000000000000000004`00000000000000000003`\N`00000000000000000040`1971-03-13 01:00:00.0`1970-06-22 02:00:00.0`1970-06-22 02:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
0000000000000000015e`1971-03-13 01:00:00.0`3490`00000000000000000005`00000000000000000005`00000000000000000006`\N`0000000000000000000g`1970-08-26 02:00:00.0`1971-03-13 01:00:00.0`1971-03-13 01:00:00.0`\N`\N`\N`\N`\N`\N`2013-05-08 02:00:00.0
