1971-11-08 01:00:00.0`000000000000000000dz`00000000000000000004`\N`2503`8430
1971-02-28 01:00:00.0`0000000000000000026q`00000000000000000005`\N`4834`10130
1972-06-27 02:00:00.0`00000000000000000124`00000000000000000003`\N`3372`1667
1971-02-06 01:00:00.0`000000000000000000os`00000000000000000001`\N`2892`3161
1970-12-03 01:00:00.0`00000000000000000201`00000000000000000002`\N`4593`6681
1971-10-27 01:00:00.0`00000000000000000282`00000000000000000004`\N`4882`1584
1970-04-22 01:00:00.0`00000000000000000099`00000000000000000005`\N`2333`4032
1972-05-18 01:00:00.0`0000000000000000026k`00000000000000000003`\N`4828`8168
1971-01-06 01:00:00.0`000000000000000001g4`00000000000000000001`\N`3876`2131
1971-06-24 02:00:00.0`000000000000000000gv`00000000000000000002`\N`2607`5815
1972-06-16 02:00:00.0`0000000000000000015e`00000000000000000004`\N`3490`6947
1970-04-26 01:00:00.0`000000000000000002d4`00000000000000000005`\N`5064`4737
1970-02-17 01:00:00.0`000000000000000000i2`00000000000000000003`\N`2650`5273
1970-08-02 02:00:00.0`000000000000000000to`00000000000000000001`\N`3068`6763
1971-05-09 01:00:00.0`000000000000000002ai`00000000000000000002`\N`4970`3287
1971-12-12 01:00:00.0`00000000000000000117`00000000000000000004`\N`3339`8195
1970-10-26 01:00:00.0`00000000000000000036`00000000000000000005`\N`2114`3926
1971-11-17 01:00:00.0`0000000000000000027n`00000000000000000003`\N`4867`1583
1971-10-20 01:00:00.0`000000000000000002co`00000000000000000001`\N`5048`3411
1972-07-27 02:00:00.0`00000000000000000224`00000000000000000002`\N`4668`2629
1970-06-22 02:00:00.0`000000000000000000mk`00000000000000000004`\N`2812`1576
1971-03-13 01:00:00.0`000000000000000000ud`00000000000000000005`\N`3093`7102
1970-08-26 02:00:00.0`000000000000000001ll`00000000000000000003`\N`4073`7657
1970-04-19 01:00:00.0`000000000000000001pr`00000000000000000001`\N`4223`4232
1972-03-01 01:00:00.0`000000000000000000tm`00000000000000000002`\N`3066`5621
1970-12-27 01:00:00.0`00000000000000000278`00000000000000000004`\N`4852`6167
1970-10-07 01:00:00.0`000000000000000000o4`00000000000000000005`\N`2868`6792
1970-07-11 02:00:00.0`000000000000000000wp`00000000000000000003`\N`3177`9939
1972-07-19 02:00:00.0`000000000000000001jb`00000000000000000001`\N`3991`4925
1970-03-15 01:00:00.0`0000000000000000018y`00000000000000000002`\N`3618`3152
1972-06-08 02:00:00.0`000000000000000000lh`00000000000000000004`\N`2773`3139
1972-07-05 02:00:00.0`000000000000000001o8`00000000000000000005`\N`4168`5164
1971-09-02 02:00:00.0`0000000000000000016i`00000000000000000003`\N`3530`9165
1971-12-01 01:00:00.0`0000000000000000005r`00000000000000000001`\N`2207`2650
1970-01-13 01:00:00.0`000000000000000001pa`00000000000000000002`\N`4206`1301
1970-11-09 01:00:00.0`0000000000000000001r`00000000000000000004`\N`2063`7878
1970-02-10 01:00:00.0`000000000000000001ac`00000000000000000005`\N`3668`6178
1970-02-01 01:00:00.0`000000000000000001qg`00000000000000000003`\N`4248`1079
1972-03-17 01:00:00.0`000000000000000001yl`00000000000000000001`\N`4541`6379
1972-02-16 01:00:00.0`000000000000000002b1`00000000000000000002`\N`4989`9988
1972-06-24 02:00:00.0`000000000000000001v5`00000000000000000004`\N`4417`825
1970-11-20 01:00:00.0`000000000000000001xl`00000000000000000005`\N`4505`6424
1970-11-23 01:00:00.0`00000000000000000140`00000000000000000003`\N`3440`904
1971-02-09 01:00:00.0`000000000000000000qt`00000000000000000001`\N`2965`3763
1971-02-19 01:00:00.0`000000000000000001mc`00000000000000000002`\N`4100`398
1971-11-06 01:00:00.0`0000000000000000028j`00000000000000000004`\N`4899`8948
1971-01-07 01:00:00.0`000000000000000000pm`00000000000000000005`\N`2922`4156
1971-07-20 02:00:00.0`000000000000000001d5`00000000000000000003`\N`3769`5481
1971-07-19 02:00:00.0`0000000000000000010d`00000000000000000001`\N`3309`4354
1971-06-23 02:00:00.0`000000000000000002cw`00000000000000000002`\N`5056`5256
1972-05-21 01:00:00.0`0000000000000000004y`00000000000000000004`\N`2178`9890
1971-03-25 01:00:00.0`000000000000000000dr`00000000000000000005`\N`2495`260
1971-07-04 02:00:00.0`000000000000000001gj`00000000000000000003`\N`3891`5303
1970-05-29 01:00:00.0`0000000000000000015g`00000000000000000001`\N`3492`2348
1972-04-01 01:00:00.0`0000000000000000000j`00000000000000000002`\N`2019`9228
1970-06-07 02:00:00.0`000000000000000000v5`00000000000000000004`\N`3121`8090
1970-02-16 01:00:00.0`000000000000000000e4`00000000000000000005`\N`2508`9986
1970-07-07 02:00:00.0`000000000000000001fe`00000000000000000003`\N`3850`7584
1972-04-06 01:00:00.0`000000000000000001fs`00000000000000000001`\N`3864`5346
1970-10-15 01:00:00.0`000000000000000000y8`00000000000000000002`\N`3232`136
1971-02-04 01:00:00.0`0000000000000000021b`00000000000000000004`\N`4639`5904
1970-10-12 01:00:00.0`0000000000000000026d`00000000000000000005`\N`4821`4504
1970-11-18 01:00:00.0`000000000000000002ca`00000000000000000003`\N`5034`5782
1970-10-02 01:00:00.0`00000000000000000073`00000000000000000001`\N`2255`6741
1970-03-03 01:00:00.0`0000000000000000016e`00000000000000000002`\N`3526`9520
1971-08-01 02:00:00.0`000000000000000001t3`00000000000000000004`\N`4343`3530
1972-05-26 01:00:00.0`0000000000000000007q`00000000000000000005`\N`2278`9757
1971-08-02 02:00:00.0`000000000000000001o6`00000000000000000003`\N`4166`1774
1972-06-21 02:00:00.0`000000000000000001a4`00000000000000000001`\N`3660`2513
1970-09-03 02:00:00.0`000000000000000000i9`00000000000000000002`\N`2657`7887
1970-11-13 01:00:00.0`000000000000000000kx`00000000000000000004`\N`2753`8356
1970-05-25 01:00:00.0`000000000000000001pd`00000000000000000005`\N`4209`6576
1971-12-19 01:00:00.0`0000000000000000006o`00000000000000000003`\N`2240`1009
1971-04-26 01:00:00.0`000000000000000001t9`00000000000000000001`\N`4349`3771
1971-01-08 01:00:00.0`000000000000000000vy`00000000000000000002`\N`3150`9727
1971-08-15 02:00:00.0`0000000000000000009q`00000000000000000004`\N`2350`7914
1970-08-20 02:00:00.0`000000000000000000ho`00000000000000000005`\N`2636`3031
1972-08-19 02:00:00.0`000000000000000001tt`00000000000000000003`\N`4369`6158
1972-02-10 01:00:00.0`000000000000000000k1`00000000000000000001`\N`2721`4331
1972-04-29 01:00:00.0`000000000000000001xr`00000000000000000002`\N`4511`1359
1972-06-04 02:00:00.0`00000000000000000122`00000000000000000004`\N`3370`4803
1972-03-23 01:00:00.0`000000000000000000li`00000000000000000005`\N`2774`6266
1972-07-21 02:00:00.0`000000000000000001uz`00000000000000000003`\N`4411`6102
1970-01-17 01:00:00.0`000000000000000001nr`00000000000000000001`\N`4151`833
1971-02-21 01:00:00.0`000000000000000001uj`00000000000000000002`\N`4395`1339
1971-12-28 01:00:00.0`000000000000000000xj`00000000000000000004`\N`3207`7264
1971-12-16 01:00:00.0`000000000000000000wc`00000000000000000005`\N`3164`1303
1971-02-07 01:00:00.0`000000000000000001ge`00000000000000000003`\N`3886`2821
1970-12-29 01:00:00.0`000000000000000000x9`00000000000000000001`\N`3197`4832
1970-11-28 01:00:00.0`000000000000000000fy`00000000000000000002`\N`2574`8167
1971-06-19 02:00:00.0`000000000000000001j3`00000000000000000004`\N`3983`4149
1972-02-07 01:00:00.0`000000000000000001af`00000000000000000005`\N`3671`3787
1972-02-11 01:00:00.0`0000000000000000022k`00000000000000000003`\N`4684`8788
1972-05-25 01:00:00.0`0000000000000000019l`00000000000000000001`\N`3641`7288
1971-07-07 02:00:00.0`000000000000000000wy`00000000000000000002`\N`3186`126
1970-08-15 02:00:00.0`000000000000000001rz`00000000000000000004`\N`4303`7856
1972-04-11 01:00:00.0`000000000000000000vk`00000000000000000005`\N`3136`854
1971-02-22 01:00:00.0`0000000000000000019v`00000000000000000003`\N`3651`6421
1972-01-23 01:00:00.0`000000000000000002eh`00000000000000000001`\N`5113`7810
1971-01-17 01:00:00.0`000000000000000000s1`00000000000000000002`\N`3009`8245
1972-04-05 01:00:00.0`000000000000000001w7`00000000000000000004`\N`4455`9405
1970-09-19 02:00:00.0`0000000000000000024e`00000000000000000005`\N`4750`972
1972-01-03 01:00:00.0`000000000000000001ne`00000000000000000003`\N`4138`3861
1972-05-20 01:00:00.0`000000000000000002fh`00000000000000000001`\N`5149`6388
1971-02-27 01:00:00.0`000000000000000001rg`00000000000000000002`\N`4284`10198
1972-06-01 02:00:00.0`0000000000000000026x`00000000000000000004`\N`4841`165
1972-01-05 01:00:00.0`0000000000000000020d`00000000000000000005`\N`4605`4209
1972-07-11 02:00:00.0`000000000000000001a7`00000000000000000003`\N`3663`2875
1972-02-05 01:00:00.0`0000000000000000011v`00000000000000000001`\N`3363`7888
1971-12-21 01:00:00.0`000000000000000000a1`00000000000000000002`\N`2361`8598
1971-06-17 02:00:00.0`000000000000000000zp`00000000000000000004`\N`3285`3903
1971-12-17 01:00:00.0`0000000000000000014h`00000000000000000005`\N`3457`9874
1971-03-05 01:00:00.0`000000000000000001up`00000000000000000003`\N`4401`618
1970-01-30 01:00:00.0`0000000000000000017d`00000000000000000001`\N`3561`538
1972-01-25 01:00:00.0`000000000000000001kk`00000000000000000002`\N`4036`8644
1971-03-10 01:00:00.0`00000000000000000014`00000000000000000004`\N`2040`9594
1970-06-09 02:00:00.0`000000000000000001tk`00000000000000000005`\N`4360`6338
1970-04-09 01:00:00.0`0000000000000000002y`00000000000000000003`\N`2106`8936
1971-06-15 02:00:00.0`000000000000000001do`00000000000000000001`\N`3788`2480
1971-10-26 01:00:00.0`000000000000000000lo`00000000000000000002`\N`2780`9956
1970-03-27 01:00:00.0`0000000000000000003l`00000000000000000004`\N`2129`9039
1970-07-12 02:00:00.0`000000000000000001lf`00000000000000000005`\N`4067`3932
1972-08-14 02:00:00.0`000000000000000001fx`00000000000000000003`\N`3869`8179
1971-10-03 01:00:00.0`0000000000000000005e`00000000000000000001`\N`2194`6726
1971-05-12 01:00:00.0`0000000000000000013z`00000000000000000002`\N`3439`47
1972-02-28 01:00:00.0`0000000000000000013h`00000000000000000004`\N`3421`3515
1970-11-05 01:00:00.0`000000000000000002cj`00000000000000000005`\N`5043`5422
1972-08-03 02:00:00.0`000000000000000000va`00000000000000000003`\N`3126`7663
1970-12-21 01:00:00.0`00000000000000000167`00000000000000000001`\N`3519`3908
1970-05-04 01:00:00.0`000000000000000001ws`00000000000000000002`\N`4476`2685
1970-06-21 02:00:00.0`0000000000000000029d`00000000000000000004`\N`4929`7272
1971-02-15 01:00:00.0`0000000000000000022s`00000000000000000005`\N`4692`6071
