000000000000000000dz`3558`3609`000000000000033`000000000000003`85`1971-05-19 01:00:00.0`4378`2012-10-09 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000os`4282`4333`000000000000037`000000000000001`89`1972-06-11 02:00:00.0`4934`2012-10-07 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000099`4665`631`00000000000001b`000000000000002`21`1970-11-30 01:00:00.0`4208`2012-10-03 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000gv`580`3504`00000000000004s`000000000000003`146`1971-08-31 02:00:00.0`4482`2012-10-02 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000i2`3453`3766`000000000000030`000000000000001`82`1971-10-13 01:00:00.0`4525`2012-09-30 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000to`3715`2962`000000000000021`000000000000002`47`1972-12-04 01:00:00.0`5110`2012-10-08 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000036`4572`3427`00000000000000c`000000000000003`159`1970-04-25 01:00:00.0`3989`2012-10-05 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000mk`2911`1500`000000000000014`000000000000001`14`1972-03-23 01:00:00.0`4687`2012-10-01 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ud`3376`1020`00000000000000v`000000000000002`5`1972-12-29 01:00:00.0`5135`2012-10-06 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000tm`4585`2721`000000000000044`000000000000003`122`1972-12-02 01:00:00.0`5108`2012-09-29 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000o4`1449`3010`00000000000004d`000000000000001`131`1972-05-18 01:00:00.0`4743`2012-09-28 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000wp`969`461`00000000000001a`000000000000002`20`1973-03-23 01:00:00.0`5219`2012-10-04 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000lh`2670`3497`00000000000001p`000000000000003`35`1972-02-13 01:00:00.0`4648`2012-10-09 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000005r`2959`2956`000000000000040`000000000000001`118`1970-07-27 02:00:00.0`4082`2012-10-07 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000001r`410`3552`00000000000000g`000000000000002`163`1970-03-05 01:00:00.0`3938`2012-10-03 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000qt`3446`2004`00000000000000t`000000000000003`3`1972-08-23 02:00:00.0`5007`2012-10-02 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000pm`2905`735`00000000000004f`000000000000001`133`1972-07-11 02:00:00.0`4964`2012-09-30 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000004y`3501`1618`00000000000002q`000000000000002`72`1970-06-28 02:00:00.0`4053`2012-10-08 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000dr`1953`3192`00000000000002d`000000000000003`59`1971-05-11 01:00:00.0`4370`2012-10-05 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000000j`684`778`00000000000003f`000000000000001`97`1970-01-20 01:00:00.0`3909`2012-10-01 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000v5`1567`1196`00000000000004r`000000000000002`145`1973-01-26 01:00:00.0`5163`2012-10-06 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000e4`3141`3098`00000000000002x`000000000000003`79`1971-05-24 02:00:00.0`4383`2012-09-29 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000y8`727`1467`00000000000000j`000000000000001`166`1970-09-13 02:00:00.0`5274`2012-09-28 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000073`1145`242`00000000000002r`000000000000002`73`1970-10-06 01:00:00.0`4130`2012-10-04 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000007q`3047`2995`00000000000002j`000000000000003`65`1971-10-20 01:00:00.0`4153`2012-10-09 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000i9`1416`3176`000000000000047`000000000000001`125`1972-01-24 01:00:00.0`4532`2012-10-07 02:00:00.0`2013-05-08 02:00:00.0
