000000000000000000is`111`000000000000033`000000000000003`1971-11-08 01:00:00.0`112`4792`2013-05-08 02:00:00.0
000000000000000000br`115`000000000000037`000000000000001`1971-02-28 01:00:00.0`116`5294`2013-05-08 02:00:00.0
000000000000000000b5`47`00000000000001b`000000000000002`1971-02-06 01:00:00.0`48`5272`2013-05-08 02:00:00.0
0000000000000000009c`213`000000000000030`000000000000003`1970-12-03 01:00:00.0`109`5207`2013-05-08 02:00:00.0
000000000000000000ig`172`000000000000021`000000000000001`1971-10-27 01:00:00.0`74`18`2013-05-08 02:00:00.0
00000000000000000033`108`00000000000000c`000000000000002`1970-04-22 01:00:00.0`13`4982`2013-05-08 02:00:00.0
000000000000000000aa`191`000000000000014`000000000000003`1971-01-06 01:00:00.0`41`5241`2013-05-08 02:00:00.0
000000000000000000ez`73`00000000000000v`000000000000001`1971-06-24 02:00:00.0`32`6168`2013-05-08 02:00:00.0
00000000000000000037`12`00000000000001a`000000000000002`1970-04-26 01:00:00.0`47`4986`2013-05-08 02:00:00.0
0000000000000000001b`40`00000000000001p`000000000000003`1970-02-17 01:00:00.0`62`4918`2013-05-08 02:00:00.0
0000000000000000005x`31`000000000000040`000000000000001`1970-08-02 02:00:00.0`145`5084`2013-05-08 02:00:00.0
000000000000000000dp`148`00000000000000g`000000000000002`1971-05-09 01:00:00.0`17`6295`2013-05-08 02:00:00.0
000000000000000000jq`157`00000000000000t`000000000000003`1971-12-12 01:00:00.0`30`4826`2013-05-08 02:00:00.0
0000000000000000008a`46`00000000000002q`000000000000001`1970-10-26 01:00:00.0`99`5169`2013-05-08 02:00:00.0
000000000000000000j1`187`00000000000002d`000000000000002`1971-11-17 01:00:00.0`86`4801`2013-05-08 02:00:00.0
000000000000000000i9`61`00000000000003f`000000000000003`1971-10-20 01:00:00.0`124`11`2013-05-08 02:00:00.0
0000000000000000004s`144`00000000000002x`000000000000001`1970-06-22 02:00:00.0`106`5043`2013-05-08 02:00:00.0
000000000000000000c4`16`00000000000000j`000000000000002`1971-03-13 01:00:00.0`20`5307`2013-05-08 02:00:00.0
0000000000000000006l`226`00000000000002r`000000000000003`1970-08-26 02:00:00.0`100`5108`2013-05-08 02:00:00.0
00000000000000000030`29`00000000000002j`000000000000001`1970-04-19 01:00:00.0`92`4979`2013-05-08 02:00:00.0
000000000000000000ly`159`00000000000000b`000000000000002`1972-03-01 01:00:00.0`12`4908`2013-05-08 02:00:00.0
000000000000000000a0`98`00000000000000y`000000000000003`1970-12-27 01:00:00.0`35`5231`2013-05-08 02:00:00.0
0000000000000000007r`85`000000000000016`000000000000001`1970-10-07 01:00:00.0`43`5150`2013-05-08 02:00:00.0
0000000000000000005b`192`00000000000002b`000000000000002`1970-07-11 02:00:00.0`84`5062`2013-05-08 02:00:00.0
00000000000000000021`123`00000000000003w`000000000000003`1970-03-15 01:00:00.0`141`4944`2013-05-08 02:00:00.0
000000000000000000gx`171`00000000000003o`000000000000001`1971-09-02 02:00:00.0`133`6238`2013-05-08 02:00:00.0
000000000000000000jf`105`000000000000019`000000000000002`1971-12-01 01:00:00.0`46`4815`2013-05-08 02:00:00.0
0000000000000000000c`19`000000000000013`000000000000003`1970-01-13 01:00:00.0`40`482`2013-05-08 02:00:00.0
0000000000000000008o`99`000000000000005`000000000000001`1970-11-09 01:00:00.0`6`5183`2013-05-08 02:00:00.0
00000000000000000014`91`00000000000003m`000000000000002`1970-02-10 01:00:00.0`131`510`2013-05-08 02:00:00.0
0000000000000000000v`151`00000000000002p`000000000000003`1970-02-01 01:00:00.0`98`501`2013-05-08 02:00:00.0
000000000000000000me`167`00000000000001k`000000000000001`1972-03-17 01:00:00.0`57`6132`2013-05-08 02:00:00.0
000000000000000000lk`11`00000000000000i`000000000000002`1972-02-16 01:00:00.0`19`4892`2013-05-08 02:00:00.0
0000000000000000008z`212`00000000000001o`000000000000003`1970-11-20 01:00:00.0`61`5194`2013-05-08 02:00:00.0
00000000000000000092`34`000000000000002`000000000000001`1970-11-23 01:00:00.0`3`5197`2013-05-08 02:00:00.0
000000000000000000b8`164`00000000000001g`000000000000002`1971-02-09 01:00:00.0`53`5275`2013-05-08 02:00:00.0
000000000000000000bi`228`00000000000001x`000000000000003`1971-02-19 01:00:00.0`70`5285`2013-05-08 02:00:00.0
000000000000000000iq`179`00000000000002m`000000000000001`1971-11-06 01:00:00.0`95`4790`2013-05-08 02:00:00.0
000000000000000000ab`42`000000000000042`000000000000002`1971-01-07 01:00:00.0`147`5242`2013-05-08 02:00:00.0
000000000000000000fp`83`00000000000000o`000000000000003`1971-07-20 02:00:00.0`25`6194`2013-05-08 02:00:00.0
000000000000000000fo`140`000000000000028`000000000000001`1971-07-19 02:00:00.0`81`6193`2013-05-08 02:00:00.0
000000000000000000ey`132`00000000000001q`000000000000002`1971-06-23 02:00:00.0`63`6167`2013-05-08 02:00:00.0
000000000000000000cg`45`00000000000003d`000000000000003`1971-03-25 01:00:00.0`122`5319`2013-05-08 02:00:00.0
000000000000000000f9`161`00000000000003b`000000000000001`1971-07-04 02:00:00.0`120`6178`2013-05-08 02:00:00.0
00000000000000000044`150`00000000000001v`000000000000002`1970-05-29 01:00:00.0`68`5019`2013-05-08 02:00:00.0
000000000000000000mt`39`00000000000002h`000000000000003`1972-04-01 01:00:00.0`90`3911`2013-05-08 02:00:00.0
0000000000000000004d`5`00000000000002k`000000000000001`1970-06-07 02:00:00.0`93`5028`2013-05-08 02:00:00.0
0000000000000000001a`130`00000000000003e`000000000000002`1970-02-16 01:00:00.0`123`3`2013-05-08 02:00:00.0
00000000000000000057`97`000000000000041`000000000000003`1970-07-07 02:00:00.0`146`5058`2013-05-08 02:00:00.0
000000000000000000my`56`00000000000000w`000000000000001`1972-04-06 01:00:00.0`33`3916`2013-05-08 02:00:00.0
0000000000000000007z`162`00000000000001n`000000000000002`1970-10-15 01:00:00.0`60`5158`2013-05-08 02:00:00.0
000000000000000000b3`176`00000000000002n`000000000000003`1971-02-04 01:00:00.0`96`5270`2013-05-08 02:00:00.0
0000000000000000007w`18`00000000000001j`000000000000001`1970-10-12 01:00:00.0`56`5155`2013-05-08 02:00:00.0
0000000000000000008x`60`00000000000001m`000000000000002`1970-11-18 01:00:00.0`59`5192`2013-05-08 02:00:00.0
0000000000000000007m`200`00000000000001f`000000000000003`1970-10-02 01:00:00.0`52`5145`2013-05-08 02:00:00.0
0000000000000000001p`155`00000000000003n`000000000000001`1970-03-03 01:00:00.0`132`4932`2013-05-08 02:00:00.0
000000000000000000g1`2`00000000000001r`000000000000002`1971-08-01 02:00:00.0`64`6206`2013-05-08 02:00:00.0
000000000000000000g2`52`000000000000012`000000000000003`1971-08-02 02:00:00.0`39`6207`2013-05-08 02:00:00.0
0000000000000000006t`222`00000000000002v`000000000000001`1970-09-03 02:00:00.0`104`5116`2013-05-08 02:00:00.0
0000000000000000008s`69`000000000000007`000000000000002`1970-11-13 01:00:00.0`8`5187`2013-05-08 02:00:00.0
00000000000000000040`94`00000000000000m`000000000000003`1970-05-25 01:00:00.0`23`5015`2013-05-08 02:00:00.0
000000000000000000jx`216`00000000000001w`000000000000001`1971-12-19 01:00:00.0`69`4833`2013-05-08 02:00:00.0
000000000000000000dc`146`00000000000000p`000000000000002`1971-04-26 01:00:00.0`26`6282`2013-05-08 02:00:00.0
000000000000000000ac`209`00000000000002c`000000000000003`1971-01-08 01:00:00.0`85`5243`2013-05-08 02:00:00.0
000000000000000000gf`24`000000000000017`000000000000001`1971-08-15 02:00:00.0`44`6220`2013-05-08 02:00:00.0
0000000000000000006f`80`000000000000031`000000000000002`1970-08-20 02:00:00.0`110`5102`2013-05-08 02:00:00.0
000000000000000000le`62`00000000000000r`000000000000003`1972-02-10 01:00:00.0`28`4886`2013-05-08 02:00:00.0
000000000000000000nl`121`00000000000002i`000000000000001`1972-03-23 01:00:00.0`91`4772`2013-05-08 02:00:00.0
000000000000000000mk`119`000000000000003`000000000000002`1970-01-17 01:00:00.0`4`3902`2013-05-08 02:00:00.0
0000000000000000000g`67`000000000000026`000000000000003`1971-02-21 01:00:00.0`79`486`2013-05-08 02:00:00.0
000000000000000000bk`89`00000000000000a`000000000000001`1971-12-28 01:00:00.0`11`5287`2013-05-08 02:00:00.0
000000000000000000k6`92`00000000000002t`000000000000002`1971-12-16 01:00:00.0`102`4842`2013-05-08 02:00:00.0
000000000000000000ju`122`00000000000003x`000000000000003`1971-02-07 01:00:00.0`142`4830`2013-05-08 02:00:00.0
000000000000000000b6`145`000000000000034`000000000000001`1970-12-29 01:00:00.0`113`5273`2013-05-08 02:00:00.0
000000000000000000a2`147`000000000000011`000000000000002`1970-11-28 01:00:00.0`38`5233`2013-05-08 02:00:00.0
00000000000000000097`173`00000000000001z`000000000000003`1971-06-19 02:00:00.0`72`5202`2013-05-08 02:00:00.0
000000000000000000eu`32`000000000000027`000000000000001`1972-02-07 01:00:00.0`80`6163`2013-05-08 02:00:00.0
000000000000000000lb`59`000000000000010`000000000000002`1972-02-11 01:00:00.0`37`4883`2013-05-08 02:00:00.0
000000000000000000lf`95`00000000000003c`000000000000003`1971-07-07 02:00:00.0`121`4887`2013-05-08 02:00:00.0
000000000000000000fc`55`00000000000002l`000000000000001`1970-08-15 02:00:00.0`94`6181`2013-05-08 02:00:00.0
0000000000000000006a`58`000000000000004`000000000000002`1971-02-22 01:00:00.0`5`5097`2013-05-08 02:00:00.0
000000000000000000n3`196`00000000000002w`000000000000003`1972-01-23 01:00:00.0`105`4754`2013-05-08 02:00:00.0
000000000000000000bl`51`00000000000003u`000000000000001`1971-01-17 01:00:00.0`139`5288`2013-05-08 02:00:00.0
000000000000000000kw`170`00000000000003p`000000000000002`1972-04-05 01:00:00.0`134`4868`2013-05-08 02:00:00.0
000000000000000000al`131`00000000000002z`000000000000003`1970-09-19 02:00:00.0`108`5252`2013-05-08 02:00:00.0
000000000000000000mx`63`00000000000001c`000000000000001`1972-01-03 01:00:00.0`49`3915`2013-05-08 02:00:00.0
00000000000000000079`210`00000000000003g`000000000000002`1971-02-27 01:00:00.0`125`5132`2013-05-08 02:00:00.0
000000000000000000kc`38`000000000000025`000000000000003`1972-01-05 01:00:00.0`78`4848`2013-05-08 02:00:00.0
000000000000000000bq`198`00000000000003q`000000000000001`1972-02-05 01:00:00.0`135`5293`2013-05-08 02:00:00.0
000000000000000000ke`103`00000000000003v`000000000000002`1971-12-21 01:00:00.0`140`4850`2013-05-08 02:00:00.0
000000000000000000l9`7`00000000000003j`000000000000003`1971-06-17 02:00:00.0`128`4881`2013-05-08 02:00:00.0
000000000000000000jz`182`00000000000002f`000000000000001`1971-12-17 01:00:00.0`88`4835`2013-05-08 02:00:00.0
000000000000000000es`22`00000000000001h`000000000000002`1971-03-05 01:00:00.0`54`6161`2013-05-08 02:00:00.0
000000000000000000jv`225`00000000000001s`000000000000003`1970-01-30 01:00:00.0`65`4831`2013-05-08 02:00:00.0
000000000000000000bw`68`00000000000003a`000000000000001`1972-01-25 01:00:00.0`119`5299`2013-05-08 02:00:00.0
0000000000000000000t`195`000000000000015`000000000000002`1971-03-10 01:00:00.0`42`499`2013-05-08 02:00:00.0
000000000000000000ky`25`00000000000001l`000000000000003`1970-06-09 02:00:00.0`58`4870`2013-05-08 02:00:00.0
000000000000000000c1`169`00000000000000z`000000000000001`1970-04-09 01:00:00.0`36`5304`2013-05-08 02:00:00.0
0000000000000000004f`227`00000000000000x`000000000000002`1971-06-15 02:00:00.0`34`5030`2013-05-08 02:00:00.0
0000000000000000002q`84`000000000000032`000000000000003`1971-10-26 01:00:00.0`111`4969`2013-05-08 02:00:00.0
000000000000000000eq`166`000000000000038`000000000000001`1970-03-27 01:00:00.0`117`6159`2013-05-08 02:00:00.0
000000000000000000if`217`00000000000002u`000000000000002`1970-07-12 02:00:00.0`103`17`2013-05-08 02:00:00.0
0000000000000000002d`43`00000000000003h`000000000000003`1971-10-03 01:00:00.0`126`4956`2013-05-08 02:00:00.0
0000000000000000005c`109`00000000000003i`000000000000001`1971-05-12 01:00:00.0`127`5063`2013-05-08 02:00:00.0
000000000000000000hs`27`000000000000024`000000000000002`1972-02-28 01:00:00.0`77`6269`2013-05-08 02:00:00.0
000000000000000000ds`90`00000000000000e`000000000000003`1970-11-05 01:00:00.0`15`6298`2013-05-08 02:00:00.0
000000000000000000lw`229`000000000000018`000000000000001`1970-12-21 01:00:00.0`45`4906`2013-05-08 02:00:00.0
0000000000000000008k`3`00000000000003r`000000000000002`1970-05-04 01:00:00.0`136`5179`2013-05-08 02:00:00.0
0000000000000000009u`78`00000000000003s`000000000000003`1970-06-21 02:00:00.0`137`5225`2013-05-08 02:00:00.0
0000000000000000003f`10`000000000000039`000000000000001`1971-02-15 01:00:00.0`118`4994`2013-05-08 02:00:00.0
0000000000000000004r`194`00000000000000f`000000000000002`1971-07-25 02:00:00.0`16`5042`2013-05-08 02:00:00.0
000000000000000000be`101`00000000000001e`000000000000003`1971-11-26 01:00:00.0`51`5281`2013-05-08 02:00:00.0
000000000000000000fu`141`00000000000000d`000000000000001`1971-06-21 02:00:00.0`14`6199`2013-05-08 02:00:00.0
000000000000000000ja`112`00000000000002e`000000000000002`1972-03-30 01:00:00.0`87`4810`2013-05-08 02:00:00.0
000000000000000000ew`37`00000000000001i`000000000000003`1970-04-16 01:00:00.0`55`6165`2013-05-08 02:00:00.0
000000000000000000mr`71`000000000000006`000000000000001`1971-12-14 01:00:00.0`7`3909`2013-05-08 02:00:00.0
0000000000000000002x`219`00000000000000k`000000000000002`1970-12-17 01:00:00.0`21`4976`2013-05-08 02:00:00.0
000000000000000000js`79`000000000000022`000000000000003`1970-01-20 01:00:00.0`75`4828`2013-05-08 02:00:00.0
0000000000000000009q`36`00000000000000n`000000000000001`1971-05-10 01:00:00.0`24`5221`2013-05-08 02:00:00.0
0000000000000000000j`120`00000000000003y`000000000000002`1972-01-07 01:00:00.0`143`489`2013-05-08 02:00:00.0
000000000000000000dq`93`00000000000003t`000000000000003`1970-04-10 01:00:00.0`138`6296`2013-05-08 02:00:00.0
000000000000000000kg`203`000000000000020`000000000000001`1971-07-11 02:00:00.0`73`4852`2013-05-08 02:00:00.0
0000000000000000002r`4`000000000000008`000000000000002`1970-11-27 01:00:00.0`9`4970`2013-05-08 02:00:00.0
