0000000000000000001d`0000000000000000000c`1973-06-12 02:00:00.0`2000-01-11 01:00:00.0`272145`651`2013-05-08 02:00:00.0
00000000000000000014`0000000000000000000a`1973-05-27 01:00:00.0`2000-01-09 01:00:00.0`272136`649`2013-05-08 02:00:00.0
00000000000000000015`00000000000000000006`1973-05-23 01:00:00.0`2000-01-05 01:00:00.0`272137`645`2013-05-08 02:00:00.0
0000000000000000000o`00000000000000000005`1973-06-11 02:00:00.0`2000-01-04 01:00:00.0`272120`644`2013-05-08 02:00:00.0
0000000000000000001f`00000000000000000003`1973-05-15 01:00:00.0`2000-01-02 01:00:00.0`272147`642`2013-05-08 02:00:00.0
0000000000000000000k`0000000000000000000g`1973-05-30 01:00:00.0`2000-01-10 01:00:00.0`272116`655`2013-05-08 02:00:00.0
00000000000000000013`0000000000000000000b`1973-05-13 01:00:00.0`2000-01-07 01:00:00.0`272135`650`2013-05-08 02:00:00.0
00000000000000000019`00000000000000000008`1973-05-09 01:00:00.0`2000-01-12 01:00:00.0`272141`647`2013-05-08 02:00:00.0
0000000000000000000c`0000000000000000000h`1973-06-10 02:00:00.0`2000-01-03 01:00:00.0`272108`656`2013-05-08 02:00:00.0
0000000000000000000r`0000000000000000000i`1973-05-08 01:00:00.0`2000-01-08 01:00:00.0`272123`657`2013-05-08 02:00:00.0
0000000000000000000a`0000000000000000000d`1973-06-07 02:00:00.0`2000-01-01 01:00:00.0`272106`652`2013-05-08 02:00:00.0
00000000000000000006`0000000000000000000f`1973-05-06 01:00:00.0`2000-01-13 01:00:00.0`272102`654`2013-05-08 02:00:00.0
00000000000000000016`00000000000000000004`1973-05-24 01:00:00.0`1999-12-31 01:00:00.0`272138`643`2013-05-08 02:00:00.0
00000000000000000012`00000000000000000009`1973-05-22 01:00:00.0`2000-01-06 01:00:00.0`272134`648`2013-05-08 02:00:00.0
00000000000000000018`00000000000000000002`1973-06-04 02:00:00.0`2000-01-11 01:00:00.0`272140`641`2013-05-08 02:00:00.0
00000000000000000005`0000000000000000000e`1973-05-25 01:00:00.0`2000-01-09 01:00:00.0`272101`653`2013-05-08 02:00:00.0
0000000000000000000z`00000000000000000001`1973-05-26 01:00:00.0`2000-01-05 01:00:00.0`272131`640`2013-05-08 02:00:00.0
00000000000000000017`00000000000000000007`1973-05-19 01:00:00.0`2000-01-04 01:00:00.0`272139`646`2013-05-08 02:00:00.0
00000000000000000003`0000000000000000000c`1973-05-14 01:00:00.0`2000-01-02 01:00:00.0`272099`651`2013-05-08 02:00:00.0
0000000000000000000l`0000000000000000000a`1973-06-06 02:00:00.0`2000-01-10 01:00:00.0`272117`649`2013-05-08 02:00:00.0
0000000000000000001a`00000000000000000006`1973-06-08 02:00:00.0`2000-01-07 01:00:00.0`272142`645`2013-05-08 02:00:00.0
0000000000000000000j`00000000000000000005`1973-05-29 01:00:00.0`2000-01-12 01:00:00.0`272115`644`2013-05-08 02:00:00.0
0000000000000000000w`00000000000000000003`1973-06-02 01:00:00.0`2000-01-03 01:00:00.0`272128`642`2013-05-08 02:00:00.0
0000000000000000000m`0000000000000000000g`1973-05-11 01:00:00.0`2000-01-08 01:00:00.0`272118`655`2013-05-08 02:00:00.0
0000000000000000000n`0000000000000000000b`1973-05-20 01:00:00.0`2000-01-01 01:00:00.0`272119`650`2013-05-08 02:00:00.0
0000000000000000000g`00000000000000000008`1973-05-21 01:00:00.0`2000-01-13 01:00:00.0`272112`647`2013-05-08 02:00:00.0
0000000000000000000b`0000000000000000000h`1973-05-28 01:00:00.0`1999-12-31 01:00:00.0`272107`656`2013-05-08 02:00:00.0
0000000000000000000y`0000000000000000000i`1973-05-16 01:00:00.0`2000-01-06 01:00:00.0`272130`657`2013-05-08 02:00:00.0
00000000000000000010`0000000000000000000d`1973-06-03 02:00:00.0`2000-01-11 01:00:00.0`272132`652`2013-05-08 02:00:00.0
0000000000000000001e`0000000000000000000f`1973-05-18 01:00:00.0`2000-01-09 01:00:00.0`272146`654`2013-05-08 02:00:00.0
0000000000000000001b`00000000000000000004`1973-05-07 01:00:00.0`2000-01-05 01:00:00.0`272143`643`2013-05-08 02:00:00.0
0000000000000000000q`00000000000000000009`1973-05-31 01:00:00.0`2000-01-04 01:00:00.0`272122`648`2013-05-08 02:00:00.0
0000000000000000000u`00000000000000000002`1973-05-12 01:00:00.0`2000-01-02 01:00:00.0`272126`641`2013-05-08 02:00:00.0
00000000000000000008`0000000000000000000e`1973-06-09 02:00:00.0`2000-01-10 01:00:00.0`272104`653`2013-05-08 02:00:00.0
0000000000000000000h`00000000000000000001`1973-05-05 01:00:00.0`2000-01-07 01:00:00.0`272113`640`2013-05-08 02:00:00.0
0000000000000000000i`00000000000000000007`1973-05-17 01:00:00.0`2000-01-12 01:00:00.0`272114`646`2013-05-08 02:00:00.0
0000000000000000000p`0000000000000000000c`1973-06-05 02:00:00.0`2000-01-03 01:00:00.0`272121`651`2013-05-08 02:00:00.0
0000000000000000000d`0000000000000000000a`1973-06-01 01:00:00.0`2000-01-08 01:00:00.0`272109`649`2013-05-08 02:00:00.0
