0000000000000000001d`0000000000000000001d`1973-06-21 02:00:00.0`1985-02-18 01:00:00.0`111`272146`688`2013-05-08 02:00:00.0
00000000000000000014`00000000000000000014`1973-06-12 02:00:00.0`1985-02-09 01:00:00.0`115`272137`679`2013-05-08 02:00:00.0
00000000000000000015`00000000000000000015`1973-07-20 02:00:00.0`1985-02-10 01:00:00.0`47`272138`680`2013-05-08 02:00:00.0
0000000000000000000o`0000000000000000000o`1973-06-13 02:00:00.0`1985-01-24 01:00:00.0`213`272121`663`2013-05-08 02:00:00.0
0000000000000000000k`0000000000000000001f`1973-07-27 02:00:00.0`1985-02-20 01:00:00.0`298`272117`690`2013-05-08 02:00:00.0
00000000000000000013`0000000000000000001i`1973-05-27 01:00:00.0`1985-02-23 01:00:00.0`172`272136`693`2013-05-08 02:00:00.0
00000000000000000019`0000000000000000000k`1973-07-09 02:00:00.0`1985-01-20 01:00:00.0`237`272142`659`2013-05-08 02:00:00.0
0000000000000000000c`00000000000000000013`1973-07-07 02:00:00.0`1985-02-08 01:00:00.0`108`272109`678`2013-05-08 02:00:00.0
0000000000000000000r`00000000000000000019`1973-06-23 02:00:00.0`1985-02-14 01:00:00.0`279`272124`684`2013-05-08 02:00:00.0
0000000000000000000a`0000000000000000000c`1973-06-26 02:00:00.0`1985-01-12 01:00:00.0`191`272107`651`2013-05-08 02:00:00.0
00000000000000000006`0000000000000000000r`1973-07-17 02:00:00.0`1985-01-27 01:00:00.0`73`272103`666`2013-05-08 02:00:00.0
00000000000000000016`0000000000000000000a`1973-05-23 01:00:00.0`1985-01-10 01:00:00.0`12`272139`649`2013-05-08 02:00:00.0
00000000000000000012`00000000000000000006`1973-06-11 02:00:00.0`1985-01-06 01:00:00.0`40`272135`645`2013-05-08 02:00:00.0
00000000000000000018`00000000000000000016`1973-07-13 02:00:00.0`1985-02-11 01:00:00.0`31`272141`681`2013-05-08 02:00:00.0
00000000000000000005`00000000000000000012`1973-06-17 02:00:00.0`1985-02-07 01:00:00.0`148`272102`677`2013-05-08 02:00:00.0
0000000000000000000z`00000000000000000018`1973-05-15 01:00:00.0`1985-03-05 01:00:00.0`157`272132`683`2013-05-08 02:00:00.0
00000000000000000017`00000000000000000005`1973-07-26 02:00:00.0`1985-02-13 01:00:00.0`46`272140`644`2013-05-08 02:00:00.0
00000000000000000003`0000000000000000000z`1973-07-25 02:00:00.0`1985-01-05 01:00:00.0`187`272100`674`2013-05-08 02:00:00.0
0000000000000000000l`00000000000000000017`1973-07-18 02:00:00.0`1985-02-04 01:00:00.0`287`272118`682`2013-05-08 02:00:00.0
0000000000000000001a`00000000000000000003`1973-05-30 01:00:00.0`1985-02-12 01:00:00.0`284`272143`642`2013-05-08 02:00:00.0
0000000000000000000j`0000000000000000000l`1973-07-30 02:00:00.0`1985-01-03 01:00:00.0`274`272116`660`2013-05-08 02:00:00.0
0000000000000000000w`0000000000000000001a`1973-05-13 01:00:00.0`1985-01-21 01:00:00.0`61`272129`685`2013-05-08 02:00:00.0
0000000000000000000m`0000000000000000000j`1973-07-12 02:00:00.0`1985-02-15 01:00:00.0`245`272119`658`2013-05-08 02:00:00.0
0000000000000000000n`0000000000000000000w`1973-07-28 02:00:00.0`1985-01-19 01:00:00.0`144`272120`671`2013-05-08 02:00:00.0
