0000000000000000000o`458`0000000000000000001d`1989-11-24 01:00:00.0`00000000000000000004`0000000000000000000o`2013-05-08 02:00:00.0`123964`2013-05-08 02:00:00.0
0000000000000000000k`462`00000000000000000014`1989-11-20 01:00:00.0`00000000000000000005`0000000000000000000k`2013-05-09 02:00:00.0`123960`2013-05-08 02:00:00.0
0000000000000000000c`394`00000000000000000026`1989-11-12 01:00:00.0`00000000000000000003`0000000000000000000c`2013-05-08 02:00:00.0`123952`2013-05-08 02:00:00.0
0000000000000000000a`560`00000000000000000015`1989-11-27 01:00:00.0`00000000000000000001`0000000000000000000a`2013-05-09 02:00:00.0`123950`2013-05-08 02:00:00.0
00000000000000000006`645`0000000000000000002d`1989-11-10 01:00:00.0`00000000000000000002`00000000000000000006`2013-05-08 02:00:00.0`123946`2013-05-08 02:00:00.0
00000000000000000005`519`0000000000000000000o`1989-11-06 01:00:00.0`00000000000000000004`00000000000000000005`2013-05-09 02:00:00.0`123945`2013-05-08 02:00:00.0
00000000000000000003`584`0000000000000000001v`1989-11-05 01:00:00.0`00000000000000000005`00000000000000000003`2013-05-08 02:00:00.0`123943`2013-05-08 02:00:00.0
0000000000000000000l`455`0000000000000000001t`1989-11-03 01:00:00.0`00000000000000000003`0000000000000000000l`2013-05-09 02:00:00.0`123961`2013-05-08 02:00:00.0
0000000000000000000j`626`0000000000000000001f`1989-11-21 01:00:00.0`00000000000000000001`0000000000000000000j`2013-05-08 02:00:00.0`123959`2013-05-08 02:00:00.0
0000000000000000000m`538`0000000000000000001i`1989-11-19 01:00:00.0`00000000000000000002`0000000000000000000m`2013-05-09 02:00:00.0`123962`2013-05-08 02:00:00.0
0000000000000000000n`420`00000000000000000023`1989-11-22 01:00:00.0`00000000000000000004`0000000000000000000n`2013-05-08 02:00:00.0`123963`2013-05-08 02:00:00.0
0000000000000000000g`359`0000000000000000000k`1989-11-23 01:00:00.0`00000000000000000005`0000000000000000000g`2013-05-09 02:00:00.0`123956`2013-05-08 02:00:00.0
0000000000000000000b`659`00000000000000000013`1989-11-16 01:00:00.0`00000000000000000003`0000000000000000000b`2013-05-08 02:00:00.0`123951`2013-05-08 02:00:00.0
00000000000000000008`387`0000000000000000001z`1989-11-11 01:00:00.0`00000000000000000001`00000000000000000008`2013-05-09 02:00:00.0`123948`2013-05-08 02:00:00.0
0000000000000000000h`378`00000000000000000019`1989-11-26 01:00:00.0`00000000000000000002`0000000000000000000h`2013-05-08 02:00:00.0`123957`2013-05-08 02:00:00.0
0000000000000000000i`670`0000000000000000000c`1989-11-30 01:00:00.0`00000000000000000004`0000000000000000000i`2013-05-09 02:00:00.0`123958`2013-05-08 02:00:00.0
0000000000000000000d`673`0000000000000000002c`1989-11-08 01:00:00.0`00000000000000000005`0000000000000000000d`2013-05-08 02:00:00.0`123953`2013-05-08 02:00:00.0
0000000000000000000f`495`0000000000000000002b`1989-11-17 01:00:00.0`00000000000000000003`0000000000000000000f`2013-05-09 02:00:00.0`123955`2013-05-08 02:00:00.0
00000000000000000004`504`00000000000000000024`1989-11-18 01:00:00.0`00000000000000000001`00000000000000000004`2013-05-08 02:00:00.0`123944`2013-05-08 02:00:00.0
00000000000000000009`393`0000000000000000000r`1989-11-25 01:00:00.0`00000000000000000002`00000000000000000009`2013-05-09 02:00:00.0`123949`2013-05-08 02:00:00.0
00000000000000000002`534`0000000000000000000a`1989-11-13 01:00:00.0`00000000000000000004`00000000000000000002`2013-05-08 02:00:00.0`123942`2013-05-08 02:00:00.0
0000000000000000000e`634`0000000000000000001y`1989-11-15 01:00:00.0`00000000000000000005`0000000000000000000e`2013-05-09 02:00:00.0`123954`2013-05-08 02:00:00.0
00000000000000000001`631`0000000000000000002e`1989-11-04 01:00:00.0`00000000000000000003`00000000000000000001`2013-05-08 02:00:00.0`123941`2013-05-08 02:00:00.0
00000000000000000007`668`00000000000000000021`1989-11-28 01:00:00.0`00000000000000000001`00000000000000000007`2013-05-09 02:00:00.0`123947`2013-05-08 02:00:00.0
0000000000000000000o`621`00000000000000000006`1989-11-09 01:00:00.0`00000000000000000002`0000000000000000000o`2013-05-08 02:00:00.0`123964`2013-05-08 02:00:00.0
0000000000000000000k`408`00000000000000000016`1989-11-02 01:00:00.0`00000000000000000004`0000000000000000000k`2013-05-09 02:00:00.0`123960`2013-05-08 02:00:00.0
0000000000000000000c`592`00000000000000000012`1989-11-14 01:00:00.0`00000000000000000005`0000000000000000000c`2013-05-08 02:00:00.0`123952`2013-05-08 02:00:00.0
0000000000000000000a`663`0000000000000000001s`1989-11-29 01:00:00.0`00000000000000000003`0000000000000000000a`2013-05-09 02:00:00.0`123950`2013-05-08 02:00:00.0
00000000000000000006`491`00000000000000000018`1989-11-01 01:00:00.0`00000000000000000001`00000000000000000006`2013-05-08 02:00:00.0`123946`2013-05-08 02:00:00.0
00000000000000000005`578`00000000000000000005`1989-11-07 01:00:00.0`00000000000000000002`00000000000000000005`2013-05-09 02:00:00.0`123945`2013-05-08 02:00:00.0
00000000000000000003`363`0000000000000000000z`1989-11-24 01:00:00.0`00000000000000000004`00000000000000000003`2013-05-08 02:00:00.0`123943`2013-05-08 02:00:00.0
0000000000000000000l`573`00000000000000000017`1989-11-20 01:00:00.0`00000000000000000005`0000000000000000000l`2013-05-09 02:00:00.0`123961`2013-05-08 02:00:00.0
0000000000000000000j`608`00000000000000000003`1989-11-12 01:00:00.0`00000000000000000003`0000000000000000000j`2013-05-08 02:00:00.0`123959`2013-05-08 02:00:00.0
0000000000000000000m`376`0000000000000000000l`1989-11-27 01:00:00.0`00000000000000000001`0000000000000000000m`2013-05-09 02:00:00.0`123962`2013-05-08 02:00:00.0
0000000000000000000n`506`0000000000000000001a`1989-11-10 01:00:00.0`00000000000000000002`0000000000000000000n`2013-05-08 02:00:00.0`123963`2013-05-08 02:00:00.0
0000000000000000000g`445`0000000000000000000j`1989-11-06 01:00:00.0`00000000000000000004`0000000000000000000g`2013-05-09 02:00:00.0`123956`2013-05-08 02:00:00.0
0000000000000000000b`432`0000000000000000000w`1989-11-05 01:00:00.0`00000000000000000005`0000000000000000000b`2013-05-08 02:00:00.0`123951`2013-05-08 02:00:00.0
00000000000000000008`539`0000000000000000000m`1989-11-03 01:00:00.0`00000000000000000003`00000000000000000008`2013-05-09 02:00:00.0`123948`2013-05-08 02:00:00.0
0000000000000000000h`655`0000000000000000001h`1989-11-21 01:00:00.0`00000000000000000001`0000000000000000000h`2013-05-08 02:00:00.0`123957`2013-05-08 02:00:00.0
0000000000000000000i`470`0000000000000000001w`1989-11-19 01:00:00.0`00000000000000000002`0000000000000000000i`2013-05-09 02:00:00.0`123958`2013-05-08 02:00:00.0
0000000000000000000d`518`00000000000000000020`1989-11-22 01:00:00.0`00000000000000000004`0000000000000000000d`2013-05-08 02:00:00.0`123953`2013-05-08 02:00:00.0
0000000000000000000f`452`0000000000000000001g`1989-11-23 01:00:00.0`00000000000000000005`0000000000000000000f`2013-05-09 02:00:00.0`123955`2013-05-08 02:00:00.0
00000000000000000004`366`0000000000000000001p`1989-11-16 01:00:00.0`00000000000000000003`00000000000000000004`2013-05-08 02:00:00.0`123944`2013-05-08 02:00:00.0
00000000000000000009`446`0000000000000000000n`1989-11-11 01:00:00.0`00000000000000000001`00000000000000000009`2013-05-09 02:00:00.0`123949`2013-05-08 02:00:00.0
00000000000000000002`438`0000000000000000001o`1989-11-26 01:00:00.0`00000000000000000002`00000000000000000002`2013-05-08 02:00:00.0`123942`2013-05-08 02:00:00.0
0000000000000000000e`498`0000000000000000000g`1989-11-30 01:00:00.0`00000000000000000004`0000000000000000000e`2013-05-09 02:00:00.0`123954`2013-05-08 02:00:00.0
00000000000000000001`514`0000000000000000000b`1989-11-08 01:00:00.0`00000000000000000005`00000000000000000001`2013-05-08 02:00:00.0`123941`2013-05-08 02:00:00.0
00000000000000000007`653`00000000000000000025`1989-11-17 01:00:00.0`00000000000000000003`00000000000000000007`2013-05-09 02:00:00.0`123947`2013-05-08 02:00:00.0
0000000000000000000o`358`0000000000000000000y`1989-11-18 01:00:00.0`00000000000000000001`0000000000000000000o`2013-05-08 02:00:00.0`123964`2013-05-08 02:00:00.0
0000000000000000000k`633`00000000000000000010`1989-11-25 01:00:00.0`00000000000000000002`0000000000000000000k`2013-05-09 02:00:00.0`123960`2013-05-08 02:00:00.0
0000000000000000000c`588`0000000000000000001e`1989-11-13 01:00:00.0`00000000000000000004`0000000000000000000c`2013-05-08 02:00:00.0`123952`2013-05-08 02:00:00.0
0000000000000000000a`559`0000000000000000001b`1989-11-15 01:00:00.0`00000000000000000005`0000000000000000000a`2013-05-09 02:00:00.0`123950`2013-05-08 02:00:00.0
00000000000000000006`381`0000000000000000000q`1989-11-04 01:00:00.0`00000000000000000003`00000000000000000006`2013-05-08 02:00:00.0`123946`2013-05-08 02:00:00.0
00000000000000000005`603`00000000000000000029`1989-11-28 01:00:00.0`00000000000000000001`00000000000000000005`2013-05-09 02:00:00.0`123945`2013-05-08 02:00:00.0
00000000000000000003`672`0000000000000000001q`1989-11-09 01:00:00.0`00000000000000000002`00000000000000000003`2013-05-08 02:00:00.0`123943`2013-05-08 02:00:00.0
0000000000000000000l`598`0000000000000000000u`1989-11-02 01:00:00.0`00000000000000000004`0000000000000000000l`2013-05-09 02:00:00.0`123961`2013-05-08 02:00:00.0
0000000000000000000j`511`00000000000000000008`1989-11-14 01:00:00.0`00000000000000000005`0000000000000000000j`2013-05-08 02:00:00.0`123959`2013-05-08 02:00:00.0
0000000000000000000m`575`0000000000000000001k`1989-11-29 01:00:00.0`00000000000000000003`0000000000000000000m`2013-05-09 02:00:00.0`123962`2013-05-08 02:00:00.0
0000000000000000000n`526`0000000000000000000h`1989-11-01 01:00:00.0`00000000000000000001`0000000000000000000n`2013-05-08 02:00:00.0`123963`2013-05-08 02:00:00.0
0000000000000000000g`389`0000000000000000000i`1989-11-07 01:00:00.0`00000000000000000002`0000000000000000000g`2013-05-09 02:00:00.0`123956`2013-05-08 02:00:00.0
0000000000000000000b`430`0000000000000000000p`1989-11-24 01:00:00.0`00000000000000000004`0000000000000000000b`2013-05-08 02:00:00.0`123951`2013-05-08 02:00:00.0
00000000000000000008`487`00000000000000000022`1989-11-20 01:00:00.0`00000000000000000005`00000000000000000008`2013-05-09 02:00:00.0`123948`2013-05-08 02:00:00.0
0000000000000000000h`479`0000000000000000000d`1989-11-12 01:00:00.0`00000000000000000003`0000000000000000000h`2013-05-08 02:00:00.0`123957`2013-05-08 02:00:00.0
0000000000000000000i`392`0000000000000000000v`1989-11-27 01:00:00.0`00000000000000000001`0000000000000000000i`2013-05-09 02:00:00.0`123958`2013-05-08 02:00:00.0
0000000000000000000d`508`0000000000000000000f`1989-11-10 01:00:00.0`00000000000000000002`0000000000000000000d`2013-05-08 02:00:00.0`123953`2013-05-08 02:00:00.0
0000000000000000000f`497`00000000000000000004`1989-11-06 01:00:00.0`00000000000000000004`0000000000000000000f`2013-05-09 02:00:00.0`123955`2013-05-08 02:00:00.0
00000000000000000004`386`0000000000000000000s`1989-11-05 01:00:00.0`00000000000000000005`00000000000000000004`2013-05-08 02:00:00.0`123944`2013-05-08 02:00:00.0
00000000000000000009`352`0000000000000000001n`1989-11-03 01:00:00.0`00000000000000000003`00000000000000000009`2013-05-09 02:00:00.0`123949`2013-05-08 02:00:00.0
00000000000000000002`477`00000000000000000009`1989-11-21 01:00:00.0`00000000000000000001`00000000000000000002`2013-05-08 02:00:00.0`123942`2013-05-08 02:00:00.0
0000000000000000000e`444`0000000000000000001r`1989-11-19 01:00:00.0`00000000000000000002`0000000000000000000e`2013-05-09 02:00:00.0`123954`2013-05-08 02:00:00.0
00000000000000000001`640`00000000000000000011`1989-11-22 01:00:00.0`00000000000000000004`00000000000000000001`2013-05-08 02:00:00.0`123941`2013-05-08 02:00:00.0
00000000000000000007`651`0000000000000000001l`1989-11-23 01:00:00.0`00000000000000000005`00000000000000000007`2013-05-09 02:00:00.0`123947`2013-05-08 02:00:00.0
0000000000000000000o`582`0000000000000000001u`1989-11-16 01:00:00.0`00000000000000000003`0000000000000000000o`2013-05-08 02:00:00.0`123964`2013-05-08 02:00:00.0
0000000000000000000k`403`0000000000000000001m`1989-11-11 01:00:00.0`00000000000000000001`0000000000000000000k`2013-05-09 02:00:00.0`123960`2013-05-08 02:00:00.0
0000000000000000000c`605`00000000000000000002`1989-11-26 01:00:00.0`00000000000000000002`0000000000000000000c`2013-05-08 02:00:00.0`123952`2013-05-08 02:00:00.0
0000000000000000000a`509`0000000000000000000e`1989-11-30 01:00:00.0`00000000000000000004`0000000000000000000a`2013-05-09 02:00:00.0`123950`2013-05-08 02:00:00.0
00000000000000000006`523`00000000000000000028`1989-11-08 01:00:00.0`00000000000000000005`00000000000000000006`2013-05-08 02:00:00.0`123946`2013-05-08 02:00:00.0
00000000000000000005`365`0000000000000000001j`1989-11-17 01:00:00.0`00000000000000000003`00000000000000000005`2013-05-09 02:00:00.0`123945`2013-05-08 02:00:00.0
00000000000000000003`407`0000000000000000002a`1989-11-18 01:00:00.0`00000000000000000001`00000000000000000003`2013-05-08 02:00:00.0`123943`2013-05-08 02:00:00.0
0000000000000000000l`547`0000000000000000001x`1989-11-25 01:00:00.0`00000000000000000002`0000000000000000000l`2013-05-09 02:00:00.0`123961`2013-05-08 02:00:00.0
0000000000000000000j`502`00000000000000000027`1989-11-13 01:00:00.0`00000000000000000004`0000000000000000000j`2013-05-08 02:00:00.0`123959`2013-05-08 02:00:00.0
0000000000000000000m`349`0000000000000000001c`1989-11-15 01:00:00.0`00000000000000000005`0000000000000000000m`2013-05-09 02:00:00.0`123962`2013-05-08 02:00:00.0
0000000000000000000n`399`0000000000000000000x`1989-11-04 01:00:00.0`00000000000000000003`0000000000000000000n`2013-05-08 02:00:00.0`123963`2013-05-08 02:00:00.0
0000000000000000000g`666`0000000000000000000t`1989-11-28 01:00:00.0`00000000000000000001`0000000000000000000g`2013-05-09 02:00:00.0`123956`2013-05-08 02:00:00.0
0000000000000000000b`569`00000000000000000001`1989-11-09 01:00:00.0`00000000000000000002`0000000000000000000b`2013-05-08 02:00:00.0`123951`2013-05-08 02:00:00.0
00000000000000000008`416`00000000000000000007`1989-11-02 01:00:00.0`00000000000000000004`00000000000000000008`2013-05-09 02:00:00.0`123948`2013-05-08 02:00:00.0
0000000000000000000h`577`0000000000000000001d`1989-11-14 01:00:00.0`00000000000000000005`0000000000000000000h`2013-05-08 02:00:00.0`123957`2013-05-08 02:00:00.0
0000000000000000000i`441`00000000000000000014`1989-11-29 01:00:00.0`00000000000000000003`0000000000000000000i`2013-05-09 02:00:00.0`123958`2013-05-08 02:00:00.0
0000000000000000000d`652`00000000000000000026`1989-11-01 01:00:00.0`00000000000000000001`0000000000000000000d`2013-05-08 02:00:00.0`123953`2013-05-08 02:00:00.0
0000000000000000000f`563`00000000000000000015`1989-11-07 01:00:00.0`00000000000000000002`0000000000000000000f`2013-05-09 02:00:00.0`123955`2013-05-08 02:00:00.0
00000000000000000004`493`0000000000000000002d`1989-11-24 01:00:00.0`00000000000000000004`00000000000000000004`2013-05-08 02:00:00.0`123944`2013-05-08 02:00:00.0
00000000000000000009`556`0000000000000000000o`1989-11-20 01:00:00.0`00000000000000000005`00000000000000000009`2013-05-09 02:00:00.0`123949`2013-05-08 02:00:00.0
00000000000000000002`371`0000000000000000001v`1989-11-12 01:00:00.0`00000000000000000003`00000000000000000002`2013-05-08 02:00:00.0`123942`2013-05-08 02:00:00.0
