000000000000000000dz`\N`\N`523`\N`503`111`96`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`3482
000000000000000000os`\N`\N`2854`\N`1372`115`5007`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`5240
00000000000000000099`\N`\N`1392`\N`892`47`6216`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`4206
000000000000000000gv`\N`\N`912`\N`2593`108`200`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`4589
000000000000000000i2`\N`\N`2613`\N`333`73`243`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`504
000000000000000000to`\N`\N`353`\N`1876`12`5183`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3377
00000000000000000036`\N`\N`2848`\N`607`40`4897`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`3639
000000000000000000mk`\N`\N`1896`\N`1490`31`4927`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`4496
000000000000000000ud`\N`\N`627`\N`650`46`5208`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`5024
000000000000000000tm`000000000000004`\N`1510`\N`1068`61`5181`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`2835
000000000000000000o4`000000000000005`\N`670`\N`1339`16`4983`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`4806
000000000000000000wp`000000000000007`\N`1088`\N`114`29`5292`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3300
000000000000000000lh`000000000000003`\N`1359`\N`812`98`366`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`4509
0000000000000000005r`000000000000006`\N`134`\N`1093`85`476`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`1373
0000000000000000001r`000000000000001`\N`2688`\N`2073`123`4846`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`893
000000000000000000qt`000000000000002`\N`832`\N`2223`105`5080`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`2594
000000000000000000pm`000000000000004`\N`1113`\N`1066`19`5037`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`2883
0000000000000000004y`000000000000005`\N`2093`\N`868`99`4761`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`5229
000000000000000000dr`000000000000007`\N`2243`\N`1177`91`88`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`334
0000000000000000000j`000000000000003`\N`1086`\N`1991`11`4802`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3370
000000000000000000v5`000000000000006`\N`888`\N`1618`34`5236`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`2829
000000000000000000e4`000000000000001`\N`1197`\N`773`42`101`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3425
00000000000000000073`000000000000002`\N`2011`\N`2168`83`6138`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1877
0000000000000000007q`000000000000004`\N`1638`00000000000001d`1530`132`6161`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`608
000000000000000000i9`000000000000005`\N`793`000000000000014`207`45`250`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1491
000000000000000000kx`000000000000007`\N`2188`000000000000015`2206`39`346`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3065
0000000000000000006o`000000000000003`\N`1550`00000000000000o`63`5`509`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`651
000000000000000000vy`000000000000006`\N`227`00000000000001v`1668`130`5265`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`1069
0000000000000000009q`000000000000001`\N`2226`00000000000001t`2248`97`6233`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`2971
000000000000000000ho`000000000000002`\N`83`00000000000001f`2541`56`229`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`5112
000000000000000000k1`000000000000004`\N`1688`00000000000001i`2417`18`314`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1340
000000000000000000li`000000000000005`\N`2268`00000000000000k`2505`60`367`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`115
000000000000000000xj`000000000000007`\N`2561`000000000000013`1440`2`5322`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`2868
000000000000000000wc`000000000000003`\N`2437`000000000000019`965`52`5279`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3049
000000000000000000x9`000000000000006`\N`2525`00000000000000c`2100`69`5312`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`2669
000000000000000000fy`000000000000001`\N`1460`00000000000000r`922`94`167`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`813
000000000000000000wy`000000000000002`\N`985`00000000000000a`1769`24`5301`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`4599
000000000000000000vk`000000000000004`\N`2120`000000000000006`1309`80`5251`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`1094
000000000000000000s1`000000000000005`\N`942`000000000000016`178`62`5124`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`4446
000000000000000000a1`000000000000007`\N`1789`000000000000012`495`121`6244`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`2074
00000000000000000014`000000000000003`\N`1329`00000000000001s`1891`119`4823`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`2224
0000000000000000002y`000000000000006`\N`198`000000000000018`1492`67`4889`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`1067
000000000000000000lo`000000000000001`\N`515`000000000000005`19`89`373`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`2853
0000000000000000003l`000000000000002`\N`1911`00000000000000z`1121`92`3908`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`869
0000000000000000005e`000000000000004`\N`1512`000000000000017`508`122`4777`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1178
000000000000000000va`000000000000005`\N`39`000000000000003`1850`32`5241`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`4275
000000000000000000nd`000000000000007`\N`1141`00000000000000l`1864`59`4956`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1992
000000000000000000oz`000000000000003`\N`528`00000000000001a`1232`95`5014`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3556
000000000000000000qp`000000000000006`\N`1870`00000000000000j`2639`55`5076`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1619
000000000000000000w6`000000000000001`\N`1884`00000000000000w`255`58`5273`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`774
0000000000000000008a`000000000000002`\N`1252`00000000000000m`1526`51`6181`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`3288
0000000000000000003m`000000000000004`\N`2659`00000000000001h`2343`131`3909`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3801
000000000000000000gi`000000000000005`\N`2841`00000000000001g`278`63`187`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`4047
000000000000000000op`000000000000007`\N`275`00000000000001p`2166`38`5004`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`4278
