000000000000000002op`0000000000000000001d`\N`\N`\N`\N`1979-07-14 02:00:00.0`1979-07-14 02:00:00.0`\N`00000000000000000004`\N`24`49`503`\N`24`49`503`\N`3481`3481`3481`3481`4`105`2013-05-08 02:00:00.0
0000000000000000041j`00000000000000000014`\N`000000000000003`\N`\N`1981-07-07 02:00:00.0`1981-07-07 02:00:00.0`\N`00000000000000000003`\N`20`40`1372`\N`20`40`1372`\N`503`503`503`503`8`4377`2013-05-08 02:00:00.0
0000000000000000038t`00000000000000000015`\N`000000000000001`\N`\N`1971-05-19 01:00:00.0`1971-05-19 01:00:00.0`\N`00000000000000000001`\N`12`41`892`\N`12`41`892`\N`3376`3376`3376`3376`5`5663`2013-05-08 02:00:00.0
000000000000000003jg`0000000000000000000o`\N`000000000000002`\N`\N`1979-03-31 01:00:00.0`1979-03-31 01:00:00.0`\N`00000000000000000002`\N`10`24`2593`\N`27`24`2593`\N`3638`3638`3638`3638`7`6046`2013-05-08 02:00:00.0
000000000000000000dz`0000000000000000001v`\N`000000000000003`\N`\N`1979-12-18 01:00:00.0`1979-12-18 01:00:00.0`\N`00000000000000000004`\N`6`51`333`\N`10`51`333`\N`2834`2834`2834`2834`3`1017`2013-05-08 02:00:00.0
000000000000000002ls`0000000000000000001t`\N`000000000000001`\N`\N`1982-04-23 02:00:00.0`1982-04-23 02:00:00.0`\N`00000000000000000003`\N`5`54`1876`\N`6`54`1876`\N`3299`3299`3299`3299`6`3890`2013-05-08 02:00:00.0
000000000000000002t2`0000000000000000001f`\N`000000000000002`\N`\N`1977-10-05 01:00:00.0`1977-10-05 01:00:00.0`\N`00000000000000000001`\N`3`20`607`\N`5`20`607`\N`1372`1372`1372`1372`1`262`2013-05-08 02:00:00.0
000000000000000003gv`0000000000000000001i`\N`000000000000003`\N`\N`1979-01-13 01:00:00.0`1979-01-13 01:00:00.0`\N`00000000000000000002`\N`21`39`1490`\N`3`39`1490`\N`892`892`892`892`2`5953`2013-05-08 02:00:00.0
000000000000000003vj`00000000000000000023`\N`000000000000001`\N`\N`1982-05-06 02:00:00.0`1982-05-06 02:00:00.0`\N`00000000000000000004`\N`19`45`650`\N`21`45`650`\N`2593`2593`2593`2593`4`4161`2013-05-08 02:00:00.0
000000000000000004qy`0000000000000000000k`\N`000000000000002`\N`\N`1973-10-04 01:00:00.0`1973-10-04 01:00:00.0`\N`00000000000000000003`\N`22`12`1068`\N`19`12`1068`\N`2882`2882`2882`2882`8`4896`2013-05-08 02:00:00.0
0000000000000000026q`00000000000000000013`\N`000000000000003`\N`\N`1972-06-11 02:00:00.0`1972-06-11 02:00:00.0`\N`00000000000000000001`\N`23`27`1339`\N`32`27`1339`\N`333`333`333`333`5`3348`2013-05-08 02:00:00.0
