000000000000000000dz`41`\N`\N`\N`676`25`000000000000001`3898`2012-09-02 02:00:00.0`2013-05-08 02:00:00.0`3482
00000000000000000124`42`\N`\N`\N`423`21`000000000000002`4798`2012-08-31 02:00:00.0`2013-05-08 02:00:00.0`5240
000000000000000000os`25`\N`\N`\N`908`13`000000000000001`4287`2012-08-27 02:00:00.0`2013-05-08 02:00:00.0`4206
00000000000000000099`21`\N`3481`\N`401`28`000000000000002`339`2012-08-26 02:00:00.0`2013-05-08 02:00:00.0`7372
000000000000000000gv`40`\N`5239`\N`336`11`000000000000001`4002`2012-08-24 02:00:00.0`2013-05-08 02:00:00.0`4589
000000000000000000i2`46`\N`4205`\N`664`7`000000000000002`4045`2012-09-06 02:00:00.0`2013-05-08 02:00:00.0`504
000000000000000000to`13`\N`4588`\N`111`6`000000000000001`4463`2012-09-01 02:00:00.0`2013-05-08 02:00:00.0`3377
00000000000000000117`28`\N`503`\N`868`4`000000000000002`4734`2012-08-29 02:00:00.0`2013-05-08 02:00:00.0`3639
00000000000000000036`11`\N`3376`\N`370`22`000000000000001`120`2012-09-03 02:00:00.0`2013-05-08 02:00:00.0`4496
000000000000000000mk`7`\N`3638`\N`539`20`000000000000002`4207`2012-09-05 02:00:00.0`2013-05-08 02:00:00.0`5024
000000000000000000ud`43`\N`4495`\N`897`33`000000000000001`4488`2012-08-25 02:00:00.0`2013-05-08 02:00:00.0`6155
000000000000000000tm`39`\N`5023`\N`115`23`000000000000002`4461`2012-08-30 02:00:00.0`2013-05-08 02:00:00.0`2835
000000000000000000o4`45`\N`6154`\N`972`24`000000000000001`4263`2012-08-23 02:00:00.0`2013-05-08 02:00:00.0`7095
000000000000000000wp`6`\N`2834`\N`47`17`000000000000002`4572`2012-09-04 02:00:00.0`2013-05-08 02:00:00.0`6946
000000000000000000lh`36`\N`4805`\N`213`12`000000000000001`4168`2012-08-22 02:00:00.0`2013-05-08 02:00:00.0`4806
