000000000000000000is`423`000000000000000006i5`000000000000000006i5`497`2013-02-05 01:00:00.0`8430
000000000000000000br`401`000000000000000007td`00000000000000000dmn`5127`2013-02-06 01:00:00.0`17664
000000000000000000b5`336`000000000000000001aa`000000000000000007td`5105`2013-02-04 01:00:00.0`10130
0000000000000000009c`111`000000000000000002fs`000000000000000001aa`5040`2013-02-02 01:00:00.0`1667
000000000000000000ig`370`0000000000000000055k`000000000000000002fs`485`2013-02-03 01:00:00.0`3161
00000000000000000033`539`0000000000000000017z`00000000000000000ace`4798`2013-02-05 01:00:00.0`13407
000000000000000000aa`115`0000000000000000033z`0000000000000000055k`5074`2013-02-06 01:00:00.0`6681
000000000000000000ez`47`000000000000000006av`00000000000000000cqo`6167`2013-02-04 01:00:00.0`16513
00000000000000000037`213`000000000000000001n6`0000000000000000017z`4802`2013-02-02 01:00:00.0`1584
0000000000000000001b`493`000000000000000004hi`0000000000000000033z`6286`2013-02-03 01:00:00.0`4032
0000000000000000005x`298`000000000000000005cy`000000000000000006av`4900`2013-02-05 01:00:00.0`8168
000000000000000000dp`172`000000000000000003nk`000000000000000001n6`5197`2013-02-06 01:00:00.0`2131
000000000000000000jq`436`0000000000000000042g`00000000000000000bx1`5`2013-02-04 01:00:00.0`15446
0000000000000000008a`237`0000000000000000057u`0000000000000000084n`5002`2013-02-02 01:00:00.0`10536
000000000000000000j1`108`000000000000000002ja`000000000000000004hi`506`2013-02-03 01:00:00.0`5815
000000000000000000i9`360`000000000000000006bm`000000000000000005cy`478`2013-02-05 01:00:00.0`6947
0000000000000000004s`279`00000000000000000311`000000000000000003nk`4859`2013-02-06 01:00:00.0`4737
000000000000000000c4`191`0000000000000000017y`000000000000000008o2`5140`2013-02-04 01:00:00.0`11235
0000000000000000006l`73`000000000000000002mq`0000000000000000042g`4941`2013-02-02 01:00:00.0`5273
00000000000000000030`12`00000000000000000210`00000000000000000bsj`4795`2013-02-03 01:00:00.0`15284
000000000000000000a0`312`0000000000000000017r`0000000000000000057u`5064`2013-02-05 01:00:00.0`6763
0000000000000000007r`40`000000000000000005h9`00000000000000000crj`4983`2013-02-06 01:00:00.0`16544
0000000000000000005b`31`000000000000000005wo`000000000000000002ja`4878`2013-02-04 01:00:00.0`3287
00000000000000000021`323`0000000000000000039j`000000000000000006bm`4757`2013-02-02 01:00:00.0`8195
000000000000000000gx`326`000000000000000004c4`00000000000000000c9s`6237`2013-02-03 01:00:00.0`15905
000000000000000000jf`404`000000000000000004ra`00000000000000000311`4902`2013-02-05 01:00:00.0`3926
0000000000000000000c`414`0000000000000000058n`0000000000000000017y`4914`2013-02-06 01:00:00.0`1583
0000000000000000008o`371`000000000000000007o2`000000000000000002mq`5016`2013-02-04 01:00:00.0`3411
00000000000000000014`538`000000000000000003ss`000000000000000009np`6279`2013-02-02 01:00:00.0`12518
0000000000000000000v`448`000000000000000002fj`0000000000000000084x`3912`2013-02-03 01:00:00.0`10546
0000000000000000008z`148`000000000000000002f6`00000000000000000210`5027`2013-02-05 01:00:00.0`2629
00000000000000000092`157`000000000000000003zf`0000000000000000017r`5030`2013-02-06 01:00:00.0`1576
000000000000000000b8`46`0000000000000000072k`00000000000000000d3g`5108`2013-02-04 01:00:00.0`16973
000000000000000000bi`187`0000000000000000021l`000000000000000005h9`5118`2013-02-02 01:00:00.0`7102
000000000000000000iq`287`00000000000000000104`000000000000000005wo`495`2013-02-03 01:00:00.0`7657
000000000000000000ab`399`0000000000000000062t`00000000000000000a3l`5075`2013-02-05 01:00:00.0`13090
000000000000000000fp`284`000000000000000004rl`0000000000000000039j`6193`2013-02-06 01:00:00.0`4232
000000000000000000fo`321`000000000000000000ty`000000000000000008j0`6192`2013-02-04 01:00:00.0`11053
000000000000000000ey`274`000000000000000004x6`00000000000000000ant`6166`2013-02-02 01:00:00.0`13818
000000000000000000cg`61`000000000000000007pf`000000000000000004c4`5152`2013-02-03 01:00:00.0`5621
000000000000000000f9`245`000000000000000000mw`000000000000000009bk`6177`2013-02-05 01:00:00.0`12081
00000000000000000044`316`000000000000000004yf`000000000000000004ra`4835`2013-02-06 01:00:00.0`6167
0000000000000000004d`144`000000000000000000p3`0000000000000000058n`4844`2013-02-04 01:00:00.0`6792
0000000000000000001a`480`000000000000000002wi`0000000000000000092o`6285`2013-02-02 01:00:00.0`11761
