000000000000000002op`000000000000000000dz`0000000000000000000o`00000000000000k`0000000000000000001d`\N`\N`000000000000001`1971-05-19 01:00:00.0`1971-05-19 01:00:00.0`0000000000000000001d`0000000000002op`00000000000000000033`000000000000001`111`\N`503`111`00000000000000000003`00000000000000000033`0000000000000000000c`\N`0000000000000000000o`000000000000001`\N`40`40`\N`12`\N`66`49`503`000000000000001`11`49`503`\N`559`504`1833401`379030`34`25`13`00000000000000o`50`\N`\N`000000000000000002op`000000000000000002op`000000000000004`\N`106`44227`44278`2008-08-15 02:00:00.0`21301`271905`\N`6131`0000000000000000000o`2012-11-12 01:00:00.0`2012-11-12 01:00:00.0`2013-05-08 02:00:00.0
000000000000000000dz`00000000000000000124`0000000000000000000k`00000000000000c`00000000000000000014`\N`\N`000000000000001`1977-10-05 01:00:00.0`1977-10-05 01:00:00.0`00000000000000000014`0000000000000dz`00000000000000000037`000000000000002`115`\N`1372`115`00000000000000000001`0000000000000000001b`0000000000000000000a`\N`0000000000000000000k`000000000000002`\N`41`41`\N`10`\N`62`40`1372`000000000000001`7`40`1372`\N`1428`1373`1834270`379899`32`21`11`00000000000000k`41`\N`\N`000000000000000000dz`000000000000000000dz`000000000000003`\N`1018`44231`44269`2008-08-16 02:00:00.0`21292`271896`\N`4915`0000000000000000000k`2012-09-09 02:00:00.0`2012-09-09 02:00:00.0`2013-05-08 02:00:00.0
000000000000000002ls`000000000000000000os`0000000000000000000c`00000000000000a`00000000000000000026`\N`\N`000000000000001`1973-10-04 01:00:00.0`1973-10-04 01:00:00.0`00000000000000000026`0000000000002ls`0000000000000000001b`000000000000001`47`\N`892`47`00000000000000000002`00000000000000000030`00000000000000000006`\N`0000000000000000000c`000000000000001`\N`24`24`\N`6`\N`61`41`892`000000000000001`6`41`892`\N`948`893`1833790`379419`33`13`7`00000000000000c`42`\N`\N`000000000000000002ls`000000000000000002ls`000000000000001`\N`3891`43820`44307`2008-08-15 02:00:00.0`21330`271934`\N`4916`0000000000000000000c`2012-11-09 01:00:00.0`2012-11-09 01:00:00.0`2013-05-08 02:00:00.0
000000000000000002t2`00000000000000000099`0000000000000000000r`000000000000006`00000000000000000015`\N`\N`000000000000001`1972-06-11 02:00:00.0`1972-06-11 02:00:00.0`00000000000000000015`0000000000002t2`00000000000000000030`000000000000002`108`\N`333`213`00000000000000000003`00000000000000000021`00000000000000000005`\N`0000000000000000000r`000000000000002`\N`20`20`\N`5`\N`59`24`333`000000000000001`4`24`333`\N`389`334`1833231`378860`34`11`6`00000000000000a`25`\N`\N`000000000000000002t2`000000000000000002t2`000000000000002`\N`263`44224`44270`2008-08-16 02:00:00.0`21293`271897`\N`3917`0000000000000000000r`2012-10-05 02:00:00.0`2012-10-05 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000026q`000000000000000001g4`0000000000000000000a`000000000000005`0000000000000000002d`\N`\N`000000000000001`1977-02-06 01:00:00.0`1977-02-06 01:00:00.0`0000000000000000002d`00000000000026q`00000000000000000021`000000000000001`73`\N`1876`172`00000000000000000001`0000000000000000000c`00000000000000000003`\N`0000000000000000000a`000000000000001`\N`39`39`\N`3`\N`67`51`607`000000000000001`9`51`607`\N`663`1877`1834774`380403`32`7`4`000000000000006`52`\N`\N`0000000000000000026q`0000000000000000026q`000000000000004`\N`3349`43846`44314`2008-08-15 02:00:00.0`21337`271250`\N`3913`0000000000000000000a`2012-08-05 02:00:00.0`2012-08-05 02:00:00.0`2013-05-08 02:00:00.0
000000000000000002jn`000000000000000000gv`00000000000000000006`000000000000003`0000000000000000000o`\N`\N`000000000000001`1977-11-22 01:00:00.0`1977-11-22 01:00:00.0`0000000000000000002i`0000000000002jn`0000000000000000000c`000000000000002`12`\N`607`237`00000000000000000002`00000000000000000014`0000000000000000000b`\N`00000000000000000006`000000000000002`\N`12`12`\N`11`\N`64`54`1490`000000000000001`5`54`1490`000000000000001`1546`608`1833505`379134`33`6`12`000000000000005`55`\N`\N`000000000000000002jn`000000000000000002jn`000000000000003`\N`3814`43876`44319`2008-08-16 02:00:00.0`21276`271255`\N`4914`00000000000000000006`2012-09-02 02:00:00.0`2012-09-02 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000124`0000000000000000015e`00000000000000000005`00000000000000l`0000000000000000001v`\N`\N`000000000000001`1970-11-30 01:00:00.0`1970-11-30 01:00:00.0`0000000000000000000o`000000000000124`00000000000000000014`000000000000001`40`\N`1490`108`00000000000000000003`0000000000000000000v`00000000000000000008`\N`00000000000000000005`000000000000001`\N`27`27`\N`8`\N`60`20`650`000000000000001`10`20`650`000000000000001`706`1491`1834388`380017`34`4`9`000000000000003`21`\N`\N`00000000000000000124`00000000000000000124`000000000000001`\N`1887`43862`44253`2008-08-15 02:00:00.0`21319`271280`\N`4784`00000000000000000005`2012-08-24 02:00:00.0`2012-08-24 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000os`000000000000000000i2`00000000000000000003`00000000000000j`0000000000000000001t`\N`\N`000000000000001`1977-09-29 01:00:00.0`1977-09-29 01:00:00.0`0000000000000000001v`0000000000000os`0000000000000000000v`000000000000002`31`\N`650`279`00000000000000000001`0000000000000000001a`0000000000000000000d`\N`00000000000000000003`000000000000002`\N`10`10`\N`13`\N`65`39`1068`000000000000001`3`39`1068`000000000000001`1124`651`1833548`379177`32`22`5`00000000000000l`40`\N`\N`000000000000000000os`000000000000000000os`000000000000002`\N`1407`43895`44296`2008-08-16 02:00:00.0`21317`271923`\N`3905`00000000000000000003`2012-09-08 02:00:00.0`2012-09-08 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000201`000000000000000000to`0000000000000000000l`00000000000000g`0000000000000000001f`\N`\N`000000000000001`1975-02-20 01:00:00.0`1975-02-20 01:00:00.0`0000000000000000001t`000000000000201`0000000000000000001a`000000000000001`46`\N`1068`191`00000000000000000002`0000000000000000001p`0000000000000000000f`\N`0000000000000000000l`000000000000001`\N`6`6`\N`4`\N`58`45`1339`000000000000001`2`45`1339`000000000000001`1395`1069`1833966`379595`33`20`10`00000000000000j`46`\N`\N`00000000000000000201`00000000000000000201`000000000000004`\N`3108`43819`44294`2008-08-15 02:00:00.0`21303`271921`\N`3920`0000000000000000000l`2012-09-23 02:00:00.0`2012-09-23 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000282`00000000000000000117`0000000000000000000j`00000000000000b`0000000000000000001i`\N`\N`000000000000001`1971-08-31 02:00:00.0`1971-08-31 02:00:00.0`0000000000000000001f`000000000000282`0000000000000000001p`000000000000002`61`\N`1339`73`00000000000000000003`0000000000000000000g`00000000000000000004`\N`0000000000000000000j`000000000000002`\N`42`42`\N`9`\N`57`12`114`000000000000001`8`12`114`000000000000001`170`1340`1834237`379866`34`23`3`00000000000000m`13`\N`\N`00000000000000000282`00000000000000000282`000000000000003`\N`3397`43834`44280`2008-08-16 02:00:00.0`21306`271907`\N`3903`0000000000000000000j`2012-08-09 02:00:00.0`2012-08-09 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000099`00000000000000000036`0000000000000000000m`000000000000008`00000000000000000023`\N`\N`000000000000001`1974-01-30 01:00:00.0`1974-01-30 01:00:00.0`0000000000000000001i`000000000000099`0000000000000000000g`000000000000001`16`\N`114`12`00000000000000000001`0000000000000000000t`00000000000000000009`\N`0000000000000000000w`000000000000001`\N`38`38`\N`2`\N`63`27`812`000000000000001`11`27`812`000000000000001`868`115`1833012`378641`32`24`2`00000000000000n`28`\N`\N`00000000000000000099`00000000000000000099`000000000000001`\N`848`43880`44283`2008-08-15 02:00:00.0`21327`271910`\N`3899`0000000000000000000m`2012-08-22 02:00:00.0`2012-08-22 02:00:00.0`2013-05-08 02:00:00.0
000000000000000002ll`000000000000000000mk`0000000000000000000n`00000000000000h`0000000000000000000k`\N`\N`000000000000001`1978-05-23 01:00:00.0`1978-05-23 01:00:00.0`00000000000000000023`0000000000002ll`0000000000000000000t`000000000000002`29`\N`812`40`00000000000000000002`0000000000000000002q`00000000000000000002`\N`0000000000000000000m`000000000000002`\N`44`5`\N`1`\N`66`10`1093`000000000000001`7`10`1093`000000000000001`1149`813`1833710`379339`33`17`8`00000000000000g`11`\N`\N`000000000000000002ll`000000000000000002ll`000000000000002`\N`3884`43893`44304`2008-08-16 02:00:00.0`21272`271931`\N`4917`0000000000000000000n`2012-10-30 01:00:00.0`2012-10-30 01:00:00.0`2013-05-08 02:00:00.0
0000000000000000026k`000000000000000000ud`0000000000000000000g`00000000000000i`00000000000000000013`00000000000000000004`\N`000000000000001`1971-10-13 01:00:00.0`1971-10-13 01:00:00.0`0000000000000000000k`00000000000026k`0000000000000000002q`000000000000001`98`\N`1093`31`00000000000000000003`0000000000000000002d`0000000000000000000e`\N`0000000000000000000n`000000000000001`\N`5`35`\N`7`\N`62`6`1066`000000000000001`6`6`1066`000000000000001`1122`1094`1833991`379620`34`12`13`00000000000000b`7`\N`\N`0000000000000000026k`0000000000000000026k`000000000000004`\N`3343`44214`44249`2008-08-15 02:00:00.0`21291`271276`\N`4913`0000000000000000000g`2012-10-17 02:00:00.0`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0
