000000000000000000dz`00000000000000000223`0000000000000000001d`00000000000001d`000000000000000000b5`00000000000000000001`\N`\N`000000000000001`1971-05-19 01:00:00.0`1971-05-19 01:00:00.0`\N`0000000000000dz`\N`000000000000001`\N`\N`\N`49`\N`503`423`\N`\N`00000000000000000003`00000000000000000033`00000000000000000004`0000000000000000001d`000000000000001`00000000000000000001`49`49`\N`\N`4`\N`\N`\N`\N`\N`\N`111`000000000000001`\N`68`49`503`000000000000001`25`49`503`000000000000001`559`504`6220739`312207`35`20`13`\N`50`\N`\N`\N`000000000000000000dz`000000000000000000dz`000000000000003`\N`2002-03-05 01:00:00.0`4384`\N`\N`271460`506`21662`0000000000000000001d`2012-09-11 02:00:00.0`2012-11-12 01:00:00.0`2013-05-08 02:00:00.0
00000000000000000124`000000000000000002cw`00000000000000000014`000000000000014`0000000000000000009c`00000000000000000002`\N`\N`000000000000001`1973-10-04 01:00:00.0`1973-10-04 01:00:00.0`\N`000000000000124`\N`000000000000002`\N`\N`\N`40`\N`892`401`\N`\N`00000000000000000001`00000000000000000037`00000000000000000008`00000000000000000014`000000000000001`00000000000000000002`40`40`\N`\N`5`\N`\N`\N`\N`\N`\N`115`000000000000002`\N`66`40`892`000000000000001`21`40`892`000000000000001`948`893`6221128`312596`36`11`11`\N`41`\N`\N`\N`00000000000000000124`00000000000000000124`000000000000001`\N`2002-03-09 01:00:00.0`4857`\N`\N`271486`497`21597`00000000000000000014`2012-09-02 02:00:00.0`2012-11-16 01:00:00.0`2013-05-08 02:00:00.0
000000000000000000os`000000000000000001xd`00000000000000000015`000000000000015`00000000000000000033`00000000000000000001`\N`\N`000000000000001`1972-06-11 02:00:00.0`1972-06-11 02:00:00.0`\N`0000000000000os`\N`000000000000001`\N`\N`\N`78`\N`333`336`\N`\N`00000000000000000002`0000000000000000001b`00000000000000000005`00000000000000000015`000000000000001`00000000000000000001`41`41`\N`\N`7`\N`\N`\N`\N`\N`\N`47`000000000000001`\N`62`41`333`000000000000001`13`41`333`000000000000001`389`334`6220569`312037`34`49`7`\N`42`\N`\N`\N`000000000000000000os`000000000000000000os`000000000000002`\N`2001-12-31 01:00:00.0`4937`\N`\N`271425`498`21372`00000000000000000015`2012-10-10 02:00:00.0`2012-09-09 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000099`0000000000000000024z`0000000000000000000o`00000000000000o`000000000000000000aa`00000000000000000002`\N`\N`000000000000001`1970-11-30 01:00:00.0`1970-11-30 01:00:00.0`\N`000000000000099`\N`000000000000002`\N`\N`\N`41`\N`607`111`\N`\N`00000000000000000003`00000000000000000030`00000000000000000009`0000000000000000000o`000000000000001`00000000000000000002`24`24`\N`\N`3`\N`\N`\N`\N`\N`\N`172`000000000000002`000000000000001`61`24`607`000000000000001`11`24`607`000000000000001`663`608`6220843`312311`37`12`6`\N`25`\N`\N`\N`00000000000000000099`00000000000000000099`000000000000003`\N`2002-06-15 02:00:00.0`4214`\N`\N`271453`481`21631`0000000000000000000o`2012-09-03 02:00:00.0`2012-11-09 01:00:00.0`2013-05-08 02:00:00.0
000000000000000000gv`00000000000000000266`0000000000000000001v`00000000000001f`00000000000000000037`00000000000000000001`\N`\N`000000000000001`1971-08-31 02:00:00.0`1971-08-31 02:00:00.0`\N`0000000000000gv`\N`000000000000001`\N`\N`\N`85`\N`650`370`\N`\N`00000000000000000001`00000000000000000021`00000000000000000007`0000000000000000001f`000000000000001`00000000000000000001`20`20`\N`\N`6`\N`\N`\N`\N`\N`\N`108`000000000000001`000000000000001`59`51`650`000000000000001`7`51`650`000000000000001`706`651`6220886`312354`32`128`4`\N`52`\N`\N`\N`000000000000000000gv`000000000000000000gv`000000000000001`\N`2002-05-05 02:00:00.0`4488`\N`\N`271444`508`21376`0000000000000000001v`2012-10-17 02:00:00.0`2012-10-05 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000015e`000000000000000002hs`0000000000000000001t`00000000000000k`0000000000000000001b`00000000000000000002`\N`\N`000000000000001`1971-10-13 01:00:00.0`1971-10-13 01:00:00.0`\N`00000000000015e`\N`000000000000002`\N`\N`\N`24`\N`1068`115`\N`\N`00000000000000000002`0000000000000000000c`00000000000000000003`0000000000000000000k`000000000000001`00000000000000000002`39`39`\N`\N`1`\N`\N`\N`\N`\N`\N`191`000000000000002`000000000000001`72`54`1068`000000000000001`6`54`1068`000000000000001`1124`1069`6221304`312772`33`38`12`\N`21`\N`\N`\N`0000000000000000015e`0000000000000000015e`000000000000002`\N`2002-07-09 02:00:00.0`6207`\N`\N`271459`511`21308`0000000000000000001t`2012-10-22 02:00:00.0`2012-08-05 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000i2`000000000000000001ra`0000000000000000001f`000000000000013`0000000000000000005x`00000000000000000001`\N`\N`000000000000001`1972-12-04 01:00:00.0`1972-12-04 01:00:00.0`\N`0000000000000i2`\N`000000000000001`\N`\N`\N`67`\N`114`47`\N`\N`00000000000000000003`00000000000000000014`00000000000000000006`00000000000000000013`000000000000001`00000000000000000001`45`45`\N`\N`2`\N`\N`\N`\N`\N`\N`73`000000000000001`000000000000001`67`20`114`000000000000001`4`20`114`000000000000001`170`115`6220350`311818`35`36`9`\N`40`\N`\N`\N`000000000000000000i2`000000000000000000i2`000000000000003`\N`2002-03-02 01:00:00.0`4531`\N`\N`271474`477`21474`0000000000000000001f`2012-08-17 02:00:00.0`2012-09-02 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000to`000000000000000002ao`0000000000000000001i`000000000000019`0000000000000000008a`00000000000000000002`\N`\N`000000000000001`1973-09-01 02:00:00.0`1973-09-01 02:00:00.0`\N`0000000000000to`\N`000000000000002`\N`\N`\N`65`\N`812`213`\N`\N`00000000000000000001`0000000000000000000v`00000000000000000001`00000000000000000019`000000000000001`00000000000000000002`12`12`\N`\N`4`\N`\N`\N`\N`\N`\N`12`000000000000002`000000000000001`64`39`812`000000000000001`22`39`812`000000000000001`868`813`6221048`312516`36`22`5`\N`46`\N`\N`\N`000000000000000000to`000000000000000000to`000000000000001`\N`2002-05-24 02:00:00.0`5113`\N`\N`271429`496`21559`0000000000000000001i`2012-09-29 02:00:00.0`2012-08-24 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000117`000000000000000002ih`0000000000000000000k`00000000000000c`0000000000000000004s`00000000000000000001`\N`\N`000000000000001`1970-04-25 01:00:00.0`1970-04-25 01:00:00.0`\N`000000000000117`\N`000000000000001`\N`\N`\N`51`\N`1093`298`\N`\N`00000000000000000002`0000000000000000001a`00000000000000000002`0000000000000000000c`000000000000001`00000000000000000001`27`27`\N`\N`5`\N`\N`\N`\N`\N`\N`40`000000000000001`000000000000001`69`45`1093`000000000000001`20`45`1093`000000000000001`1149`1094`6221329`312797`34`25`10`\N`13`\N`\N`\N`00000000000000000117`00000000000000000117`000000000000002`\N`2002-01-26 01:00:00.0`4824`\N`\N`271442`502`21433`0000000000000000000k`2012-09-27 02:00:00.0`2012-09-08 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000036`000000000000000002hq`00000000000000000013`00000000000000r`0000000000000000006l`00000000000000000002`\N`\N`000000000000001`1972-03-23 01:00:00.0`1972-03-23 01:00:00.0`\N`000000000000036`\N`000000000000002`\N`\N`\N`54`\N`1066`172`\N`\N`00000000000000000003`0000000000000000001p`00000000000000000004`0000000000000000000r`000000000000001`00000000000000000002`10`10`\N`\N`7`\N`\N`\N`\N`\N`\N`31`000000000000002`000000000000001`71`12`1066`000000000000001`23`12`1066`000000000000001`1122`1067`6221302`312770`37`46`3`\N`28`\N`\N`\N`00000000000000000036`00000000000000000036`000000000000003`\N`2001-11-26 01:00:00.0`3995`\N`\N`271511`5`21498`00000000000000000013`2012-09-13 02:00:00.0`2012-09-23 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000mk`000000000000000002c8`00000000000000000019`00000000000000a`00000000000000000030`00000000000000000001`\N`\N`000000000000001`1972-12-29 01:00:00.0`1972-12-29 01:00:00.0`\N`0000000000000mk`\N`000000000000001`\N`\N`\N`75`\N`868`237`\N`\N`00000000000000000001`0000000000000000000g`00000000000000000008`0000000000000000000a`000000000000001`00000000000000000001`6`6`\N`\N`3`\N`\N`\N`\N`\N`\N`148`000000000000001`000000000000001`60`27`868`000000000000001`24`27`868`000000000000001`924`869`6221104`312572`32`124`2`\N`11`\N`\N`\N`000000000000000000mk`000000000000000000mk`000000000000001`\N`2001-12-24 01:00:00.0`4693`\N`\N`271498`484`21369`00000000000000000019`2012-09-16 02:00:00.0`2012-08-09 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ud`000000000000000002kt`0000000000000000000c`000000000000006`000000000000000000a0`00000000000000000002`\N`\N`000000000000001`1972-12-02 01:00:00.0`1972-12-02 01:00:00.0`\N`0000000000000ud`\N`000000000000002`\N`\N`\N`20`\N`773`108`\N`\N`00000000000000000002`0000000000000000000t`00000000000000000005`00000000000000000006`000000000000001`00000000000000000002`42`42`\N`\N`6`\N`\N`\N`\N`\N`\N`157`000000000000002`000000000000001`65`10`773`000000000000001`17`10`773`000000000000001`1233`1178`6221413`312881`33`10`8`\N`7`\N`\N`\N`000000000000000000ud`000000000000000000ud`000000000000002`\N`2001-12-15 01:00:00.0`5138`\N`\N`271432`6317`21621`0000000000000000000c`2012-10-07 02:00:00.0`2012-08-22 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000tm`0000000000000000029l`0000000000000000000r`000000000000016`0000000000000000007r`00000000000000000001`\N`\N`000000000000001`1972-05-18 01:00:00.0`1972-05-18 01:00:00.0`\N`0000000000000tm`\N`000000000000001`\N`\N`\N`39`\N`207`360`\N`\N`00000000000000000003`0000000000000000002q`00000000000000000009`00000000000000000016`000000000000001`00000000000000000001`38`38`\N`\N`1`\N`\N`\N`\N`\N`\N`46`000000000000001`000000000000001`58`6`207`000000000000001`12`6`207`000000000000001`829`774`6221009`312477`35`42`13`\N`43`\N`\N`\N`000000000000000000tm`000000000000000000tm`000000000000003`\N`2002-04-11 02:00:00.0`5111`\N`\N`271512`6313`21540`0000000000000000000r`2012-08-13 02:00:00.0`2012-10-30 01:00:00.0`2013-05-08 02:00:00.0
000000000000000000o4`000000000000000001tv`0000000000000000000a`000000000000012`0000000000000000005b`00000000000000000002`\N`\N`000000000000001`1973-03-23 01:00:00.0`1973-03-23 01:00:00.0`\N`0000000000000o4`\N`000000000000002`\N`\N`\N`71`\N`63`279`\N`\N`00000000000000000001`0000000000000000002d`00000000000000000007`00000000000000000012`000000000000001`00000000000000000002`44`44`\N`\N`2`\N`\N`\N`\N`\N`\N`187`000000000000002`000000000000001`70`42`63`000000000000001`9`42`63`000000000000001`263`208`6220443`311911`36`16`11`\N`39`\N`\N`\N`000000000000000000o4`000000000000000000o4`000000000000001`\N`2002-04-20 02:00:00.0`4749`\N`\N`271504`499`21452`0000000000000000000a`2012-09-01 02:00:00.0`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000wp`000000000000000001pv`00000000000000000006`000000000000018`00000000000000000021`00000000000000000001`\N`\N`000000000000001`1972-02-13 01:00:00.0`1972-02-13 01:00:00.0`\N`0000000000000wp`\N`000000000000001`\N`\N`\N`45`\N`965`191`\N`\N`00000000000000000002`0000000000000000003f`00000000000000000003`00000000000000000018`000000000000001`00000000000000000001`5`5`\N`\N`4`\N`\N`\N`\N`\N`\N`61`000000000000001`000000000000001`57`38`965`000000000000001`18`38`965`000000000000001`119`64`6220299`311767`34`116`7`\N`45`\N`\N`\N`000000000000000000wp`000000000000000000wp`000000000000002`\N`2001-12-30 01:00:00.0`5222`\N`\N`271424`495`21334`00000000000000000006`2012-10-03 02:00:00.0`2012-11-06 01:00:00.0`2013-05-08 02:00:00.0
