000000000000000000dz`3481`111`111`336`\N`1977-09-06 02:00:00.0`4856`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`8430
000000000000000000os`4205`115`115`111`\N`1980-01-23 01:00:00.0`5234`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`21149
00000000000000000099`4588`47`47`115`\N`1978-09-30 02:00:00.0`339`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`17664
000000000000000000gv`503`108`213`47`\N`1977-03-20 01:00:00.0`4949`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`10130
000000000000000000i2`3376`73`172`213`\N`1981-06-10 02:00:00.0`4992`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`24489
000000000000000000to`3638`12`237`298`\N`1977-12-19 01:00:00.0`6174`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`25920
00000000000000000036`4495`40`108`172`\N`1980-05-20 02:00:00.0`120`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1667
000000000000000000mk`2834`31`191`237`\N`1978-01-31 01:00:00.0`5154`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3161
000000000000000000ud`4805`46`73`108`\N`1979-03-25 01:00:00.0`6199`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`18570
000000000000000000tm`3299`61`12`279`\N`1979-12-21 01:00:00.0`6172`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`25677
000000000000000000o4`4508`16`40`191`\N`1976-08-13 02:00:00.0`5210`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`13407
000000000000000000wp`1372`29`31`73`0000000000000000009c`1978-07-12 02:00:00.0`4`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`6681
000000000000000000lh`892`98`148`12`00000000000000000033`1979-04-19 01:00:00.0`5115`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`16513
0000000000000000005r`2593`85`157`312`00000000000000000037`1981-12-24 01:00:00.0`213`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`1584
0000000000000000001r`2882`123`46`40`0000000000000000001b`1982-05-23 02:00:00.0`69`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`4032
000000000000000000qt`333`105`187`31`0000000000000000005x`1979-03-23 01:00:00.0`5307`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`8168
000000000000000000pm`3369`19`61`323`0000000000000000008a`1978-09-06 02:00:00.0`5264`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`2131
0000000000000000004y`2828`99`245`326`0000000000000000004s`1979-07-12 02:00:00.0`184`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`15446
000000000000000000dr`3424`91`144`148`0000000000000000006l`1981-10-03 01:00:00.0`4848`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`10536
0000000000000000000j`1876`11`231`157`00000000000000000030`1980-09-25 02:00:00.0`25`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`21063
000000000000000000v5`607`34`16`46`0000000000000000007r`1978-06-03 02:00:00.0`6227`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`26274
000000000000000000e4`1490`42`226`187`0000000000000000005b`1982-03-29 02:00:00.0`4861`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`5815
00000000000000000073`3064`83`261`287`00000000000000000021`1980-06-29 02:00:00.0`261`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`6947
0000000000000000007q`650`140`29`284`0000000000000000000c`1976-11-14 01:00:00.0`284`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`4737
000000000000000000i9`1068`132`159`321`0000000000000000008o`1982-05-06 02:00:00.0`4999`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`11235
000000000000000000kx`2970`45`98`274`00000000000000000014`1976-06-23 02:00:00.0`5095`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`18548
0000000000000000006o`1339`39`85`61`0000000000000000000v`1980-11-14 01:00:00.0`246`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`20191
000000000000000000vy`114`5`192`245`0000000000000000008z`1982-06-17 02:00:00.0`6256`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`5273
0000000000000000009q`2867`130`123`316`00000000000000000092`1982-12-03 01:00:00.0`356`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`15284
000000000000000000ho`3048`97`171`144`00000000000000000044`1983-03-01 01:00:00.0`4978`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`6763
000000000000000000k1`2668`56`105`231`0000000000000000004d`1980-03-31 01:00:00.0`5063`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`16544
000000000000000000li`812`18`19`16`0000000000000000001a`1978-12-12 01:00:00.0`5116`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3287
000000000000000000xj`4598`60`99`331`00000000000000000057`1982-01-20 01:00:00.0`3920`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`8195
000000000000000000wc`1093`2`91`226`0000000000000000007z`1978-10-30 01:00:00.0`6270`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`26282
000000000000000000x9`4445`52`151`261`0000000000000000007w`1981-02-23 01:00:00.0`3910`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`15905
000000000000000000fy`2073`69`167`29`0000000000000000008x`1979-11-21 01:00:00.0`6305`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3926
000000000000000000wy`2223`94`11`159`0000000000000000007m`1976-10-16 01:00:00.0`3899`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`1583
000000000000000000vk`1066`24`241`98`0000000000000000001p`1977-08-29 02:00:00.0`6242`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`3411
000000000000000000s1`2852`80`212`85`0000000000000000006t`1981-06-25 02:00:00.0`4764`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`25197
