000000000000000000br`\N`\N`423`423`\N`1971-08-26 02:00:00.0`1980-04-20 02:00:00.0`4902`2012-10-21 02:00:00.0`2013-05-08 02:00:00.0`677
000000000000000000b5`\N`\N`401`401`\N`1971-08-04 02:00:00.0`1980-02-16 01:00:00.0`495`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`424
0000000000000000009c`000000000000004`\N`336`336`\N`1971-05-31 02:00:00.0`1980-04-17 02:00:00.0`4881`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`402
00000000000000000033`000000000000005`\N`111`111`\N`1970-10-18 01:00:00.0`1980-03-13 01:00:00.0`6154`2012-10-14 02:00:00.0`2013-05-08 02:00:00.0`337
000000000000000000aa`000000000000007`\N`370`370`\N`1971-07-04 02:00:00.0`1980-01-12 01:00:00.0`4917`2012-10-22 02:00:00.0`2013-05-08 02:00:00.0`665
00000000000000000037`000000000000003`\N`115`115`\N`1971-12-20 01:00:00.0`1980-02-09 01:00:00.0`6158`2012-10-19 02:00:00.0`2013-05-08 02:00:00.0`112
0000000000000000001b`000000000000006`\N`47`47`\N`1970-10-22 01:00:00.0`1980-01-31 01:00:00.0`3915`2012-10-15 02:00:00.0`2013-05-08 02:00:00.0`371
0000000000000000005x`000000000000001`\N`213`213`\N`1970-08-15 02:00:00.0`1980-02-15 01:00:00.0`6256`2012-10-20 02:00:00.0`2013-05-08 02:00:00.0`540
0000000000000000008a`000000000000002`\N`298`298`\N`1971-01-28 01:00:00.0`1980-03-01 01:00:00.0`4843`2012-10-13 02:00:00.0`2013-05-08 02:00:00.0`116
0000000000000000004s`000000000000004`\N`172`172`\N`1971-11-04 01:00:00.0`1980-01-16 01:00:00.0`6215`2012-10-12 02:00:00.0`2013-05-08 02:00:00.0`48
0000000000000000006l`000000000000005`\N`436`436`\N`1971-04-23 01:00:00.0`1980-01-29 01:00:00.0`6130`2012-10-18 02:00:00.0`2013-05-08 02:00:00.0`214
00000000000000000030`000000000000007`\N`237`237`\N`1970-12-18 01:00:00.0`1980-04-07 02:00:00.0`6151`2012-10-21 02:00:00.0`2013-05-08 02:00:00.0`494
000000000000000000a0`000000000000003`\N`108`108`\N`1971-09-08 02:00:00.0`1980-03-25 01:00:00.0`4907`2012-10-17 02:00:00.0`2013-05-08 02:00:00.0`711
0000000000000000007r`000000000000006`\N`360`360`\N`1971-02-21 01:00:00.0`1980-04-14 02:00:00.0`4824`2012-10-16 02:00:00.0`2013-05-08 02:00:00.0`299
0000000000000000005b`000000000000001`\N`279`279`\N`1970-10-15 01:00:00.0`1980-01-19 01:00:00.0`6234`2012-10-14 02:00:00.0`2013-05-08 02:00:00.0`686
00000000000000000021`000000000000002`\N`191`191`\N`1971-06-24 02:00:00.0`1980-04-08 02:00:00.0`6294`2012-10-22 02:00:00.0`2013-05-08 02:00:00.0`658
0000000000000000000c`000000000000004`\N`73`73`\N`1971-04-04 01:00:00.0`1980-03-31 01:00:00.0`4765`2012-10-19 02:00:00.0`2013-05-08 02:00:00.0`173
0000000000000000008o`000000000000005`\N`12`12`\N`1971-01-06 01:00:00.0`1980-01-11 01:00:00.0`4857`2012-10-15 02:00:00.0`2013-05-08 02:00:00.0`437
00000000000000000014`000000000000007`\N`312`312`\N`1970-09-10 02:00:00.0`1980-02-03 01:00:00.0`3908`2012-10-20 02:00:00.0`2013-05-08 02:00:00.0`238
0000000000000000000v`000000000000003`\N`40`40`\N`1970-07-11 02:00:00.0`1980-02-11 01:00:00.0`3899`2012-10-13 02:00:00.0`2013-05-08 02:00:00.0`109
0000000000000000008z`000000000000006`\N`31`31`\N`1971-05-07 01:00:00.0`1980-03-23 01:00:00.0`4868`2012-10-12 02:00:00.0`2013-05-08 02:00:00.0`361
