000000000000000000is`5988`000000000000000000is`0000000000000000000o`\N`\N`1975-09-17 02:00:00.0`1971-02-06 01:00:00.0`0000000000000is`336`111`00000000000000000004`24`24`\N`\N`24`49`676`\N`24`49`676`\N`676`676`676`676`4`98`13`000000000000001`49`\N`\N`2012-08-05 02:00:00.0`2012-08-05 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000br`5735`000000000000000000br`0000000000000000000k`\N`\N`1975-07-14 02:00:00.0`1970-12-03 01:00:00.0`0000000000000br`111`115`00000000000000000003`20`20`\N`\N`20`40`423`\N`20`40`423`\N`423`423`423`423`8`21`11`000000000000001`40`\N`\N`2012-08-03 02:00:00.0`2012-08-03 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000b5`5713`000000000000000000b5`0000000000000000000c`\N`\N`1974-12-01 01:00:00.0`1970-04-22 01:00:00.0`0000000000000b5`115`47`00000000000000000001`12`12`\N`\N`12`41`401`\N`12`41`401`\N`401`401`401`401`5`63`7`000000000000001`41`\N`\N`2012-07-30 02:00:00.0`2012-07-30 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000009c`5648`0000000000000000009c`0000000000000000000r`\N`\N`1975-08-17 02:00:00.0`1971-01-06 01:00:00.0`00000000000009c`47`213`00000000000000000002`27`27`\N`\N`10`24`336`\N`27`24`336`\N`336`336`336`336`7`91`6`000000000000001`24`\N`\N`2012-07-29 02:00:00.0`2012-07-29 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ig`5976`000000000000000000ig`0000000000000000000a`\N`\N`1974-12-05 01:00:00.0`1970-04-26 01:00:00.0`0000000000000ig`213`298`00000000000000000004`10`10`\N`\N`6`51`664`\N`10`51`664`\N`664`664`664`664`3`82`4`000000000000001`51`\N`\N`2012-07-27 02:00:00.0`2012-07-27 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000033`5423`00000000000000000033`00000000000000000006`\N`\N`1974-09-28 02:00:00.0`1970-02-17 01:00:00.0`000000000000033`298`172`00000000000000000003`6`6`\N`\N`5`54`111`\N`6`54`111`\N`111`111`111`111`6`97`12`000000000000001`54`\N`\N`2012-08-09 02:00:00.0`2012-08-09 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000aa`5682`000000000000000000aa`00000000000000000005`\N`\N`1975-03-13 01:00:00.0`1970-08-02 02:00:00.0`0000000000000aa`172`237`00000000000000000001`5`5`\N`\N`3`20`370`\N`5`20`370`\N`370`370`370`370`1`9`9`000000000000001`20`\N`\N`2012-08-04 02:00:00.0`2012-08-04 02:00:00.0`2013-05-08 02:00:00.0
000000000000000000ez`5851`000000000000000000ez`0000000000000000000z`\N`\N`1975-06-06 02:00:00.0`1970-10-26 01:00:00.0`0000000000000ez`237`108`00000000000000000002`3`35`\N`\N`21`39`539`\N`3`39`539`\N`539`539`539`539`2`67`5`000000000000001`39`\N`\N`2012-08-01 02:00:00.0`2012-08-01 02:00:00.0`2013-05-08 02:00:00.0
00000000000000000037`5427`00000000000000000037`00000000000000000003`\N`\N`1975-01-31 01:00:00.0`1970-06-22 02:00:00.0`000000000000037`108`279`00000000000000000004`21`3`\N`\N`19`45`115`\N`21`45`115`\N`115`115`115`115`4`80`10`000000000000001`45`\N`\N`2012-08-06 02:00:00.0`2012-08-10 02:00:00.0`2013-05-08 02:00:00.0
0000000000000000001b`5359`0000000000000000001b`0000000000000000000l`\N`\N`1975-04-06 01:00:00.0`1970-08-26 02:00:00.0`00000000000001b`279`191`00000000000000000003`19`21`\N`000000000000001`22`12`47`\N`19`12`47`\N`47`47`47`47`8`46`3`000000000000001`12`\N`\N`2012-08-08 02:00:00.0`2012-08-06 02:00:00.0`2013-05-08 02:00:00.0
