105`000000000000000002op`000000000000000002op`\N`\N`\N`0000000000000000001d`000000000000001`\N`\N`1979-07-14 02:00:00.0`1979-07-14 02:00:00.0`\N`\N`12`\N`676`\N`\N`000000000000001
4404`0000000000000000038t`0000000000000000041j`\N`\N`000000000000003`00000000000000000014`000000000000002`\N`\N`1981-07-07 02:00:00.0`1981-07-07 02:00:00.0`\N`\N`10`\N`423`000000000000000002op`\N`000000000000002
5663`000000000000000000dz`0000000000000000038t`\N`\N`000000000000001`00000000000000000015`000000000000001`\N`\N`1971-05-19 01:00:00.0`1971-05-19 01:00:00.0`\N`\N`6`\N`401`0000000000000000041j`\N`000000000000001
6046`000000000000000002ls`000000000000000003jg`\N`\N`000000000000002`0000000000000000000o`000000000000002`\N`\N`1979-03-31 01:00:00.0`1979-03-31 01:00:00.0`\N`\N`5`\N`336`0000000000000000038t`\N`000000000000002
1017`000000000000000002t2`000000000000000000dz`\N`\N`000000000000003`0000000000000000001v`000000000000001`\N`\N`1979-12-18 01:00:00.0`1979-12-18 01:00:00.0`\N`\N`3`\N`664`000000000000000003jg`\N`000000000000001
3890`0000000000000000026q`000000000000000002ls`\N`\N`000000000000001`0000000000000000001t`000000000000002`\N`\N`1982-04-23 02:00:00.0`1982-04-23 02:00:00.0`\N`\N`19`\N`111`000000000000000000dz`\N`000000000000002
262`000000000000000002jn`000000000000000002t2`\N`\N`000000000000002`0000000000000000001f`000000000000001`\N`\N`1977-10-05 01:00:00.0`1977-10-05 01:00:00.0`\N`\N`16`\N`370`000000000000000002ls`\N`000000000000001
5953`00000000000000000124`000000000000000003gv`\N`\N`000000000000003`0000000000000000001i`000000000000002`\N`\N`1979-01-13 01:00:00.0`1979-01-13 01:00:00.0`\N`\N`11`\N`539`000000000000000002t2`\N`000000000000002
4188`000000000000000000os`000000000000000003vj`\N`\N`000000000000001`00000000000000000023`000000000000001`\N`\N`1982-05-06 02:00:00.0`1982-05-06 02:00:00.0`\N`\N`8`\N`115`000000000000000003gv`\N`000000000000001
6155`00000000000000000201`000000000000000004qy`\N`\N`000000000000002`0000000000000000000k`000000000000002`\N`\N`1973-10-04 01:00:00.0`1973-10-04 01:00:00.0`\N`\N`17`\N`47`000000000000000003vj`\N`000000000000002
3348`00000000000000000282`0000000000000000026q`\N`\N`000000000000003`00000000000000000013`000000000000001`\N`\N`1972-06-11 02:00:00.0`1972-06-11 02:00:00.0`\N`\N`18`\N`213`000000000000000004qy`\N`000000000000001
3970`00000000000000000099`000000000000000003ph`\N`\N`000000000000001`0000000000000000001z`000000000000002`\N`\N`1977-02-06 01:00:00.0`1977-02-06 01:00:00.0`\N`\N`13`\N`493`0000000000000000026q`\N`000000000000002
3813`000000000000000002ll`000000000000000002jn`\N`\N`000000000000002`00000000000000000019`000000000000001`\N`\N`1977-11-22 01:00:00.0`1977-11-22 01:00:00.0`\N`\N`15`\N`298`000000000000000003ph`\N`000000000000001
5966`0000000000000000026k`000000000000000003h8`\N`\N`000000000000003`0000000000000000000c`000000000000002`\N`\N`1970-11-30 01:00:00.0`1970-11-30 01:00:00.0`\N`\N`4`\N`657`000000000000000002jn`\N`000000000000002
5119`000000000000000002n4`000000000000000004gu`\N`\N`000000000000001`00000000000000000024`000000000000001`\N`\N`1979-03-24 01:00:00.0`1979-03-24 01:00:00.0`\N`\N`9`\N`172`000000000000000003h8`\N`000000000000001
1886`000000000000000001g4`00000000000000000124`\N`\N`000000000000002`0000000000000000000r`000000000000002`\N`\N`1977-09-29 01:00:00.0`1977-09-29 01:00:00.0`\N`\N`2`\N`436`000000000000000004gu`\N`000000000000002
1406`000000000000000000gv`000000000000000000os`\N`\N`000000000000003`0000000000000000000a`000000000000001`\N`\N`1979-05-18 01:00:00.0`1979-05-18 01:00:00.0`\N`\N`14`\N`237`00000000000000000124`\N`000000000000001
3107`0000000000000000015e`00000000000000000201`\N`\N`000000000000001`0000000000000000001y`000000000000002`\N`\N`1975-02-20 01:00:00.0`1975-02-20 01:00:00.0`\N`\N`1`\N`108`000000000000000000os`\N`000000000000002
3396`000000000000000002d4`00000000000000000282`\N`\N`000000000000002`00000000000000000021`000000000000001`\N`\N`1971-08-31 02:00:00.0`1971-08-31 02:00:00.0`\N`\N`7`\N`360`00000000000000000201`\N`000000000000001
4393`000000000000000000i2`00000000000000000418`\N`\N`000000000000003`00000000000000000006`000000000000002`\N`\N`1974-01-30 01:00:00.0`1974-01-30 01:00:00.0`\N`\N`12`\N`279`00000000000000000282`\N`000000000000002
5271`000000000000000000to`000000000000000004l2`\N`\N`000000000000001`00000000000000000016`000000000000001`\N`\N`1978-05-23 01:00:00.0`1978-05-23 01:00:00.0`\N`\N`10`\N`191`00000000000000000418`\N`000000000000001
847`000000000000000002ai`00000000000000000099`\N`\N`000000000000002`00000000000000000012`000000000000002`\N`\N`1971-10-13 01:00:00.0`1971-10-13 01:00:00.0`\N`\N`6`\N`73`000000000000000004l2`\N`000000000000002
3883`00000000000000000117`000000000000000002ll`\N`\N`000000000000003`0000000000000000001s`000000000000001`\N`\N`1972-12-04 01:00:00.0`1972-12-04 01:00:00.0`\N`\N`5`\N`609`00000000000000000099`\N`000000000000001
3342`00000000000000000036`0000000000000000026k`\N`\N`000000000000001`00000000000000000018`000000000000002`\N`\N`1978-02-18 01:00:00.0`1978-02-18 01:00:00.0`\N`\N`3`\N`12`000000000000000002ll`\N`000000000000002
4697`0000000000000000027n`0000000000000000049o`\N`\N`000000000000002`00000000000000000005`000000000000001`\N`\N`1973-09-01 02:00:00.0`1973-09-01 02:00:00.0`\N`\N`19`\N`312`0000000000000000026k`\N`000000000000001
6165`000000000000000002co`000000000000000004r8`\N`\N`000000000000003`0000000000000000000z`000000000000002`\N`\N`1970-04-25 01:00:00.0`1970-04-25 01:00:00.0`\N`\N`16`\N`40`0000000000000000049o`\N`000000000000002
48`00000000000000000224`000000000000000002n4`\N`\N`000000000000001`00000000000000000017`000000000000001`\N`\N`1977-11-07 01:00:00.0`1977-11-07 01:00:00.0`\N`\N`11`\N`31`000000000000000004r8`\N`000000000000001
